Game_Number,Hybrid_codestral-22b_CSS_CoT,Hybrid_codestral-22b_CSS_ZeroShot,Hybrid_codestral-22b_Random_CoT,Hybrid_codestral-22b_Random_ZeroShot,Hybrid_codestral-22b_VOI_CoT,Hybrid_codestral-22b_VOI_ZeroShot,Hybrid_gemma-27b_CSS_CoT,Hybrid_gemma-27b_CSS_ZeroShot,Hybrid_gemma-27b_Random_CoT,Hybrid_gemma-27b_Random_ZeroShot,Hybrid_gemma-27b_VOI_CoT,Hybrid_gemma-27b_VOI_ZeroShot,Hybrid_granite-8b_CSS_CoT,Hybrid_granite-8b_CSS_ZeroShot,Hybrid_granite-8b_Random_CoT,Hybrid_granite-8b_Random_ZeroShot,Hybrid_granite-8b_VOI_CoT,Hybrid_granite-8b_VOI_ZeroShot,Hybrid_llama-3.1-70b_CSS_CoT,Hybrid_llama-3.1-70b_CSS_ZeroShot,Hybrid_llama-3.1-70b_Random_CoT,Hybrid_llama-3.1-70b_Random_ZeroShot,Hybrid_llama-3.1-70b_VOI_CoT,Hybrid_llama-3.1-70b_VOI_ZeroShot,Hybrid_llama-3.1-8b_CSS_CoT,Hybrid_llama-3.1-8b_CSS_ZeroShot,Hybrid_llama-3.1-8b_Random_CoT,Hybrid_llama-3.1-8b_Random_ZeroShot,Hybrid_llama-3.1-8b_VOI_CoT,Hybrid_llama-3.1-8b_VOI_ZeroShot,Hybrid_llama-3.3-70b_CSS_CoT,Hybrid_llama-3.3-70b_CSS_ZeroShot,Hybrid_llama-3.3-70b_Random_CoT,Hybrid_llama-3.3-70b_Random_ZeroShot,Hybrid_llama-3.3-70b_VOI_CoT,Hybrid_llama-3.3-70b_VOI_ZeroShot,Hybrid_mistral-7b_CSS_CoT,Hybrid_mistral-7b_CSS_ZeroShot,Hybrid_mistral-7b_Random_CoT,Hybrid_mistral-7b_Random_ZeroShot,Hybrid_mistral-7b_VOI_CoT,Hybrid_mistral-7b_VOI_ZeroShot,Hybrid_mistral-small_CSS_CoT,Hybrid_mistral-small_CSS_ZeroShot,Hybrid_mistral-small_Random_CoT,Hybrid_mistral-small_Random_ZeroShot,Hybrid_mistral-small_VOI_CoT,Hybrid_mistral-small_VOI_ZeroShot,Hybrid_nemotron-8b_CSS_CoT,Hybrid_nemotron-8b_CSS_ZeroShot,Hybrid_nemotron-8b_Random_CoT,Hybrid_nemotron-8b_Random_ZeroShot,Hybrid_nemotron-8b_VOI_CoT,Hybrid_nemotron-8b_VOI_ZeroShot,PureLLM_codestral-22b_CoT,PureLLM_codestral-22b_ZeroShot,PureLLM_gemma-27b_CoT,PureLLM_gemma-27b_ZeroShot,PureLLM_gpt-oss-120b_CoT,PureLLM_gpt-oss-120b_ZeroShot,PureLLM_gpt-oss-20b_CoT,PureLLM_gpt-oss-20b_ZeroShot,PureLLM_granite-8b_CoT,PureLLM_granite-8b_ZeroShot,PureLLM_llama-3.1-70b_CoT,PureLLM_llama-3.1-70b_ZeroShot,PureLLM_llama-3.1-8b_CoT,PureLLM_llama-3.1-8b_ZeroShot,PureLLM_llama-3.3-70b_CoT,PureLLM_llama-3.3-70b_ZeroShot,PureLLM_mistral-7b_CoT,PureLLM_mistral-7b_ZeroShot,PureLLM_mistral-small_CoT,PureLLM_mistral-small_ZeroShot,PureLLM_nemotron-8b_CoT,PureLLM_nemotron-8b_ZeroShot,Pure_Algo_css,Pure_Algo_css_then_voi,Pure_Algo_css_voi_alternating,Pure_Algo_pure_random,Pure_Algo_random,Pure_Algo_voi,Pure_Algo_voi_css_alternating,Pure_Algo_voi_then_css
1,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4,4.0,5.0,4.0,3.0,5.0,4.0,5.0
2,4.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,2.0,2.0,2.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,3,3.0,3.0,5.0,4.0,4.0,3.0,2.0
3,3.0,5.0,1.0,0.0,3.0,1.0,3.0,2.0,4.0,2.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,0.0,2.0,0.0,5.0,0.0,5.0,4.0,3.0,0.0,5.0,5.0,4.0,3.0,5.0,0.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,0.0,0.0,5.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,2.0,5.0,5.0,4,3.0,4.0,5.0,2.0,3.0,4.0,1.0
4,3.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,0.0,4.0,0.0,3.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,0.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,0.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5,3.0,4.0,5.0,4.0,3.0,5.0,5.0
5,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5,5.0,5.0,5.0,3.0,4.0,5.0,5.0
6,3.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,0.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,4.0,3.0,4.0,4.0,5.0,4,3.0,4.0,4.0,3.0,3.0,3.0,4.0
7,5.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,0.0,3.0,0.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,5.0,0.0,4.0,3.0,3.0,4.0,5.0,3,3.0,4.0,4.0,3.0,3.0,1.0,4.0
8,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,0.0,5.0,3.0,5.0,4.0,1.0,1.0,2.0,1.0,4.0,0.0,4.0,0.0,4.0,1.0,4.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,1.0,3.0,5.0,5.0,0.0,1.0,5.0,0.0,4.0,1.0,5.0,4.0,4.0,2.0,2.0,4.0,4,4.0,3.0,3.0,4.0,2.0,4.0,3.0
9,5.0,5.0,5.0,0.0,4.0,2.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,0.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,3.0,3,3.0,3.0,5.0,2.0,4.0,4.0,4.0
10,4.0,4.0,4.0,2.0,3.0,3.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,5.0,0.0,2.0,2.0,4.0,3.0,5.0,5.0,3.0,2.0,5.0,3.0,4.0,5.0,2.0,4.0,3.0,4.0,5.0,5.0,2.0,2.0,4.0,3.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,0.0,4.0,2.0,5.0,1.0,3.0,5.0,1.0,2.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0,2,2.0,2.0,3.0,3.0,1.0,2.0,2.0
