game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,THINK,YG---,4,4,LLM,CHEST,-G--Y,4,4,CSS,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,4,THERE,Y--Y-,5,5,LLM,SORTA,--GGY,3,3,CSS,MARTY,-GGGG,1,1,LLM,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,4,ARISE,-GG--,3,3,LLM,FRITZ,-GGY-,3,3,CSS,TRIPP,GGG--,2,2,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,3,THING,Y-Y--,5,5,LLM,PARTI,--GGY,3,3,CSS,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,4,THERE,-----,5,5,LLM,MAILS,-Y-YY,5,5,CSS,SLACK,YYY--,5,4,LLM,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,THING,G----,4,4,LLM,TASER,G---Y,4,4,CSS,TROLL,GG-G-,2,2,LLM,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,4,WORDE,----Y,5,5,LLM,TALES,Y--YY,5,5,CSS,STEMS,GYG--,3,3,LLM,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,4,EVERY,Y----,5,5,LLM,MEATS,-YY-Y,5,4,CSS,SAUCE,YGG-G,2,2,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,6,ROUTE,Y----,5,5,LLM,BRINK,-G---,4,4,CSS,CRACK,GGG--,2,2,LLM,CRAPS,GGG--,2,2,CSS,CRAWL,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,CSS
10,BASES,True,5,WHICH,-----,5,5,LLM,TAPAS,-G--G,3,3,CSS,FARES,-G-GG,2,2,LLM,MALES,-G-GG,2,2,CSS,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,4,OASIS,Y----,5,5,LLM,COLOR,-G---,4,4,CSS,FOUND,-GGG-,2,2,LLM,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,3,EARTH,YY---,5,4,LLM,ANISE,YY-YY,5,4,CSS,MEANS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
13,TRUTH,True,3,RIGHT,Y--YY,5,4,LLM,EARTH,--YGG,3,3,CSS,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
14,FIRED,True,2,FIRST,GGG--,2,2,LLM,FIRED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
15,FOLKS,True,5,THING,-----,5,5,LLM,BASEL,--Y-Y,5,5,CSS,SOLOS,-GG-G,2,2,LLM,COLDS,-GG-G,2,2,CSS,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,3,THEIR,-GYY-,4,4,LLM,CHIEN,GGGY-,2,2,CSS,CHILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
17,BLACK,True,5,OUGHT,-----,5,5,LLM,DENIS,-----,5,5,CSS,CRACK,--GGG,2,2,LLM,ABACK,-YGGG,2,2,CSS,BLACK,GGGGG,0,0,LLM,,,,,
18,GRANT,True,3,FOUND,---G-,4,4,LLM,PRINT,-G-GG,2,2,CSS,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
19,MEALS,True,3,THREE,---Y-,5,5,LLM,MEANS,GGG-G,1,1,CSS,MEALS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
20,CREAM,True,4,THING,-----,5,5,LLM,COYLE,G---Y,4,4,CSS,CORES,G-YY-,4,3,LLM,CREAM,GGGGG,0,0,CSS,,,,,,,,,,
21,AWAKE,True,4,THERE,----G,4,4,LLM,ASIDE,G---G,3,3,CSS,AGAPE,G-G-G,2,2,LLM,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,5,RIGHT,Y----,5,5,LLM,SPEAR,----G,4,4,CSS,FIRST,--Y--,5,5,LLM,CONOR,YY--G,4,4,CSS,OCCUR,GGGGG,0,0,LLM,,,,,
23,YEARS,True,3,THING,-----,5,5,LLM,CLAMS,--G-G,3,3,CSS,YEARS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
24,GRADE,True,6,YEARS,-YGY-,4,4,LLM,TRACE,-GG-G,2,2,CSS,GRAZE,GGG-G,1,1,LLM,GRAPE,GGG-G,1,1,CSS,GRAVE,GGG-G,1,1,LLM,GRADE,GGGGG,0,0,CSS
25,CHILL,True,5,THERE,-G---,4,4,LLM,SHONA,-G---,4,4,CSS,CHICK,GGG--,2,2,LLM,CHILI,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,LLM,,,,,
26,FLOOD,True,5,THING,-----,5,5,LLM,DRAPE,Y----,5,5,CSS,LOWDY,YY-Y-,5,3,LLM,SCOLD,--GYG,3,3,CSS,FLOOD,GGGGG,0,0,LLM,,,,,
27,APPLY,True,6,OTHER,-----,5,5,LLM,LINUS,Y----,5,5,CSS,BLACK,-YY--,5,5,LLM,WALLA,-Y-G-,4,4,CSS,ALPAC,GYG--,3,3,LLM,APPLY,GGGGG,0,0,CSS
28,SMILE,True,4,THERE,----G,4,4,LLM,ANGLE,---GG,3,3,CSS,FIRST,-Y-Y-,5,5,LLM,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,5,THERE,-----,5,5,LLM,FAILS,-----,5,5,CSS,YOUNG,-Y-Y-,5,5,LLM,KNOWN,GGG--,2,2,CSS,KNOCK,GGGGG,0,0,LLM,,,,,
30,SLEEP,True,4,START,G----,4,4,LLM,SMILE,G--YY,4,4,CSS,SLEET,GGGG-,1,1,LLM,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,
31,BRICK,True,6,THING,--G--,4,4,LLM,SMILE,--G--,4,4,CSS,QUIRK,--GYG,3,3,LLM,FRICK,-GGGG,1,1,CSS,PRICK,-GGGG,1,1,LLM,BRICK,GGGGG,0,0,CSS
32,WROTE,True,3,THESE,Y---G,4,4,LLM,IRATE,-G-GG,2,2,CSS,WROTE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
33,RATED,True,4,COULD,----G,4,4,LLM,FIRED,--YGG,3,3,CSS,ARMED,YY-GG,3,3,LLM,RATED,GGGGG,0,0,CSS,,,,,,,,,,
34,ALERT,True,4,STATE,-YY-Y,5,5,LLM,RATED,YYYY-,5,4,CSS,GREAT,-YGYG,3,3,LLM,ALERT,GGGGG,0,0,CSS,,,,,,,,,,
35,CAGES,False,6,BEING,-Y--Y,5,5,LLM,GRADE,Y-Y-Y,5,4,CSS,WAGES,-GGGG,1,1,LLM,SAGES,-GGGG,1,1,CSS,PAGES,-GGGG,1,1,LLM,MAGES,-GGGG,1,1,CSS
36,TEDDY,True,5,EATCH,Y-Y--,5,5,LLM,WROTE,---YY,5,5,CSS,STEEP,-YY--,5,4,LLM,TELLY,GG--G,2,2,CSS,TEDDY,GGGGG,0,0,LLM,,,,,
37,COLES,True,6,THESE,--YY-,5,4,LLM,MAGES,---GG,3,3,CSS,FLIES,-Y-GG,3,3,LLM,SOLES,-GGGG,1,1,CSS,ROLES,-GGGG,1,1,LLM,COLES,GGGGG,0,0,CSS
38,HWANG,True,4,THESE,-Y---,5,5,LLM,GRAPH,Y-G-Y,4,4,CSS,HUANG,G-GGG,1,1,LLM,HWANG,GGGGG,0,0,CSS,,,,,,,,,,
39,WRATH,True,3,START,-YGY-,4,4,LLM,TRACE,YGG--,3,3,CSS,WRATH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
40,MACHO,True,4,THERE,-Y---,5,5,LLM,HWANG,Y-Y--,5,5,CSS,JIHAD,--YY-,5,5,LLM,MACHO,GGGGG,0,0,CSS,,,,,,,,,,
41,LOPEZ,True,4,OTHER,Y--G-,4,4,LLM,COLES,-GYG-,3,3,CSS,MODEL,-G-GY,3,3,LLM,LOPEZ,GGGGG,0,0,CSS,,,,,,,,,,
42,GOODY,True,3,TENOR,---Y-,5,5,LLM,COLDS,-G-G-,3,3,CSS,GOODY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
43,BROTH,True,4,YEARS,---Y-,5,5,LLM,CROFT,-GG-Y,3,3,CSS,TROLL,YGG--,3,3,LLM,BROTH,GGGGG,0,0,CSS,,,,,,,,,,
44,VERDE,True,5,STATE,----G,4,4,LLM,CHILE,----G,4,4,CSS,JUDGE,--Y-G,4,4,LLM,MONDE,---GG,3,3,CSS,VERDE,GGGGG,0,0,LLM,,,,,
45,TAMED,True,4,THERE,G-Y--,4,4,LLM,TEDDY,GYY--,4,4,CSS,TIMED,G-GGG,1,1,LLM,TAMED,GGGGG,0,0,CSS,,,,,,,,,,
46,LEAFS,False,6,ARISE,Y--YY,5,5,LLM,MAGES,-Y-YG,4,4,CSS,LEAGS,GGG-G,1,1,LLM,LEANS,GGG-G,1,1,CSS,LEADS,GGG-G,1,1,LLM,LEAPS,GGG-G,1,1,CSS
47,YACHT,True,4,ZENIT,----G,4,4,LLM,FROST,----G,4,4,CSS,HAYAT,YGY-G,3,3,LLM,YACHT,GGGGG,0,0,CSS,,,,,,,,,,
48,MESSY,True,3,THERE,--Y--,5,5,LLM,NEPAL,-G---,4,4,CSS,MESSY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
49,RYDER,True,4,WORLD,--Y-Y,5,5,LLM,GRADE,-Y-YY,5,3,CSS,RIDER,G-GGG,1,1,LLM,RYDER,GGGGG,0,0,CSS,,,,,,,,,,
