game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,THINK,YG---,4,4,LLM,SHOOT,-GGYY,3,3,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,21,99.62693195949547,21,1,95.23809523809523,1,1,0.0,,,,,,,,,
2,PARTY,True,3,RIGHT,Y---Y,5,5,LLM,TORSO,Y-G--,4,4,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,163,97.10428139989341,163,8,95.0920245398773,8,1,87.5,,,,,,,,,
3,TRICK,True,5,THERE,G--Y-,4,4,LLM,TUTOR,G---Y,4,4,CSS,TRAIN,GG-Y-,3.0,3.0,LLM,TRIPP,GGG--,2.0,2.0,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,58,98.96962160241605,58,26,55.172413793103445,26,5,80.76923076923077,5,3,40.0,3,1,66.66666666666666,,,
4,DIRTY,True,3,RIGHT,YG--Y,4,4,LLM,TIBER,YG--Y,4,4,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,15,99.73352282821105,15,4,73.33333333333333,4,1,75.0,,,,,,,,,
5,USUAL,True,5,THINK,-----,5,5,LLM,FELLS,--Y-Y,5,5,CSS,SLOOP,YY---,5.0,5.0,LLM,BASAL,--YGG,3.0,3.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,13,99.21259842519686,13,3,76.92307692307693,3,1,66.66666666666666,1,1,0.0,,,
6,TRULY,True,5,THERE,G--Y-,4,4,LLM,TRAPS,GG---,3,3,CSS,TRUCK,GGG--,2.0,2.0,LLM,TRUDY,GGG-G,1.0,1.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,58,98.96962160241605,58,10,82.75862068965517,10,2,80.0,2,1,50.0,1,1,0.0,,,
7,SPENT,True,3,OTHER,-Y-Y-,5,5,LLM,SKATE,G--YY,4,4,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,159,97.17534197903713,159,7,95.59748427672956,7,1,85.71428571428571,,,,,,,,,
8,PAUSE,True,4,THERE,----G,4,4,LLM,MAMIE,-G--G,3,3,CSS,LANCE,-G--G,3.0,3.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,269,95.22117605258484,269,36,86.61710037174721,36,7,80.55555555555556,7,1,85.71428571428571,,,,,,
9,CRAZY,True,5,THINK,-----,5,5,LLM,PUFFS,-----,5,5,CSS,WORLD,--Y--,5.0,5.0,LLM,GAMER,-Y--Y,5.0,5.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,578,64.99091459721382,578,47,91.86851211072664,47,4,91.48936170212765,4,1,75.0,,,
10,BASES,True,6,RIGHT,-----,5,5,LLM,MAUDE,-G--Y,4,4,CSS,SALES,YG-GG,2.0,2.0,LLM,VASES,-GGGG,1.0,1.0,CSS,CASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,CSS,5629,1357,75.89269852549299,1357,47,96.5364775239499,47,4,91.48936170212765,4,3,25.0,3,2,33.33333333333333,2,1,50.0
11,YOUNG,True,3,THINK,---G-,4,4,LLM,BLEND,---G-,4,4,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,176,96.87333451767633,176,53,69.88636363636364,53,1,98.11320754716981,,,,,,,,,
12,MEANS,True,5,RIGHT,-----,5,5,LLM,SOCKS,----G,4,4,CSS,LEADS,-GG-G,2.0,2.0,LLM,BEAMS,-GGYG,2.0,2.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,5629,1357,75.89269852549299,1357,130,90.42004421518055,130,4,96.92307692307692,4,1,75.0,1,1,0.0,,,
13,TRUTH,True,3,OTHER,-YY-Y,5,5,LLM,WIRTH,--YGG,3,3,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,21,99.62693195949547,21,1,95.23809523809523,1,1,0.0,,,,,,,,,
14,FIRED,True,5,OTHER,---GY,4,4,LLM,CRIED,-YYGG,3,3,CSS,RILED,YG-GG,2.0,2.0,LLM,AIRED,-GGGG,1.0,1.0,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,5629,108,98.08136436311956,108,6,94.44444444444444,6,5,16.666666666666664,5,4,20.0,4,1,75.0,,,
15,FOLKS,True,4,THINK,----Y,5,5,LLM,KWAME,Y----,5,5,CSS,LOOKS,YG-GG,2.0,2.0,LLM,FOLKS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,183,96.74897850417481,183,32,82.5136612021858,32,2,93.75,2,1,50.0,,,,,,
16,CHILE,True,4,THEIR,-GYY-,4,4,LLM,CHIEN,GGGY-,2,2,CSS,CHIME,GGG-G,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,7,99.87564398649849,7,2,71.42857142857143,2,1,50.0,1,1,0.0,,,,,,
17,BLACK,True,3,THERE,-----,5,5,LLM,CUBBY,Y-Y--,5,5,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,1280,77.2606146740096,1280,12,99.0625,12,1,91.66666666666666,,,,,,,,,
18,GRANT,True,3,THINK,Y--G-,4,4,LLM,AGENT,YY-GG,3,3,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,36,99.36045478770652,36,2,94.44444444444444,2,1,50.0,,,,,,,,,
19,MEALS,True,5,WHICH,-----,5,5,LLM,SENSE,YG---,4,4,CSS,TEARS,-GG-G,2.0,2.0,LLM,DEALS,-GGGG,1.0,1.0,CSS,MEALS,GGGGG,0.0,0.0,LLM,,,,,,5629,2608,53.66850239829455,2608,65,97.50766871165644,65,10,84.61538461538461,10,1,90.0,1,1,0.0,,,
20,CREAM,True,5,THERE,--GY-,4,4,LLM,FREDO,-GG--,3,3,CSS,ARENA,YGG--,3.0,3.0,LLM,BREAM,-GGGG,1.0,1.0,CSS,CREAM,GGGGG,0.0,0.0,LLM,,,,,,5629,36,99.36045478770652,36,15,58.333333333333336,15,4,73.33333333333333,4,1,75.0,1,1,0.0,,,
21,AWAKE,True,5,THERE,----G,4,4,LLM,BOYCE,----G,4,4,CSS,IMAGE,--G-G,3.0,3.0,LLM,SLADE,--G-G,3.0,3.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,5629,269,95.22117605258484,269,126,53.159851301115246,126,11,91.26984126984127,11,2,81.81818181818183,2,1,50.0,,,
22,OCCUR,True,4,THERE,---Y-,5,5,LLM,CARDI,Y-Y--,5,5,CSS,ROCKS,YYG--,4.0,4.0,LLM,OCCUR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,539,90.42458696038372,539,7,98.7012987012987,7,1,85.71428571428571,1,1,0.0,,,,,,
23,YEARS,True,4,THINK,-----,5,5,LLM,BOXES,---YG,4,4,CSS,FEELS,-G--G,3.0,3.0,LLM,YEARS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1651,70.66974595842956,1651,69,95.82071471835252,69,17,75.36231884057972,17,1,94.11764705882352,,,,,,
24,GRADE,True,5,THINK,-----,5,5,LLM,PULLS,-----,5,5,CSS,ADIEU,YY-Y-,5.0,4.0,LLM,DREAD,YGYY-,4.0,3.0,CSS,GRADE,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,410,75.16656571774682,410,23,94.39024390243902,23,1,95.65217391304348,1,1,0.0,,,
25,CHILL,True,5,THINK,-GG--,3,3,LLM,WHICH,-GGY-,3,3,CSS,CHIEF,GGG--,2.0,2.0,LLM,CHIPS,GGG--,2.0,2.0,CSS,CHILL,GGGGG,0.0,0.0,LLM,,,,,,5629,27,99.52034109077988,27,11,59.25925925925925,11,8,27.27272727272727,8,5,37.5,5,1,80.0,,,
26,FLOOD,True,4,RIGHT,-----,5,5,LLM,EPSON,---G-,4,4,CSS,ALLOW,-G-G-,3.0,3.0,LLM,FLOOD,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1357,75.89269852549299,1357,14,98.96831245394252,14,3,78.57142857142857,3,1,66.66666666666666,,,,,,
27,APPLY,True,5,OTHER,-----,5,5,LLM,SALAS,-YY--,5,5,CSS,CLAIM,-YY--,5.0,5.0,LLM,ABDUL,G---Y,4.0,4.0,CSS,APPLY,GGGGG,0.0,0.0,LLM,,,,,,5629,807,85.66352815775448,807,42,94.79553903345726,42,4,90.47619047619048,4,1,75.0,1,1,0.0,,,
28,SMILE,True,6,OTHER,---Y-,5,5,LLM,VAGUE,----G,4,4,CSS,SINCE,GY--G,3.0,3.0,LLM,SWIPE,G-G-G,2.0,2.0,CSS,SLIDE,GYG-G,2.0,2.0,LLM,SMILE,GGGGG,0.0,0.0,CSS,5629,519,90.77988985610233,519,63,87.86127167630057,63,6,90.47619047619048,6,4,33.33333333333333,4,1,75.0,1,1,0.0
29,KNOCK,True,2,THINK,---YG,4,4,LLM,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,7,99.87564398649849,7,1,85.71428571428571,,,,,,,,,,,,
30,SLEEP,True,4,RIGHT,-----,5,5,LLM,CAJUN,-----,5,5,CSS,LEVEL,YY-G-,4.0,3.0,LLM,SLEEP,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1357,75.89269852549299,1357,254,81.2822402358143,254,6,97.63779527559055,6,1,83.33333333333334,,,,,,
31,BRICK,True,6,ABOUT,-Y---,5,5,LLM,BIRDS,GYY--,4,4,CSS,BRING,GGG--,2.0,2.0,LLM,BRILL,GGG--,2.0,2.0,CSS,BRIEF,GGG--,2.0,2.0,LLM,BRICK,GGGGG,0.0,0.0,CSS,5629,105,98.13465979747735,105,8,92.38095238095238,8,5,37.5,5,4,20.0,4,1,75.0,1,1,0.0
32,WROTE,True,2,OTHER,YY-YY,5,4,LLM,WROTE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,14,99.75128797299698,14,1,92.85714285714286,,,,,,,,,,,,
33,RATED,True,3,RIGHT,G---Y,4,4,LLM,RAFTS,GG-Y-,3,3,CSS,RATED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,13,99.76905311778292,13,2,84.61538461538461,2,1,50.0,,,,,,,,,
34,ALERT,True,2,THERE,Y-GG-,3,3,LLM,ALERT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,6,99.89340913128441,6,1,83.33333333333334,,,,,,,,,,,,
35,CAGES,False,6,THERE,--Y--,5,5,LLM,PENAL,-Y-Y-,5,5,CSS,MAKES,-G-GG,2.0,2.0,LLM,FAVES,-G-GG,2.0,2.0,CSS,WAXES,-G-GG,2.0,2.0,LLM,BASES,-G-GG,2.0,2.0,CSS,5629,588,89.55409486587315,588,71,87.92517006802721,71,19,73.23943661971832,19,10,47.368421052631575,10,7,30.0,7,2,71.42857142857143
36,TEDDY,True,5,THINK,G----,4,4,LLM,TYPOS,GY---,4,4,CSS,TERRY,GG--G,2.0,2.0,LLM,TELLY,GG--G,2.0,2.0,CSS,TEDDY,GGGGG,0.0,0.0,LLM,,,,,,5629,136,97.58394030911352,136,15,88.97058823529412,15,2,86.66666666666667,2,1,50.0,1,1,0.0,,,
37,COLES,True,4,THINK,-----,5,5,LLM,EUROS,Y--YG,4,4,CSS,COMES,GG-GG,1.0,1.0,LLM,COLES,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1651,70.66974595842956,1651,29,98.2434887946699,29,2,93.10344827586206,2,1,50.0,,,,,,
38,HWANG,True,4,THERE,-Y---,5,5,LLM,GOUGH,Y---Y,5,5,CSS,HIGHS,G-Y--,4.0,4.0,LLM,HWANG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,207,96.32261502931249,207,4,98.06763285024155,4,1,75.0,1,1,0.0,,,,,,
39,WRATH,True,3,THINK,YY---,5,5,LLM,HERTZ,Y-YG-,4,4,CSS,WRATH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,89,98.41890211405223,89,3,96.62921348314607,3,1,66.66666666666666,,,,,,,,,
40,MACHO,True,5,THERE,-Y---,5,5,LLM,HANNA,YG---,4,4,CSS,LAUGH,-G--Y,4.0,4.0,LLM,SAKHO,-G-GG,2.0,2.0,CSS,MACHO,GGGGG,0.0,0.0,LLM,,,,,,5629,207,96.32261502931249,207,14,93.23671497584542,14,9,35.714285714285715,9,1,88.88888888888889,1,1,0.0,,,
41,LOPEZ,True,5,OTHER,Y--G-,4,4,LLM,BONES,-G-G-,3,3,CSS,MODEL,-G-GY,3.0,3.0,LLM,FOLEY,-GYG-,3.0,3.0,CSS,LOPEZ,GGGGG,0.0,0.0,LLM,,,,,,5629,96,98.29454610055072,96,28,70.83333333333334,28,3,89.28571428571429,3,1,66.66666666666666,1,1,0.0,,,
42,GOODY,True,4,THINK,-----,5,5,LLM,GROVE,G-G--,3,3,CSS,GOOFY,GGG-G,1.0,1.0,LLM,GOODY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1651,70.66974595842956,1651,7,99.57601453664445,7,1,85.71428571428571,1,1,0.0,,,,,,
43,BROTH,True,4,THEIR,YY--Y,5,5,LLM,WORTH,-YYGG,3,3,CSS,FROTH,-GGGG,1.0,1.0,LLM,BROTH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,13,99.76905311778292,13,2,84.61538461538461,2,1,50.0,1,1,0.0,,,,,,
44,VERDE,True,6,THINK,-----,5,5,LLM,COCOS,-----,5,5,CSS,LATER,---YY,5.0,5.0,LLM,VERVE,GGG-G,1.0,1.0,CSS,VERGE,GGG-G,1.0,1.0,LLM,VERDE,GGGGG,0.0,0.0,CSS,5629,1651,70.66974595842956,1651,496,69.95760145366444,496,28,94.35483870967742,28,2,92.85714285714286,2,1,50.0,1,1,0.0
45,TAMED,True,6,RIGHT,----Y,5,5,LLM,TOTAL,G--Y-,4,4,CSS,TAKEN,GG-G-,2.0,2.0,LLM,TAPED,GG-GG,1.0,1.0,CSS,TAXED,GG-GG,1.0,1.0,LLM,TAMED,GGGGG,0.0,0.0,CSS,5629,390,93.0715935334873,390,21,94.61538461538461,21,5,76.19047619047619,5,2,60.0,2,1,50.0,1,1,0.0
46,LEAFS,False,6,RIGHT,-----,5,5,LLM,SALEM,YYYY-,5,5,CSS,LEADS,GGG-G,1.0,1.0,LLM,LEAPS,GGG-G,1.0,1.0,CSS,LEAKS,GGG-G,1.0,1.0,LLM,LEANS,GGG-G,1.0,1.0,CSS,5629,1357,75.89269852549299,1357,9,99.3367722918202,9,4,55.55555555555556,4,3,25.0,3,2,33.33333333333333,2,1,50.0
