game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,violated_green_1,violated_yellow_1,violated_gray_1,total_violations_1,violated_green_2,violated_yellow_2,violated_gray_2,total_violations_2,violated_green_3,violated_yellow_3,violated_gray_3,total_violations_3,violated_green_4,violated_yellow_4,violated_gray_4,total_violations_4,violated_green_5,violated_yellow_5,violated_gray_5,total_violations_5,violated_green_6,violated_yellow_6,violated_gray_6,total_violations_6
1,PHOTO,True,3,THERE,YG---,4,4,LLM,SHOUT,-GG-Y,3,3,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PARTY,True,3,OTHER,-Y--Y,5,5,LLM,TRAPS,YYYY-,5,5,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TRICK,True,2,THINK,G-G-G,2,2,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DIRTY,True,2,FIRST,-GG-Y,3,3,LLM,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,USUAL,True,4,THERE,-----,5,5,LLM,LOANS,Y-Y-Y,5,5,CSS,SALSA,YYY--,5.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TRULY,True,4,THINK,G----,4,4,LLM,TRAPS,GG---,3,3,CSS,TROLL,GG-G-,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SPENT,True,2,THERE,Y-G--,4,4,LLM,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PAUSE,True,3,STARE,Y-Y-G,4,4,LLM,AMUSE,Y-GGG,2,2,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CRAZY,True,4,THINK,-----,5,5,LLM,PALMA,-Y---,5,5,CSS,READY,Y-G-G,3.0,3.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BASES,True,6,THERE,--Y--,5,5,LLM,DANES,-G-GG,2,2,CSS,GAMES,-G-GG,2.0,2.0,LLM,CAKES,-G-GG,2.0,2.0,CSS,SALES,YG-GG,2.0,2.0,LLM,BASES,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
