game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,THERE,YG---,4,4,LLM,SHOUT,-GG-Y,3,3,CSS,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,5,TREND,YY---,5,5,LLM,SURAT,--GYY,4,4,CSS,GARTH,-GGG-,2,2,LLM,MARTI,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,3,THERE,G--Y-,4,4,LLM,TRAIT,GG-Y-,3,3,CSS,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,2,THIRD,Y-YYY,5,4,LLM,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
5,USUAL,True,3,WORDS,----Y,5,5,LLM,SAHEL,YY--G,4,4,CSS,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,4,THERE,G--Y-,4,4,LLM,TRAIT,GG---,3,3,CSS,TRUMP,GGG--,2,2,LLM,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,3,CODES,---YY,5,5,LLM,SPATE,GG-YY,3,3,CSS,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,5,WORDS,----Y,5,5,LLM,SAITH,YG---,4,4,CSS,SAUSE,-GGGG,1,1,LLM,CAUSE,-GGGG,1,1,CSS,PAUSE,GGGGG,0,0,LLM,,,,,
9,CRAZY,True,5,THINK,-----,5,5,LLM,MORES,--Y--,5,5,CSS,BRAGA,-GG--,3,3,LLM,CRAWL,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,True,5,THINK,-----,5,5,LLM,ALDER,Y--G-,4,4,CSS,SAVES,YG-GG,2,2,LLM,CASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,LLM,,,,,
