game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,ABOUT,--G-Y,4,4,LLM,TOOLS,YYG--,4,4,CSS,PROTO,G-GGG,1,1,LLM,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,4,HOUSE,-----,5,5,LLM,DARLA,-GG--,3,3,CSS,MARRY,-GG-G,2,2,LLM,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,4,HOUSE,-----,5,5,LLM,ARIAN,-GG--,3,3,CSS,BRICK,-GGGG,1,1,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,3,HOUSE,-----,5,5,LLM,ARMIN,-Y-Y-,5,5,CSS,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,3,HOUSE,--GY-,4,4,LLM,SAULT,YYGY-,4,4,CSS,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,4,HOUSE,--G--,4,4,LLM,BRUNT,-GG-Y,3,3,CSS,TRUDY,GGG-G,1,1,LLM,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,4,THEIR,Y-G--,4,4,LLM,SLEET,G-G-G,2,2,CSS,SWEPT,G-GYG,2,2,LLM,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,3,HOUSE,--GGG,2,2,LLM,CAUSE,-GGGG,1,1,CSS,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,3,HOUSE,-----,5,5,LLM,RAINY,YY--G,4,3,CSS,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
10,BASES,True,3,HOUSE,---YY,5,4,LLM,SALES,YG-GG,2,2,CSS,BASES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
11,YOUNG,True,3,HOUSE,-GG--,3,3,LLM,MOUND,-GGG-,2,2,CSS,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,4,ABOUT,Y----,5,5,LLM,DALES,-Y-YG,4,4,CSS,HEARS,-GG-G,2,2,LLM,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,3,HOUSE,Y-G--,4,4,LLM,THUNK,GYG--,3,3,CSS,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
