game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,POCUS,GY---,4,4,LLM,PIRLO,G---G,3,3,CSS,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,4,EARNS,-GG--,3,3,LLM,MARTA,-GGG-,2,2,CSS,GARTH,-GGG-,2,2,LLM,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,3,REALS,Y----,5,5,LLM,PROTO,-G-Y-,4,4,CSS,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,4,LANES,-----,5,5,LLM,TRICK,YYY--,5,5,CSS,GIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,AROSE,Y--Y-,5,5,LLM,SANTI,YY---,5,5,CSS,CLAPS,-YY-Y,5,5,LLM,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,AIRES,--Y--,5,5,LLM,GRUNT,-GG-Y,3,3,CSS,TRUDY,GGG-G,1,1,LLM,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,3,HARES,---YY,5,5,LLM,SEINE,GY-G-,3,3,CSS,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,4,OATES,-G-YY,4,4,LLM,SABLE,YG--G,3,3,CSS,PARSE,GG-GG,1,1,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,5,TALES,-Y---,5,5,LLM,PIANO,--G--,4,4,CSS,AWARD,--GY-,4,4,LLM,GRAVY,-GG-G,2,2,CSS,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,True,6,SNARE,Y-Y-Y,5,4,LLM,DAESH,-GYY-,4,3,CSS,CATES,-G-GG,2,2,LLM,MAGES,-G-GG,2,2,CSS,BALES,GG-GG,1,1,LLM,BASES,GGGGG,0,0,CSS
11,YOUNG,True,4,RAISE,-----,5,5,LLM,PHOTO,--Y--,5,5,CSS,MOLDY,-G--Y,4,4,LLM,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,4,AIRES,Y--YG,4,4,LLM,DEGAS,-G-YG,3,3,CSS,MEALS,GGG-G,1,1,LLM,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,4,REALS,Y----,5,5,LLM,DIRTY,--YG-,4,4,CSS,PROTO,-G-G-,3,3,LLM,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,3,AIRES,-GGG-,2,2,LLM,TIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
15,FOLKS,True,5,EARLS,---YG,4,4,LLM,SOLIS,-GG-G,2,2,CSS,COLDS,-GG-G,2,2,LLM,BOLTS,-GG-G,2,2,CSS,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,3,ARIES,--GY-,4,4,LLM,CLINE,GYG-G,2,2,CSS,CHILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
17,BLACK,True,5,RATES,-Y---,5,5,LLM,AMINA,Y----,5,5,CSS,CHAFF,Y-G--,4,4,LLM,QUACK,--GGG,2,2,CSS,BLACK,GGGGG,0,0,LLM,,,,,
18,GRANT,True,4,STALE,-YG--,4,4,LLM,TRAIT,-GG-G,2,2,CSS,GRAFT,GGG-G,1,1,LLM,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,4,DARES,-Y-YG,4,4,LLM,MEANS,GGG-G,1,1,CSS,MEATS,GGG-G,1,1,LLM,MEALS,GGGGG,0,0,CSS,,,,,,,,,,
20,CREAM,True,4,ARIES,YG-Y-,4,4,LLM,TREAD,-GGG-,2,2,CSS,BREAK,-GGG-,2,2,LLM,CREAM,GGGGG,0,0,CSS,,,,,,,,,,
21,AWAKE,True,3,REALS,-YG--,4,4,LLM,AGATE,G-G-G,2,2,CSS,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
22,OCCUR,True,4,AIRES,--Y--,5,5,LLM,TRULY,-YY--,5,5,CSS,UNHCR,Y--YG,4,4,LLM,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,False,6,OATES,-Y-YG,4,4,LLM,MEALS,-GG-G,2,2,CSS,BEANS,-GG-G,2,2,LLM,HEAPS,-GG-G,2,2,CSS,GEARS,-GGGG,1,1,LLM,SEARS,-GGGG,1,1,CSS
24,GRADE,True,4,TASER,-Y-YY,5,4,LLM,CREAM,-GYY-,4,4,CSS,DRAKE,YGG-G,2,2,LLM,GRADE,GGGGG,0,0,CSS,,,,,,,,,,
25,CHILL,True,5,ELIAS,-YG--,4,4,LLM,PHILO,-GGG-,2,2,CSS,CHILI,GGGG-,1,1,LLM,CHILD,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,LLM,,,,,
26,FLOOD,True,5,RACES,-----,5,5,LLM,YOUNG,-Y---,5,5,CSS,PHILO,---YY,5,5,LLM,BLOOM,-GGG-,2,2,CSS,FLOOD,GGGGG,0,0,LLM,,,,,
27,APPLY,True,5,LASER,YY---,5,5,LLM,BLACK,-YY--,5,5,CSS,DUVAL,---YY,5,5,LLM,HOLLA,---GY,4,4,CSS,APPLY,GGGGG,0,0,LLM,,,,,
28,SMILE,True,3,RACES,---YY,5,5,LLM,SPENT,G-Y--,4,4,CSS,SMILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
29,KNOCK,True,4,ARIES,-----,5,5,LLM,FLOOD,--G--,4,4,CSS,PHONY,--GY-,4,4,LLM,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,
30,SLEEP,True,4,AIRES,---GY,4,4,LLM,STEEN,G-GG-,2,2,CSS,SWEEP,G-GGG,1,1,LLM,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,
31,BRICK,True,4,AROSE,-G---,4,4,LLM,TRULY,-G---,4,4,CSS,BRING,GGG--,2,2,LLM,BRICK,GGGGG,0,0,CSS,,,,,,,,,,
32,WROTE,True,5,EARNS,Y-Y--,5,5,LLM,PEDRO,-Y-YY,5,5,CSS,COVER,-Y-YY,5,4,LLM,FROZE,-GG-G,2,2,CSS,WROTE,GGGGG,0,0,LLM,,,,,
33,RATED,True,4,TESLA,YY--Y,5,5,LLM,AGATE,Y--YY,5,3,CSS,EATER,-GGGY,2,2,LLM,RATED,GGGGG,0,0,CSS,,,,,,,,,,
34,ALERT,True,3,EARLS,YYYY-,5,5,LLM,OREAL,-YGYY,4,4,CSS,ALERT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
35,CAGES,False,6,NEARS,-YY-G,4,4,LLM,BASES,-G-GG,2,2,CSS,MALES,-G-GG,2,2,LLM,WAKES,-G-GG,2,2,CSS,FAVES,-G-GG,2,2,LLM,PAGES,-GGGG,1,1,CSS
36,TEDDY,True,4,EARLS,Y----,5,5,LLM,TWINE,G---Y,4,4,CSS,TEMPT,GG---,3,3,LLM,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,
37,COLES,False,6,EARNS,Y---G,4,4,LLM,SOLES,-GGGG,1,1,CSS,FOLES,-GGGG,1,1,LLM,MOLES,-GGGG,1,1,CSS,HOLES,-GGGG,1,1,LLM,POLES,-GGGG,1,1,CSS
38,HWANG,True,4,LASER,-Y---,5,5,LLM,CHINA,-Y-GY,4,4,CSS,HUANG,G-GGG,1,1,LLM,HWANG,GGGGG,0,0,CSS,,,,,,,,,,
39,WRATH,True,3,ANISE,Y----,5,5,LLM,CHARD,-YGY-,4,4,CSS,WRATH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
40,MACHO,True,5,ARISE,Y----,5,5,LLM,GAUNT,-G---,4,4,CSS,PAOLA,-GY--,4,4,LLM,HAVOC,YG-YY,4,4,CSS,MACHO,GGGGG,0,0,LLM,,,,,
41,LOPEZ,True,5,AROSE,--Y-Y,5,4,LLM,TOBEY,-G-G-,3,3,CSS,MOWED,-G-G-,3,3,LLM,COVEN,-G-G-,3,3,CSS,LOPEZ,GGGGG,0,0,LLM,,,,,
42,GOODY,True,6,ARIES,-----,5,5,LLM,KNOCK,--G--,4,4,CSS,FLOOD,--GYY,4,3,LLM,MOODY,-GGGG,1,1,CSS,WOODY,-GGGG,1,1,LLM,GOODY,GGGGG,0,0,CSS
43,BROTH,True,4,LEANS,-----,5,5,LLM,RIGHT,Y--YY,5,4,CSS,TRUTH,-G-GG,2,2,LLM,BROTH,GGGGG,0,0,CSS,,,,,,,,,,
44,VERDE,True,6,SNARE,---YG,4,4,LLM,WROTE,-Y--G,4,4,CSS,REVUE,YGY-G,3,3,LLM,VERVE,GGG-G,1,1,CSS,VERGE,GGG-G,1,1,LLM,VERDE,GGGGG,0,0,CSS
45,TAMED,True,5,EARLS,YG---,4,4,LLM,FATED,-GYGG,2,2,CSS,TAPED,GG-GG,1,1,LLM,TAXED,GG-GG,1,1,CSS,TAMED,GGGGG,0,0,LLM,,,,,
46,LEAFS,True,5,REALS,-GGYG,2,2,LLM,LEAKS,GGG-G,1,1,CSS,LEANS,GGG-G,1,1,LLM,LEAPS,GGG-G,1,1,CSS,LEAFS,GGGGG,0,0,LLM,,,,,
47,YACHT,True,5,ARIES,Y----,5,5,LLM,WAHOO,-GY--,4,4,CSS,HAMAD,YG---,4,4,LLM,PATCH,-GYYY,4,3,CSS,YACHT,GGGGG,0,0,LLM,,,,,
48,MESSY,True,4,EARLS,Y---Y,5,5,LLM,SHEEP,Y-Y--,5,5,CSS,GUISE,---GY,4,4,LLM,MESSY,GGGGG,0,0,CSS,,,,,,,,,,
49,RYDER,True,3,AROSE,-Y--Y,5,4,LLM,FIRED,--YGY,4,4,CSS,RYDER,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
50,MOTIF,True,4,TEARS,Y----,5,5,LLM,KNOTT,--YY-,5,4,CSS,HOTLY,-GG--,3,3,LLM,MOTIF,GGGGG,0,0,CSS,,,,,,,,,,
51,RAVEN,True,3,AIRES,Y-YG-,4,4,LLM,RATED,GG-G-,2,2,CSS,RAVEN,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
52,REICH,True,4,LASER,---YY,5,5,LLM,VERDE,-GY--,4,4,CSS,PETRO,-G-Y-,4,4,LLM,REICH,GGGGG,0,0,CSS,,,,,,,,,,
53,ICONS,True,3,CARES,Y---G,4,4,LLM,LOCUS,-YY-G,4,4,CSS,ICONS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
54,SILKY,True,3,ANISE,--YY-,5,5,LLM,LICKS,YG-GY,3,3,CSS,SILKY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
55,CARVE,True,5,DALES,-G-Y-,4,4,LLM,EATIN,YG---,4,4,CSS,HAGUE,-G--G,3,3,LLM,FAVRE,-GYYG,3,3,CSS,CARVE,GGGGG,0,0,LLM,,,,,
56,LAGER,True,4,RAISE,YG--Y,4,4,LLM,EARTH,YGY--,4,4,CSS,PALER,-GYGG,2,2,LLM,LAGER,GGGGG,0,0,CSS,,,,,,,,,,
57,JERKS,True,4,EARLS,Y-G-G,3,3,LLM,BORES,--GYG,3,3,CSS,FERNS,-GG-G,2,2,LLM,JERKS,GGGGG,0,0,CSS,,,,,,,,,,
58,LOTUS,True,4,ARISE,---Y-,5,5,LLM,FOLKS,-GY-G,3,3,CSS,LOCUS,GG-GG,1,1,LLM,LOTUS,GGGGG,0,0,CSS,,,,,,,,,,
59,LACEY,True,4,EARLS,YG-Y-,4,4,LLM,PALEO,-GYG-,3,3,CSS,BAGEL,-G-GY,3,3,LLM,LACEY,GGGGG,0,0,CSS,,,,,,,,,,
60,TUDOR,True,4,ELIAS,-----,5,5,LLM,BROTH,-YYY-,5,5,CSS,MOTOR,--YGG,3,3,LLM,TUDOR,GGGGG,0,0,CSS,,,,,,,,,,
61,QUOTA,True,4,AROSE,Y-G--,4,4,LLM,PAOLA,--G-G,3,3,CSS,FIONA,--G-G,3,3,LLM,QUOTA,GGGGG,0,0,CSS,,,,,,,,,,
62,MOURN,True,4,AIRES,--Y--,5,5,LLM,TUDOR,-Y-YY,5,5,CSS,BRUNO,-YGYY,4,4,LLM,MOURN,GGGGG,0,0,CSS,,,,,,,,,,
63,PROMO,True,4,LANES,-----,5,5,LLM,MOTIF,YY---,5,5,CSS,RUMOR,Y-YY-,5,3,LLM,PROMO,GGGGG,0,0,CSS,,,,,,,,,,
64,CASTE,True,3,TEARS,YYY-Y,5,5,LLM,ASSET,Y-GYY,4,3,CSS,CASTE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
65,CAPRI,True,3,ARISE,YYY--,5,4,LLM,PARTI,YGY-G,3,3,CSS,CAPRI,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
66,ALIAS,True,3,ARIES,G-G-G,2,2,LLM,ACIDS,G-G-G,2,2,CSS,ALIAS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
67,PADDY,True,5,AIRES,Y----,5,5,LLM,YACHT,YG---,4,4,CSS,MADLY,-GG-G,2,2,LLM,DADDY,-GGGG,1,1,CSS,PADDY,GGGGG,0,0,LLM,,,,,
68,BLOBS,True,6,TEARS,----G,4,4,LLM,LOCUS,YY--G,4,3,CSS,SILOS,--YYG,4,3,LLM,FLOWS,-GG-G,2,2,CSS,BLOGS,GGG-G,1,1,LLM,BLOBS,GGGGG,0,0,CSS
69,DILLY,True,4,RAISE,--Y--,5,5,LLM,MOTIF,---Y-,5,5,CSS,CYNDI,-Y-YY,5,5,LLM,DILLY,GGGGG,0,0,CSS,,,,,,,,,,
70,GUTSY,True,3,ELIAS,----Y,5,5,LLM,HURST,-G-GY,3,3,CSS,GUTSY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
71,TABOR,True,4,AROSE,YYY--,5,4,LLM,MARIO,-GY-Y,4,4,CSS,RATON,YGYG-,3,3,LLM,TABOR,GGGGG,0,0,CSS,,,,,,,,,,
72,INLAY,True,3,REALS,--YY-,5,5,LLM,WILMA,-YG-Y,4,4,CSS,INLAY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
73,AHHHH,True,4,STALE,--Y--,5,5,LLM,DARIN,-Y---,5,5,CSS,ABUJA,G----,4,4,LLM,AHHHH,GGGGG,0,0,CSS,,,,,,,,,,
