game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,MATCH,--Y-Y,5,5,LLM,SHORT,-GG-Y,3,3,CSS,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,3,BANDY,-G--G,3,3,LLM,SALTY,-G-GG,2,2,CSS,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
3,TRICK,True,5,GREEN,-G---,4,4,LLM,TRAPS,GG---,3,3,CSS,TRUTH,GG---,3,3,LLM,TROLL,GG---,3,3,CSS,TRICK,GGGGG,0,0,LLM,,,,,
4,DIRTY,True,3,WORDS,--GY-,4,4,LLM,DARIA,G-GY-,3,3,CSS,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,4,WORDS,----Y,5,5,LLM,SPINA,Y---Y,5,5,CSS,ASSET,YG---,4,4,LLM,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,6,GREAT,-G--Y,4,4,LLM,TROIS,GG---,3,3,CSS,TRUTH,GGG--,2,2,LLM,TRUNK,GGG--,2,2,CSS,TRUMP,GGG--,2,2,LLM,TRULY,GGGGG,0,0,CSS
7,SPENT,True,4,WORDS,----Y,5,5,LLM,STALE,GY--Y,4,4,CSS,SETUP,GYY-Y,4,4,LLM,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,4,GIVEN,---Y-,5,5,LLM,SLATE,Y-Y-G,4,4,CSS,CAUSE,-GGGG,1,1,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,False,6,CHECK,G----,4,4,LLM,CORSA,G-Y-Y,4,4,CSS,CRAFT,GGG--,2,2,LLM,CRABB,GGG--,2,2,CSS,GREEN,-G---,4,4,LLM,CRAWL,GGG--,2,2,CSS
10,BASES,True,5,WORDS,----G,4,4,LLM,MALES,-G-GG,2,2,CSS,PAGES,-G-GG,2,2,LLM,CASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,3,START,-----,5,5,LLM,LOGIE,-GY--,4,4,CSS,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,3,ABOUT,Y----,5,5,LLM,LAINE,-Y-GY,4,4,CSS,MEANS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
13,TRUTH,True,3,WORDS,--Y--,5,5,LLM,IRENA,-G---,4,4,CSS,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
14,FIRED,True,3,THINK,--Y--,5,5,LLM,MARIE,--GYY,4,4,CSS,FIRED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
15,FOLKS,True,5,GIVEN,-----,5,5,LLM,RAFTS,--Y-G,4,4,CSS,FLOWS,GYY-G,3,3,LLM,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,5,WORDS,-----,5,5,LLM,LATIN,Y--Y-,5,5,CSS,CLICK,GYG--,3,3,LLM,CHILL,GGGG-,1,1,CSS,CHILE,GGGGG,0,0,LLM,,,,,
17,BLACK,True,6,GREAT,---Y-,5,5,LLM,NAILS,-Y-Y-,5,5,CSS,GREEN,-----,5,5,LLM,ALCOA,YGY--,4,4,CSS,CLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,CSS
18,GRANT,True,3,START,--GYG,3,3,LLM,GRAFT,GGG-G,1,1,CSS,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
19,MEALS,True,4,FOCUS,----G,4,4,LLM,TEARS,-GG-G,2,2,CSS,MEANS,GGG-G,1,1,LLM,MEALS,GGGGG,0,0,CSS,,,,,,,,,,
20,CREAM,True,3,WORDS,--Y--,5,5,LLM,TRACE,-GYYY,4,4,CSS,CREAM,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
21,AWAKE,True,3,START,--G--,4,4,LLM,CLANG,--G--,4,4,CSS,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
22,OCCUR,True,3,WORDS,-YY--,5,5,LLM,ACORN,-GYY-,4,4,CSS,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
23,YEARS,True,4,SINCE,Y---Y,5,5,LLM,MARES,-YYYG,4,3,CSS,AYERS,YYYGG,3,2,LLM,YEARS,GGGGG,0,0,CSS,,,,,,,,,,
24,GRADE,True,2,WORDS,--YG-,4,4,LLM,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
25,CHILL,True,3,START,-----,5,5,LLM,HOYLE,Y--G-,4,4,CSS,CHILL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
26,FLOOD,True,4,WORDS,-Y-Y-,5,4,LLM,ELDON,-GYG-,3,3,CSS,BLOOD,-GGGG,1,1,LLM,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,
27,APPLY,True,5,THIRD,-----,5,5,LLM,SALEM,-YY--,5,5,CSS,BLACK,-YY--,5,5,LLM,ANGLO,G--G-,3,3,CSS,APPLY,GGGGG,0,0,LLM,,,,,
28,SMILE,True,4,WORDS,----Y,5,5,LLM,SHANE,G---G,3,3,CSS,STYLE,G--GG,2,2,LLM,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,5,WORDS,-Y---,5,5,LLM,ALTON,---YY,5,5,CSS,FIFTH,-----,5,5,LLM,PEONY,--GY-,4,4,CSS,KNOCK,GGGGG,0,0,LLM,,,,,
30,SLEEP,True,4,WORDS,----Y,5,5,LLM,SAINT,G----,4,4,CSS,SHELL,G-GY-,3,3,LLM,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,
31,BRICK,True,5,WORDS,--Y--,5,5,LLM,ARENT,-G---,4,4,CSS,FIRST,-YY--,5,5,LLM,CRIMP,YGG--,3,3,CSS,BRICK,GGGGG,0,0,LLM,,,,,
32,WROTE,True,3,THERE,Y--YG,4,4,LLM,PORTE,-YYGG,3,3,CSS,WROTE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
