game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,BEING,-----,5,5,LLM,POOLS,GYG--,3,3,CSS,PROOF,G-GY-,3,3,LLM,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,TRACE,YYY--,5,5,LLM,MURAT,--GYY,4,4,CSS,DARTS,-GGG-,2,2,LLM,BARTH,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,4,STILL,-YG--,4,4,LLM,FAINT,--G-Y,4,4,CSS,TRIPE,GGG--,2,2,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,5,TREAT,YY---,5,5,LLM,MOTOR,--Y-Y,5,5,CSS,STRIP,-YGY-,4,4,LLM,WIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,LLM,,,,,
5,USUAL,True,4,STATE,Y-Y--,5,4,LLM,FOSSA,--Y-Y,5,4,CSS,HARPS,-Y--Y,5,5,LLM,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,2,LATER,Y-Y-Y,5,5,LLM,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
7,SPENT,True,4,EVERY,--G--,4,4,LLM,SWELL,G-G--,3,3,CSS,STEAD,GYG--,3,3,LLM,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,4,STILL,Y----,5,5,LLM,CHAOS,--Y-Y,5,4,CSS,ASEAN,YYY--,5,4,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,5,STILL,-----,5,5,LLM,FARGO,-YY--,5,5,CSS,BRAND,-GG--,3,3,LLM,CRAMP,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,True,4,ARRAS,Y---G,4,4,LLM,WAXES,-G-GG,2,2,CSS,SAGES,YG-GG,2,2,LLM,BASES,GGGGG,0,0,CSS,,,,,,,,,,
