game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,OBRR,1B2W,LLM,84,BORO,0B2W,CSS,14,RWBR,2B1W,CSS,2,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,OBGY,1B2W,LLM,132,YOGR,0B3W,CSS,23,RBYG,1B3W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,False,10,NEXT,INVALID,LLM,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,GAME,INVALID,CSS,1296,GAME,INVALID,CSS,1296,HAVE,INVALID,CSS,1296,BLUE,INVALID,CSS,1296
4,BGWY,True,10,GAME,INVALID,LLM,1296,BEST,INVALID,CSS,1296,FROM,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,BRWW,2B0W,CSS,105,BRRG,1B1W,CSS,24,BYGW,1B3W,CSS,1,BGWY,4B0W,CSS,1
5,BROG,True,7,GAME,INVALID,LLM,1296,OBWR,0B3W,CSS,136,WYBO,0B2W,CSS,29,GROW,2B1W,CSS,4,RWOW,1B1W,CSS,2,BRGW,2B1W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,
6,GGWY,False,10,GAME,INVALID,LLM,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,MAKE,INVALID,CSS,1296,GAME,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,GAME,INVALID,CSS,1296,BEST,INVALID,CSS,1296
7,RWOW,True,7,FROM,INVALID,LLM,1296,NEXT,INVALID,CSS,1296,GAME,INVALID,CSS,1296,OBGR,0B2W,CSS,312,GYBY,0B0W,CSS,21,WRWO,0B4W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,
8,WGRR,True,3,WANT,INVALID,LLM,1296,YOWG,0B2W,CSS,312,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RWYB,1B1W,LLM,252,YWWG,1B0W,CSS,34,BOWB,2B0W,CSS,3,ROWR,3B0W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,6,BEST,INVALID,LLM,1296,WBRR,1B0W,CSS,182,GGYR,1B0W,CSS,27,WWYY,3B0W,CSS,4,WOYY,3B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,
11,ORRR,False,10,NEXT,INVALID,LLM,1296,GAME,INVALID,CSS,1296,GAME,INVALID,CSS,1296,BEST,INVALID,CSS,1296,GAME,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,HAVE,INVALID,CSS,1296,GAME,INVALID,CSS,1296,BEST,INVALID,CSS,1296,GAME,INVALID,CSS,1296
12,RGOW,True,8,BEST,INVALID,LLM,1296,GAME,INVALID,CSS,1296,THAT,INVALID,CSS,1296,GOOG,1B1W,CSS,208,ROBO,1B1W,CSS,32,YYOO,1B0W,CSS,6,GBWO,0B3W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,
13,RGOG,False,10,NEXT,INVALID,LLM,1296,GAME,INVALID,CSS,1296,GOAL,INVALID,CSS,1296,GAME,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,BEST,INVALID,CSS,1296,FROM,INVALID,CSS,1296,MOST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296
14,RWGW,False,10,MAKE,INVALID,LLM,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,CODE,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,MOST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,FROM,INVALID,CSS,1296
15,BRBY,False,10,NEXT,INVALID,LLM,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,CODE,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,GAME,INVALID,CSS,1296,GOOD,INVALID,CSS,1296,MAKE,INVALID,CSS,1296,OBRW,0B2W,CSS,312,GWGR,0B1W,CSS,58
16,BGGB,True,5,THAT,INVALID,LLM,1296,WWGG,1B1W,CSS,208,YWWB,1B0W,CSS,21,ROWG,0B1W,CSS,4,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,6,NEXT,INVALID,LLM,1296,NEXT,INVALID,CSS,1296,OOBR,2B1W,CSS,40,OROR,2B0W,CSS,8,ORBW,1B1W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,
18,WOGB,False,10,BEST,INVALID,LLM,1296,BEST,INVALID,CSS,1296,GAME,INVALID,CSS,1296,YOUR,INVALID,CSS,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296
19,RGYR,False,10,NEXT,INVALID,LLM,1296,HAVE,INVALID,CSS,1296,BEST,INVALID,CSS,1296,GAME,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,MOST,INVALID,CSS,1296,GAME,INVALID,CSS,1296,BEST,INVALID,CSS,1296
20,WGWY,True,5,BEST,INVALID,LLM,1296,BGGB,1B0W,CSS,256,OGWO,2B0W,CSS,23,OGYR,1B1W,CSS,6,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,False,10,LIST,INVALID,LLM,1296,NEXT,INVALID,CSS,1296,BEST,INVALID,CSS,1296,GAME,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,GAME,INVALID,CSS,1296,MAKE,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296
22,YWWG,False,10,MAKE,INVALID,LLM,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,GAME,INVALID,CSS,1296,CODE,INVALID,CSS,1296,GAME,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,RWOY,1B1W,CSS,252,BOOR,0B0W,CSS,20,WGGY,0B3W,CSS,3
23,BRYG,False,10,GAME,INVALID,LLM,1296,HAVE,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,GAME,INVALID,CSS,1296,BBWB,1B0W,CSS,317,YROB,1B2W,CSS,45,GBOY,0B3W,CSS,8
24,OGYG,False,10,NEXT,INVALID,LLM,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,GAME,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,MAKE,INVALID,CSS,1296
25,WYYR,True,5,YRGR,1B1W,LLM,230,BRRW,0B2W,CSS,34,GOBR,1B0W,CSS,3,WWYR,3B0W,CSS,1,WYYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,5,GAME,INVALID,LLM,1296,GWBO,0B3W,CSS,136,WOGR,0B2W,CSS,29,BGOY,2B1W,CSS,4,BYOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,9,BEST,INVALID,LLM,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BOBW,1B0W,CSS,182,YORO,0B1W,CSS,40,BRGG,2B1W,CSS,4,BGYG,1B1W,CSS,1,RRBG,4B0W,CSS,1,,,,
28,GYRB,True,6,BEST,INVALID,LLM,1296,RRYW,0B2W,CSS,222,YOWO,0B1W,CSS,36,WGGR,0B2W,CSS,5,GBRY,2B2W,CSS,1,GYRB,4B0W,CSS,1,,,,,,,,,,,,,,,,
29,ORRG,False,10,NEXT,INVALID,LLM,1296,BEST,INVALID,CSS,1296,SURE,INVALID,CSS,1296,GAME,INVALID,CSS,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,THAT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,GAME,INVALID,CSS,1296,BEST,INVALID,CSS,1296
30,YGBR,True,7,BEST,INVALID,LLM,1296,GAME,INVALID,CSS,1296,OBOW,0B1W,CSS,276,WGRG,1B1W,CSS,53,BGGY,1B2W,CSS,6,BRYG,0B4W,CSS,1,YGBR,4B0W,CSS,1,,,,,,,,,,,,
31,GBWR,False,10,NEXT,INVALID,LLM,1296,BEST,INVALID,CSS,1296,GAME,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,GAME,INVALID,CSS,1296
32,BRGB,False,10,NEXT,INVALID,LLM,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,MOST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,BEST,INVALID,CSS,1296,GAME,INVALID,CSS,1296,DOWN,INVALID,CSS,1296,BEST,INVALID,CSS,1296
33,YGRW,True,9,WITH,INVALID,LLM,1296,CODE,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,BEST,INVALID,CSS,1296,OOGW,1B1W,CSS,230,OYRO,1B1W,CSS,39,ORBG,0B2W,CSS,6,WORR,1B1W,CSS,1,YGRW,4B0W,CSS,1,,,,
34,RWGY,True,7,NEXT,INVALID,LLM,1296,SURE,INVALID,CSS,1296,HAVE,INVALID,CSS,1296,GORW,0B3W,CSS,136,WYGO,1B2W,CSS,20,RGYO,1B2W,CSS,4,RWGY,4B0W,CSS,1,,,,,,,,,,,,
35,YYYO,True,7,CODE,INVALID,LLM,1296,THAT,INVALID,CSS,1296,BBBY,0B1W,CSS,308,OOYW,1B1W,CSS,66,YWGW,1B0W,CSS,4,OWRB,0B1W,CSS,1,YYYO,4B0W,CSS,1,,,,,,,,,,,,
36,RWYR,True,9,GAME,INVALID,LLM,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,ROYG,2B0W,CSS,96,RBYR,3B0W,CSS,6,RWYR,4B0W,CSS,1,,,,
37,YBBY,False,10,BEST,INVALID,LLM,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,BEST,INVALID,CSS,1296,MAKE,INVALID,CSS,1296,YOUR,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,BRGB,0B2W,CSS,222,GGYR,0B1W,CSS,27
38,YGYB,False,10,CODE,INVALID,LLM,1296,BEST,INVALID,CSS,1296,MAKE,INVALID,CSS,1296,GAME,INVALID,CSS,1296,GAME,INVALID,CSS,1296,GAME,INVALID,CSS,1296,LIST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,MOST,INVALID,CSS,1296
39,WOBR,True,5,GYYW,0B1W,LLM,276,OWRO,0B3W,CSS,12,BOWR,2B2W,CSS,2,ROWB,1B3W,CSS,1,WOBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
40,BYRG,True,4,WGOO,0B1W,LLM,276,BWYY,1B1W,CSS,58,RYYG,2B1W,CSS,2,BYRG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
41,RBBO,False,10,GAME,INVALID,LLM,1296,GAME,INVALID,CSS,1296,GAME,INVALID,CSS,1296,BEST,INVALID,CSS,1296,GAME,INVALID,CSS,1296,MOST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,BEST,INVALID,CSS,1296,MOST,INVALID,CSS,1296,GAME,INVALID,CSS,1296
42,OBRO,False,10,THAT,INVALID,LLM,1296,BEST,INVALID,CSS,1296,BEST,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,CODE,INVALID,CSS,1296,NEXT,INVALID,CSS,1296,MAKE,INVALID,CSS,1296,BEST,INVALID,CSS,1296,MAKE,INVALID,CSS,1296,BEST,INVALID,CSS,1296
