game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,YBRB,0B2W,LLM,222,GRGY,2B0W,CSS,21,BRGW,1B2W,CSS,2,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,WYBO,1B1W,LLM,252,WGYG,1B1W,CSS,38,RGBW,3B0W,CSS,2,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,GWYR,1B1W,LLM,252,BYRR,2B0W,CSS,18,BGOR,1B0W,CSS,2,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,3,GBRR,0B2W,LLM,222,BGGY,3B0W,CSS,12,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,OGGW,0B2W,LLM,222,RYWO,0B2W,CSS,41,GOYB,0B3W,CSS,2,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,YWGR,0B3W,LLM,136,WBRY,1B1W,CSS,26,GYRO,1B1W,CSS,4,WYWG,1B2W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RGWO,1B2W,LLM,132,WGOB,1B1W,CSS,24,WRRO,0B3W,CSS,4,RWOY,3B0W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,GBGO,0B1W,LLM,276,YYRB,1B0W,CSS,31,WORR,3B0W,CSS,4,OORR,2B0W,CSS,2,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,ORYB,0B2W,LLM,312,RBWW,2B0W,CSS,31,YBGW,0B1W,CSS,2,ROWR,3B0W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,OYWO,1B1W,LLM,230,GBOO,0B0W,CSS,20,WYRR,2B0W,CSS,2,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,WYYW,0B0W,LLM,256,RRGO,1B2W,CSS,40,ROOG,0B2W,CSS,6,GRRB,2B0W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,WROY,1B2W,LLM,132,BWOR,1B2W,CSS,17,BOWY,0B2W,CSS,2,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,YWOG,2B0W,LLM,96,BWOW,1B0W,CSS,26,ROOG,3B0W,CSS,4,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,ORGR,1B1W,LLM,230,YRRB,0B1W,CSS,41,OBOG,0B1W,CSS,6,RGGW,3B0W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,GYRY,1B1W,LLM,230,YYOB,0B2W,CSS,34,OWGY,1B0W,CSS,3,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,YYRB,1B0W,LLM,182,YGWW,1B0W,CSS,27,GGBB,2B2W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,3,YWGY,0B0W,LLM,81,RBRR,0B1W,CSS,8,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,3,GRBW,0B3W,LLM,136,BWOG,0B4W,CSS,3,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
