game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,BWRB,0B2W,LLM,222,ORWW,1B0W,CSS,24,GBYW,1B1W,CSS,4,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,YYYO,0B1W,LLM,308,GOBW,1B1W,CSS,53,ROWR,1B0W,CSS,7,GGWY,2B0W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,WYRG,1B1W,LLM,252,WRWO,0B1W,CSS,50,BYBR,2B0W,CSS,6,YYYR,2B0W,CSS,2,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,NEXT,INVALID,LLM,1296,WWGO,0B2W,CSS,222,BOOG,1B1W,CSS,41,GGOY,2B0W,CSS,3,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,YWRR,0B1W,LLM,276,GBGY,0B2W,CSS,42,OYBO,0B2W,CSS,5,RGOB,1B3W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,WBYW,0B2W,LLM,222,YGBR,1B1W,CSS,41,OYWR,1B1W,CSS,7,OOBY,1B0W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,WYWO,0B3W,LLM,44,BOYW,1B1W,CSS,7,GWOW,3B0W,CSS,2,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RYYW,0B2W,LLM,222,WBGR,2B1W,CSS,14,WBRO,2B0W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,6,NEXT,INVALID,LLM,1296,WYOY,0B2W,CSS,222,GOWW,2B0W,CSS,25,OOWB,2B1W,CSS,3,OORW,1B3W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,
10,WYYY,True,5,WOWG,1B0W,LLM,182,YOBO,0B1W,CSS,40,RBWR,0B1W,CSS,4,GRYG,1B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,3,YWBY,0B0W,LLM,81,GOGG,0B1W,CSS,8,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,WOWO,0B2W,LLM,96,OBRW,1B2W,CSS,16,RYOW,3B0W,CSS,3,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,GBRR,0B2W,LLM,222,BYGB,0B1W,CSS,27,ORBO,0B2W,CSS,4,RGOW,3B0W,CSS,1,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,WBGR,1B2W,LLM,132,YBRW,1B1W,CSS,24,WGRG,0B3W,CSS,4,ORGW,2B1W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,RRGR,1B0W,LLM,317,YRWO,1B1W,CSS,45,WOGO,0B0W,CSS,7,BRYB,2B2W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,GRGR,1B1W,LLM,208,GOYG,0B2W,CSS,23,RBGY,1B1W,CSS,5,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,8,NEXT,INVALID,LLM,1296,MAKE,INVALID,CSS,1296,WILL,INVALID,CSS,1296,WOWG,1B0W,CSS,182,WRYR,0B0W,CSS,16,OOBB,3B0W,CSS,3,OOBO,2B2W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,
18,WOGB,True,6,WOBB,3B0W,LLM,20,WOYB,3B0W,CSS,4,WOOB,3B0W,CSS,3,WOWB,3B0W,CSS,2,WORB,3B0W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,
19,RGYR,True,5,GGRR,2B1W,LLM,32,OGGR,2B0W,CSS,3,RGWR,3B0W,CSS,2,RGBR,3B0W,CSS,1,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,6,BBGW,0B2W,LLM,222,RYWG,1B2W,CSS,38,OWRG,0B2W,CSS,8,GYBR,0B2W,CSS,2,YGWY,3B0W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,
21,GWGW,True,4,BRYY,0B0W,LLM,81,GOGG,2B0W,CSS,15,OOOG,0B1W,CSS,1,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,4,WWOB,1B1W,LLM,230,WGYW,0B4W,CSS,2,GWWY,2B2W,CSS,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
