game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,HOUSE,YY---,5,4,LLM,CHOIR,-GG--,3,3,CSS,THONG,YGG--,3,3,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,4,HOUSE,-----,5,5,LLM,DARLA,-GG--,3,3,CSS,MARTI,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,5,GRAIN,-G-Y-,4,4,LLM,TRIES,GGG--,2,2,CSS,TRILL,GGG--,2,2,CSS,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,
4,DIRTY,True,4,HOUSE,-----,5,5,LLM,TILDA,YG-Y-,4,4,CSS,DITTY,GG-GG,1,1,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,5,CORAL,---GG,3,3,LLM,NATAL,---GG,3,3,CSS,MEDAL,---GG,3,3,CSS,HILAL,---GG,3,3,CSS,USUAL,GGGGG,0,0,CSS,,,,,
6,TRULY,True,4,ROOMS,Y----,5,5,LLM,FAIRE,---Y-,5,5,CSS,CRYPT,-GY-Y,4,4,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,4,HOUSE,---YY,5,5,LLM,PERES,YY--Y,5,4,CSS,SPELT,GGG-G,1,1,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,4,ROUGH,--G--,4,4,LLM,SAULT,YGG--,3,3,CSS,CAUSE,-GGGG,1,1,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,4,KNIFE,-----,5,5,LLM,SURAT,--YY-,5,4,CSS,COBRA,G--YY,4,4,CSS,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,True,4,HOUSE,---YY,5,4,LLM,RATES,-G-GG,2,2,CSS,CASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,CSS,,,,,,,,,,
11,YOUNG,True,3,HOUSE,-GG--,3,3,LLM,MOUND,-GGG-,2,2,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
12,MEANS,True,4,HOUSE,---YY,5,5,LLM,LANES,-YYYG,4,3,CSS,BEANS,-GGGG,1,1,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,4,SPIEL,-----,5,5,LLM,MACON,-----,5,5,CSS,BURGH,-YY-G,4,4,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,6,INDEX,Y-YG-,4,4,LLM,TIRED,-GGGG,1,1,CSS,HIRED,-GGGG,1,1,CSS,SIRED,-GGGG,1,1,CSS,WIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS
15,FOLKS,True,4,HOUSE,-G-Y-,4,4,LLM,COOLS,-G-YG,3,3,CSS,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,3,STANS,-----,5,5,LLM,CRIED,G-GY-,3,3,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,True,4,FIELD,---Y-,5,5,LLM,SLOAN,-G-Y-,4,4,CSS,PLAYA,-GG--,3,3,CSS,BLACK,GGGGG,0,0,CSS,,,,,,,,,,
18,GRANT,True,4,HOUSE,-----,5,5,LLM,KARIN,-YY-Y,5,4,CSS,GRAND,GGGG-,1,1,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,4,TURNS,----G,4,4,LLM,AILES,Y-YYG,4,4,CSS,DEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,,,,,,
20,CREAM,True,5,HOUSE,----Y,5,5,LLM,TRIED,-G-Y-,4,4,CSS,FREAK,-GGG-,2,2,CSS,BREAM,-GGGG,1,1,CSS,CREAM,GGGGG,0,0,CSS,,,,,
21,AWAKE,True,4,HOUSE,----G,4,4,LLM,EARLE,-Y--G,4,4,CSS,ANGIE,G---G,3,3,CSS,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,4,BENCH,---Y-,5,5,LLM,COALS,YY---,5,5,CSS,MCCOY,-GGY-,3,3,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,True,3,HURRY,---GY,4,4,LLM,BYERS,-YYGG,3,2,CSS,YEARS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
24,GRADE,True,3,HOUSE,----G,4,4,LLM,LAINE,-Y--G,4,4,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
25,CHILL,True,5,HOUSE,Y----,5,5,LLM,CHART,GG---,3,3,CSS,CHILI,GGGG-,1,1,CSS,CHILD,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,CSS,,,,,
26,FLOOD,True,4,STEED,----G,4,4,LLM,ROALD,-Y-YG,4,4,CSS,BLOOD,-GGGG,1,1,CSS,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,
27,APPLY,True,5,HOUSE,-----,5,5,LLM,DALIA,-YY--,5,5,CSS,CLANK,-YY--,5,5,CSS,AMPLY,G-GGG,1,1,CSS,APPLY,GGGGG,0,0,CSS,,,,,
28,SMILE,True,4,HOUSE,---YG,4,4,LLM,SPATE,G---G,3,3,CSS,SEINE,G-G-G,2,2,CSS,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,5,HOUSE,-Y---,5,5,LLM,ADORN,--G-Y,4,4,CSS,KNOLL,GGG--,2,2,CSS,KNOPF,GGG--,2,2,CSS,KNOCK,GGGGG,0,0,CSS,,,,,
30,SLEEP,True,4,HOUSE,---YY,5,5,LLM,RATES,---GY,4,4,CSS,SWEEP,G-GGG,1,1,CSS,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,
31,BRICK,True,5,HOUSE,-----,5,5,LLM,RAINA,Y-G--,4,4,CSS,FLIRT,--GY-,4,4,CSS,CRIMP,YGG--,3,3,CSS,BRICK,GGGGG,0,0,CSS,,,,,
32,WROTE,True,4,SMASH,-----,5,5,LLM,LORNE,-YY-G,4,4,CSS,TROPE,YGG-G,2,2,CSS,WROTE,GGGGG,0,0,CSS,,,,,,,,,,
33,RATED,True,2,PALES,-G-G-,3,3,LLM,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
34,ALERT,True,3,HOUSE,----Y,5,5,LLM,RATED,YYYY-,5,4,CSS,ALERT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
35,CAGES,True,4,SPERM,Y-Y--,5,5,LLM,TALES,-G-GG,2,2,CSS,CAVES,GG-GG,1,1,CSS,CAGES,GGGGG,0,0,CSS,,,,,,,,,,
36,TEDDY,True,4,HEARS,-G---,4,4,LLM,GENIE,-G---,4,4,CSS,TELCO,GG---,3,3,CSS,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,
37,COLES,True,6,HOUSE,-G-YY,4,4,LLM,MOSER,-GYG-,3,3,CSS,BONES,-G-GG,2,2,CSS,LOPES,YG-GG,2,2,CSS,FOLES,-GGGG,1,1,CSS,COLES,GGGGG,0,0,CSS
38,HWANG,True,3,GRABS,Y-G--,4,4,LLM,THANG,-YGGG,2,2,CSS,HWANG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
39,WRATH,True,4,BRAKE,-GG--,3,3,LLM,TRAPS,YGG--,3,3,CSS,GRANT,-GG-Y,3,3,CSS,WRATH,GGGGG,0,0,CSS,,,,,,,,,,
40,MACHO,True,3,HOUSE,YY---,5,5,LLM,CHOIR,YYY--,5,4,CSS,MACHO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
41,LOPEZ,True,5,HOUSE,-G--Y,4,4,LLM,ROWED,-G-G-,3,3,CSS,MOTEL,-G-GY,3,3,CSS,FOLEY,-GYG-,3,3,CSS,LOPEZ,GGGGG,0,0,CSS,,,,,
42,GOODY,True,4,HOUSE,-G---,4,4,LLM,DORAN,YG---,4,4,CSS,WOODY,-GGGG,1,1,CSS,GOODY,GGGGG,0,0,CSS,,,,,,,,,,
43,BROTH,True,3,TABLE,Y-Y--,5,5,LLM,BOUTS,GY-G-,3,3,CSS,BROTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
