game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,GYRR,2B1W,CSS,40,BYGR,1B2W,LLM,9,GOYR,2B0W,LLM,1,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,OGRG,1B1W,CSS,230,OROW,0B1W,LLM,43,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,6,RGBW,1B1W,CSS,252,YGRY,0B2W,LLM,35,ROYB,1B1W,LLM,6,RYWR,1B1W,LLM,3,RRGO,0B0W,LLM,1,BYYW,4B0W,LLM,1,,,,,,,,,,,,,,,,
4,BGWY,True,4,OWBG,0B3W,CSS,136,BOWY,3B0W,LLM,7,BOGY,2B1W,LLM,2,BGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,6,RBGW,0B3W,CSS,136,WGOB,1B2W,LLM,20,GWOR,1B2W,LLM,5,OGBR,0B4W,LLM,2,GORB,0B4W,LLM,1,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,
6,GGWY,True,5,WYGW,0B3W,CSS,44,YWWY,2B0W,LLM,27,YRWG,1B2W,LLM,6,GOWY,3B0W,LLM,2,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,WRRY,0B2W,CSS,222,RGWW,2B1W,LLM,12,OGWR,0B3W,LLM,2,RWOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RRGB,0B3W,CSS,44,BWRG,1B2W,LLM,7,BGOR,2B0W,LLM,1,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,YBBW,0B1W,CSS,276,ROGY,2B0W,LLM,22,RRRY,1B0W,LLM,8,ROWO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,6,YYOG,1B1W,CSS,230,WWYG,2B0W,LLM,21,GGYG,1B0W,LLM,10,WORG,1B0W,LLM,2,WYYB,3B0W,LLM,1,WYYY,4B0W,LLM,1,,,,,,,,,,,,,,,,
11,ORRR,True,4,BOBG,0B1W,CSS,276,YRGW,1B0W,LLM,17,RRRO,2B2W,LLM,2,ORRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,GWRR,0B3W,CSS,44,RRWB,1B1W,LLM,13,WROG,1B3W,LLM,2,RGOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,YYRB,0B1W,CSS,276,GGYO,1B2W,LLM,19,OGGR,1B3W,LLM,1,RGOG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,ROGO,2B0W,CSS,105,RRGG,2B0W,LLM,17,RYGW,3B0W,LLM,4,RYGB,2B0W,LLM,1,RWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,YBGG,0B2W,CSS,222,GRWY,2B0W,LLM,22,GRBR,2B0W,LLM,2,ORBY,3B0W,LLM,1,BRBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,BWYO,1B0W,CSS,108,RYYG,0B1W,LLM,26,OGOO,1B0W,LLM,2,BGGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
