game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGBY,1B2W,LLM,132,OGYB,0B2W,CSS,38,GRWY,2B0W,CSS,3,BRRY,1B2W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,RGYB,2B2W,LLM,6,RBYG,1B3W,CSS,4,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RRRR,0B0W,LLM,625,WOGO,0B1W,CSS,92,BBYW,3B0W,CSS,6,BWYW,3B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGYB,1B2W,LLM,132,GRYW,0B3W,CSS,26,YGRR,1B1W,CSS,4,WGBY,2B2W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,RGBY,0B3W,LLM,136,YOGR,0B3W,CSS,18,BYOG,3B0W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RGYB,1B1W,LLM,252,ROBO,0B0W,CSS,20,YGWW,2B1W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RYYB,1B0W,LLM,182,OOWB,0B2W,CSS,17,GYOW,2B0W,CSS,2,RROW,3B0W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RRRR,2B0W,LLM,150,RWRO,1B2W,CSS,40,WBRR,3B0W,CSS,3,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RGOB,1B1W,LLM,252,ROYO,3B0W,CSS,8,ROYY,2B0W,CSS,2,RORO,3B0W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RGBY,1B0W,LLM,108,WGWO,1B0W,CSS,13,BBBO,0B0W,CSS,4,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,2,RRRR,3B0W,LLM,20,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RGYB,2B0W,LLM,96,GGWB,1B1W,CSS,24,OWYB,0B2W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RGBY,2B0W,LLM,96,GGOY,2B1W,CSS,6,WGGY,1B1W,CSS,2,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,6,RRRR,1B0W,LLM,500,RGYG,1B1W,CSS,98,WRYO,0B2W,CSS,17,OGRB,0B2W,CSS,3,RBBY,1B0W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
15,BRBY,True,5,RRRR,1B0W,LLM,500,GORY,1B1W,CSS,84,BGRG,1B1W,CSS,16,OBRO,0B2W,CSS,3,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,RGBY,1B1W,LLM,252,BRBO,1B1W,CSS,49,WROY,0B0W,CSS,3,GBBG,0B4W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,RGYB,1B0W,LLM,108,RORO,1B1W,CSS,18,OGWO,1B1W,CSS,3,OOBB,3B0W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,4,RGBY,0B2W,LLM,312,BROW,0B3W,CSS,32,OWGB,2B2W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,RGYB,3B0W,LLM,20,RGYW,3B0W,CSS,4,RGYO,3B0W,CSS,3,RGYY,3B0W,CSS,2,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RRRR,0B0W,LLM,625,WOWY,3B0W,CSS,16,GOWY,2B1W,CSS,5,WOBY,2B0W,CSS,2,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,RGYB,0B1W,LLM,152,OWWG,1B2W,CSS,21,YWOW,2B0W,CSS,3,WWGW,3B0W,CSS,1,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,RGYB,0B2W,LLM,312,OORG,1B0W,CSS,54,GWBG,2B0W,CSS,4,GYGG,1B1W,CSS,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
