game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RRRY,1B1W,LLM,156,YBRW,0B2W,CSS,31,WROR,2B0W,CSS,3,BRGR,2B2W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RGGB,0B1W,LLM,276,YBOY,0B3W,CSS,12,BWYO,2B1W,CSS,2,BYBO,2B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGBO,1B1W,LLM,252,GYWO,1B2W,CSS,21,OYBW,0B3W,CSS,5,YWRO,0B2W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,ROBY,0B3W,LLM,136,BRYG,3B0W,CSS,5,BRYB,2B0W,CSS,2,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RGBY,2B0W,LLM,96,RWBB,0B1W,CSS,7,WGGY,2B2W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,RRBB,1B0W,LLM,256,OGBO,0B1W,CSS,49,GRYG,0B1W,CSS,5,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RYGB,0B2W,LLM,312,YGOO,1B0W,CSS,50,YRYW,0B2W,CSS,8,WBRO,2B0W,CSS,2,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RRBB,1B0W,LLM,256,YOBY,1B0W,CSS,29,ROOW,2B2W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RYYY,3B0W,LLM,20,RYYR,2B0W,CSS,5,GYYY,3B0W,CSS,4,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RYBO,0B2W,LLM,312,GROG,1B1W,CSS,50,GBWR,1B0W,CSS,3,OOOR,2B0W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RRBB,1B0W,LLM,256,RYGY,1B1W,CSS,51,ROWG,1B3W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RRBB,1B0W,LLM,256,OWYB,0B1W,CSS,27,RGGY,2B1W,CSS,4,RGWG,3B0W,CSS,1,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,RGBY,1B1W,LLM,252,YBBW,1B0W,CSS,29,YGYO,0B1W,CSS,5,ORBR,0B1W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,RGBY,2B1W,LLM,48,GGBR,1B1W,CSS,15,YGRY,1B1W,CSS,3,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,YRRO,0B0W,LLM,81,GGWG,1B1W,CSS,12,BBGG,2B2W,CSS,2,GBGB,2B2W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,RRBB,1B0W,LLM,256,WYYB,1B0W,CSS,29,WROW,1B0W,CSS,5,GRYG,0B0W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RRRR,0B0W,LLM,625,GBGB,2B0W,CSS,68,GBOW,0B4W,CSS,2,OWGB,2B2W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,RRRR,2B0W,LLM,150,RRYO,2B1W,CSS,22,BRYR,2B1W,CSS,4,RWYR,3B0W,CSS,2,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RRYY,1B0W,LLM,256,ROGW,0B2W,CSS,51,BWYG,0B3W,CSS,6,WBOY,2B0W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
