game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,3,RYGG,0B2W,LLM,222,GWRR,2B1W,CSS,10,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,GGYO,1B1W,LLM,230,ROYY,2B0W,CSS,13,WOYW,0B1W,VOI,2,RGRY,3B0W,CSS,1,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,ORGB,0B1W,LLM,152,WWRY,0B2W,CSS,21,YBYW,2B2W,VOI,2,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RRYY,1B0W,LLM,256,RBWW,1B1W,CSS,42,WOWY,2B0W,VOI,3,WBBY,1B2W,CSS,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,3,RBBB,0B2W,LLM,61,BOGR,1B3W,CSS,2,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,GYBG,1B2W,LLM,84,GBYY,2B0W,CSS,14,GRGY,2B1W,VOI,3,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,OYGB,0B1W,LLM,152,WWRO,1B3W,CSS,3,WOWR,0B4W,VOI,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,OYRY,1B0W,LLM,182,OWGO,0B2W,CSS,23,WGBY,2B0W,VOI,3,WGRG,3B0W,CSS,2,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,YYGW,0B1W,LLM,276,OWBO,1B2W,CSS,27,WBRO,1B2W,VOI,4,WWOB,0B2W,CSS,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RYWG,1B1W,LLM,252,RBYY,2B0W,CSS,22,RRYO,1B0W,VOI,6,GYYY,3B0W,CSS,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,OYOY,1B0W,LLM,256,GROG,1B1W,CSS,51,BWOR,1B1W,VOI,8,GYWR,1B0W,CSS,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,RYWY,1B1W,LLM,230,YYGB,0B1W,CSS,41,GWWR,0B3W,VOI,2,RGRW,3B0W,CSS,1,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RYGO,1B2W,LLM,132,YRBO,0B2W,CSS,38,RWOG,3B0W,VOI,3,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,BOYB,0B0W,LLM,81,GGGR,1B1W,CSS,12,RGRW,2B1W,VOI,2,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,RYGG,0B2W,LLM,222,BGYY,2B0W,CSS,32,BBRY,2B2W,VOI,2,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,ROGG,1B1W,LLM,230,WORR,0B0W,CSS,20,GBGB,2B2W,VOI,2,GBBG,0B4W,CSS,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,YYGO,0B1W,LLM,276,GBRW,0B1W,CSS,10,BOOB,3B0W,VOI,2,BOBB,2B0W,CSS,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,3,RYBR,0B1W,LLM,276,OOGY,2B0W,CSS,28,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,GYBO,0B2W,LLM,312,WBGW,0B1W,CSS,58,YGRR,2B2W,VOI,3,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RYRG,0B2W,LLM,222,YGBY,2B0W,CSS,31,OGWY,3B0W,VOI,4,GGWY,3B0W,CSS,1,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,RYBY,0B0W,LLM,81,GWWW,3B0W,CSS,8,GWWG,2B2W,VOI,2,GGWW,2B2W,CSS,1,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,4,YRRO,1B0W,LLM,182,WGRW,0B3W,CSS,5,GRWB,1B1W,VOI,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,4,ROWW,0B1W,LLM,276,YBRY,0B3W,CSS,12,BYBR,1B2W,VOI,1,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,4,GRGW,0B2W,LLM,222,OWRR,1B0W,CSS,24,YGRB,1B1W,VOI,4,OGYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,6,RYBY,1B2W,LLM,84,BYRR,2B0W,CSS,14,OYYR,3B0W,VOI,3,YYYR,3B0W,CSS,2,GYYR,3B0W,VOI,1,WYYR,4B0W,CSS,1,,,,,,,,,,,,,,,,
26,BYOW,True,5,YYBG,1B1W,LLM,230,RGBB,0B1W,CSS,43,YOGW,1B2W,VOI,7,GOYG,0B2W,CSS,2,BYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,4,YYGB,0B2W,LLM,222,RGBR,2B2W,CSS,3,GRBR,2B2W,VOI,1,RRBG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,4,RWWO,0B1W,LLM,276,GYRG,3B0W,CSS,9,BYRG,2B2W,VOI,1,GYRB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,YYYB,0B0W,LLM,256,RRWG,2B1W,CSS,20,RWGG,1B1W,VOI,4,RRRW,2B0W,CSS,1,ORRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,3,OBYG,0B3W,LLM,136,WGBO,2B0W,CSS,14,YGBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,5,RWYG,0B3W,LLM,136,OYRW,0B2W,CSS,29,WGBY,0B3W,VOI,4,YRGB,0B3W,CSS,1,GBWR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,4,YYRW,0B1W,LLM,276,GOOR,0B2W,CSS,42,RGBB,1B3W,VOI,2,BRGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,4,RBWG,0B3W,LLM,136,OGBR,1B1W,CSS,26,GWYR,0B4W,VOI,2,YGRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
34,RWGY,True,5,ROYG,1B2W,LLM,132,OYBG,0B2W,CSS,38,RGWO,1B2W,VOI,6,WGYR,0B4W,CSS,1,RWGY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
35,YYYO,True,4,RROG,0B1W,LLM,276,WYGW,1B0W,CSS,31,BYYO,3B0W,VOI,4,YYYO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
36,RWYR,True,5,WBGY,0B2W,LLM,312,GOYG,1B0W,CSS,43,BRRG,0B2W,VOI,5,GWWR,2B0W,CSS,1,RWYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
37,YBBY,True,4,OYRW,0B1W,LLM,152,GGYB,0B2W,CSS,21,BOBG,1B1W,VOI,3,YBBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
38,YGYB,True,3,YYOG,1B2W,LLM,84,YGGO,2B0W,CSS,14,YGYB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,WOBR,True,4,ORYW,0B3W,LLM,136,GWOY,0B2W,CSS,29,BYWR,1B2W,VOI,5,WOBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
40,BYRG,True,4,RROB,0B2W,LLM,222,GOBO,0B2W,CSS,30,BGYR,1B3W,VOI,2,BYRG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
41,RBBO,True,3,RROB,1B2W,LLM,84,BRBO,2B2W,CSS,1,RBBO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,OBRO,True,3,RYRY,1B0W,LLM,256,BORO,2B2W,CSS,3,OBRO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,WRYR,True,5,GBYG,1B0W,LLM,182,RBOW,0B2W,CSS,35,GORR,1B1W,VOI,6,WOWG,1B0W,CSS,1,WRYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
44,GGRY,True,4,RYRB,1B1W,LLM,230,YOBB,0B1W,CSS,48,WGRY,3B0W,VOI,2,GGRY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
45,YYYG,True,5,YOOW,1B0W,LLM,182,BGOB,0B1W,CSS,37,WRBW,0B0W,VOI,3,YYGY,2B2W,CSS,1,YYYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
46,ROBW,True,4,RYWB,1B2W,LLM,132,YWGB,0B2W,CSS,38,OYRW,1B2W,VOI,6,ROBW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
47,WGBB,True,5,BOYR,0B1W,LLM,152,RWGW,0B2W,CSS,21,GGWY,1B1W,VOI,3,WGOO,2B0W,CSS,1,WGBB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
48,BOOR,True,6,OYGB,0B2W,LLM,312,YORR,2B0W,CSS,35,GORW,1B1W,VOI,7,YGRY,0B1W,CSS,2,BOBR,3B0W,VOI,1,BOOR,4B0W,CSS,1,,,,,,,,,,,,,,,,
49,WWOY,True,5,YRBR,0B1W,LLM,276,OWYO,1B2W,CSS,27,OYGW,0B3W,VOI,2,WOYY,2B1W,CSS,1,WWOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
50,WWGR,True,5,RYBG,0B2W,LLM,312,OOGR,2B0W,CSS,31,OWGB,2B0W,VOI,5,GWGR,3B0W,CSS,1,WWGR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
51,YBYB,True,6,GOBG,0B1W,LLM,276,ORRY,0B1W,CSS,40,YBYW,3B0W,VOI,5,YBWW,2B0W,CSS,2,YGYW,2B0W,VOI,1,YBYB,4B0W,CSS,1,,,,,,,,,,,,,,,,
52,WBWR,True,5,RYOB,0B2W,LLM,312,OOWY,1B0W,CSS,46,BGYY,0B1W,VOI,7,ORGR,1B0W,CSS,1,WBWR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
53,GOWY,True,5,OYOB,0B2W,LLM,222,YOYR,1B1W,CSS,39,GBYY,2B0W,VOI,5,GOGY,3B0W,CSS,1,GOWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
54,RYWO,True,5,ROWW,2B1W,LLM,40,RROW,1B2W,CSS,8,GORW,0B3W,VOI,2,RBWO,3B0W,CSS,1,RYWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
55,RBYY,True,5,YRGY,1B2W,LLM,84,RGRY,2B0W,CSS,14,RWYY,3B0W,VOI,3,ROYY,3B0W,CSS,2,RBYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
56,BRWO,True,5,BOWW,2B1W,LLM,40,BBOW,1B2W,CSS,8,OOBW,0B3W,VOI,3,BYWO,3B0W,CSS,2,BRWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
57,BOBO,True,4,RYOO,1B1W,LLM,230,GOBO,3B0W,CSS,6,WOBO,3B0W,VOI,2,BOBO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
58,ROYG,True,5,YYWB,0B1W,LLM,276,OWOG,1B1W,CSS,51,OOBR,1B1W,VOI,6,ORRW,0B2W,CSS,1,ROYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
59,RWOB,True,4,ROOB,3B0W,LLM,20,RGOB,3B0W,CSS,4,RROB,3B0W,VOI,3,RWOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
60,OGOO,True,5,RYBY,0B0W,LLM,81,GGGW,1B0W,CSS,11,OOGO,2B2W,VOI,2,GOOO,2B2W,CSS,1,OGOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
61,YBOY,True,5,GYOB,1B2W,LLM,132,RYBO,0B3W,CSS,26,OBYB,1B2W,VOI,4,YOWB,1B2W,CSS,1,YBOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
62,GYGY,True,5,GRBW,1B0W,LLM,108,OYBO,1B0W,CSS,13,YYWW,1B1W,VOI,3,GYYG,2B2W,CSS,1,GYGY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
63,YYRB,True,5,ROWY,0B2W,LLM,312,BYOG,1B1W,CSS,63,GYYR,1B2W,VOI,3,YYGW,2B0W,CSS,1,YYRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
64,YBGG,True,6,GBWG,2B1W,LLM,40,GGWW,0B2W,CSS,8,OBGG,3B0W,VOI,3,BBGG,3B0W,CSS,2,RBGG,3B0W,VOI,1,YBGG,4B0W,CSS,1,,,,,,,,,,,,,,,,
65,GWWY,True,4,ROWY,2B0W,LLM,96,RBYY,1B0W,CSS,26,ROOG,0B1W,VOI,3,GWWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
66,BYGR,True,5,RYRR,2B0W,LLM,123,RYGY,2B1W,CSS,14,RYYB,1B2W,VOI,4,OYRY,1B1W,CSS,1,BYGR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
67,RORB,True,5,RBOW,1B2W,LLM,132,WBGO,0B2W,CSS,38,YORW,2B0W,VOI,3,BRRW,1B2W,CSS,1,RORB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
68,WOYW,True,3,WYBW,2B1W,LLM,40,BYYW,2B0W,CSS,8,WOYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,GYOB,True,4,RBRO,0B2W,LLM,222,BOYG,0B4W,CSS,4,OGBY,0B4W,VOI,1,GYOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
70,WRBG,True,5,YYGO,0B1W,LLM,276,BGBR,1B2W,CSS,27,RWBG,2B2W,VOI,2,BWRG,1B3W,CSS,1,WRBG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
71,GYGO,True,5,OYRB,1B1W,LLM,252,RYWR,1B0W,CSS,34,YYGO,3B0W,VOI,3,YYYO,2B0W,CSS,1,GYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
72,OBGO,True,6,RBGG,2B0W,LLM,105,RBOR,1B1W,CSS,24,WBGO,3B0W,VOI,3,YBGO,3B0W,CSS,2,BBGO,3B0W,VOI,1,OBGO,4B0W,CSS,1,,,,,,,,,,,,,,,,
73,YYYY,True,3,RYOW,1B0W,LLM,108,RBBG,0B0W,CSS,3,YYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,BYBR,True,6,YYGY,1B0W,LLM,317,YOBW,1B1W,CSS,45,WBGW,0B1W,VOI,9,BYBB,3B0W,CSS,2,RYBB,2B2W,VOI,1,BYBR,4B0W,CSS,1,,,,,,,,,,,,,,,,
75,WGOR,True,5,YYGR,1B1W,LLM,230,YOYW,0B2W,CSS,34,BYWG,0B2W,VOI,5,GWOR,2B2W,CSS,1,WGOR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
76,BRBW,True,3,YRWO,1B1W,LLM,252,OOWG,0B1W,CSS,50,BRBW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,YRBO,True,5,YBGB,1B1W,LLM,230,YGWR,1B1W,CSS,38,OBWY,0B3W,VOI,4,YYBW,2B0W,CSS,1,YRBO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
