game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,GYGO,1B0W,LLM,182,WWBO,1B0W,CSS,28,RWGR,1B2W,VOI,2,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,WYBW,1B1W,LLM,230,WWRG,0B2W,CSS,34,ORYW,0B2W,VOI,5,BYGR,0B4W,CSS,1,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,GWOO,0B1W,LLM,276,YYGB,1B2W,CSS,27,YBRG,0B2W,VOI,4,OYBY,1B2W,CSS,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,YOWY,2B0W,LLM,105,ROOY,1B0W,CSS,27,WOWB,1B1W,VOI,4,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,3,GBYW,0B2W,LLM,312,BGOG,3B0W,CSS,10,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,3,RWGG,0B3W,LLM,44,GRWO,2B0W,CSS,3,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,BRYY,0B1W,LLM,276,WGRG,0B2W,CSS,42,RWOO,3B0W,VOI,3,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,3,GBYO,0B1W,LLM,152,ROWR,1B2W,CSS,21,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,GBGR,0B1W,LLM,276,BYYO,1B0W,CSS,36,RWOO,2B2W,VOI,3,OWRO,1B3W,CSS,2,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,YRWY,1B2W,LLM,84,YWRR,0B2W,CSS,14,RBYY,2B0W,VOI,3,WGYY,3B0W,CSS,2,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,GOBO,0B1W,LLM,276,BRRY,2B0W,CSS,26,BBWY,0B0W,VOI,2,RRRG,2B1W,CSS,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,YOWO,0B2W,LLM,222,GWRY,0B3W,CSS,30,WRYB,0B2W,VOI,3,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,GBRG,1B2W,LLM,84,GRBB,0B2W,CSS,14,BYGG,1B1W,VOI,2,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,WGWG,0B3W,LLM,16,GWGB,2B0W,CSS,6,GWYW,2B1W,VOI,2,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,RWYO,0B2W,LLM,312,GBRY,1B2W,CSS,34,YBWG,0B2W,VOI,7,GOBR,1B1W,CSS,2,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,GRBW,0B2W,LLM,312,OGRY,1B0W,CSS,22,BBWY,1B1W,VOI,4,RBRB,1B1W,CSS,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,GBRY,0B1W,LLM,152,OWOR,2B0W,CSS,20,WWOG,1B0W,VOI,3,OYOO,2B1W,CSS,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RGGR,1B0W,LLM,256,BGYB,1B1W,CSS,42,RBOB,1B1W,VOI,5,WBYR,1B1W,CSS,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,BBYG,1B1W,LLM,230,RBBW,1B0W,CSS,23,RYGG,1B2W,VOI,3,RGYO,3B0W,CSS,2,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,6,RWOG,0B2W,LLM,312,OBGB,0B1W,CSS,58,GYYR,0B2W,VOI,8,BRWY,2B0W,CSS,2,YOWY,2B0W,VOI,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,
21,GWGW,True,4,RYWO,0B1W,LLM,152,BBGR,1B0W,CSS,14,OGGG,1B1W,VOI,1,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,YRGW,1B2W,LLM,132,GRWO,1B1W,CSS,24,GYYW,0B3W,VOI,4,YGWB,2B1W,CSS,1,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,6,RWRR,0B1W,LLM,308,WBWO,0B1W,CSS,37,BRGY,2B2W,VOI,3,YRGB,1B3W,CSS,2,GRBY,1B3W,VOI,1,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,
24,OGYG,True,6,YRGG,1B2W,LLM,84,RYYG,2B0W,CSS,14,BGYG,3B0W,VOI,3,WGYG,3B0W,CSS,2,GGYG,3B0W,VOI,1,OGYG,4B0W,CSS,1,,,,,,,,,,,,,,,,
25,WYYR,True,5,GGOG,0B0W,LLM,256,BRWW,0B2W,CSS,42,WBYY,2B1W,VOI,5,WYRY,2B2W,CSS,1,WYYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,3,YORB,0B3W,LLM,136,OBWR,0B3W,CSS,20,BYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,4,ROWY,1B0W,LLM,108,RRGG,3B0W,CSS,6,RRGR,2B1W,VOI,1,RRBG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,5,YRYO,0B2W,LLM,222,ROWR,0B1W,CSS,30,OYBB,2B0W,VOI,4,OYGG,1B1W,CSS,1,GYRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,RYRY,1B1W,LLM,208,OGYY,1B1W,CSS,32,WYYW,0B0W,VOI,2,RGOR,0B4W,CSS,1,ORRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,4,BYYO,0B2W,LLM,222,OOGB,0B2W,CSS,30,GROY,0B3W,VOI,2,YGBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,4,RGWO,1B2W,LLM,132,BOWR,2B1W,CSS,7,ORWR,2B0W,VOI,2,GBWR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,4,RYRB,1B1W,LLM,230,RRWG,1B1W,CSS,39,RBGO,1B2W,VOI,6,BRGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,4,YRYB,1B1W,LLM,230,GOYY,0B2W,CSS,34,YBWO,1B1W,VOI,5,YGRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
34,RWGY,True,4,YBGB,1B1W,LLM,230,BBRO,0B1W,CSS,41,RGGY,3B0W,VOI,4,RWGY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
35,YYYO,True,2,GBWW,0B0W,LLM,81,YYYO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,RWYR,True,4,WGBG,0B1W,LLM,276,RYYB,2B0W,CSS,28,ROYW,2B1W,VOI,4,RWYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
37,YBBY,True,4,GBRY,2B0W,LLM,96,BBRO,1B1W,CSS,24,OWRY,1B0W,VOI,1,YBBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
38,YGYB,True,2,BYGB,1B2W,LLM,84,YGYB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,WOBR,True,5,YBGB,0B1W,LLM,276,RGWW,0B2W,CSS,42,GORO,1B1W,VOI,6,WOYR,3B0W,CSS,1,WOBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
40,BYRG,True,5,GBWO,0B2W,LLM,312,OORB,1B1W,CSS,53,BRRG,3B0W,VOI,3,BGRG,3B0W,CSS,1,BYRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
41,RBBO,True,5,YGBY,1B0W,LLM,182,WBBR,2B1W,CSS,12,WOBB,1B2W,VOI,3,BBBW,2B0W,CSS,1,RBBO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
42,OBRO,True,5,BGWO,1B1W,LLM,252,YRBO,1B2W,CSS,21,YGOR,0B2W,VOI,5,OBYO,3B0W,CSS,1,OBRO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
43,WRYR,True,5,GOOW,0B1W,LLM,276,YBYG,1B0W,CSS,31,WBRB,1B1W,VOI,4,YWRR,1B3W,CSS,1,WRYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
44,GGRY,True,5,ROGB,0B2W,LLM,312,YYBG,0B2W,CSS,43,BWYO,0B1W,VOI,2,GRRY,3B0W,CSS,1,GGRY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
45,YYYG,True,4,RYGW,1B1W,LLM,252,WBYW,1B0W,CSS,29,ROYY,1B1W,VOI,4,YYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
46,ROBW,True,5,GBGR,0B2W,LLM,222,YYRG,0B1W,CSS,53,WGOB,0B3W,VOI,4,ORBW,2B2W,CSS,1,ROBW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
