game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,BBGR,1B2W,LLM,84,GBRG,1B2W,CSS,11,BGRY,0B3W,VOI,3,GOBR,3B0W,CSS,2,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,YRBY,2B1W,LLM,40,BRRY,1B2W,CSS,8,ROBY,3B0W,VOI,3,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,3,WYWB,1B2W,LLM,84,WBYY,1B3W,CSS,2,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,WWWW,1B0W,LLM,500,OWBO,0B2W,CSS,124,WBYB,0B3W,VOI,7,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RRBB,1B1W,LLM,208,BGYB,1B1W,CSS,32,BWBW,1B0W,VOI,6,BRGO,2B2W,CSS,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,YYGR,0B2W,LLM,222,ORRG,0B1W,CSS,30,BGBY,2B0W,VOI,4,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,BWYY,1B0W,LLM,182,ORYG,0B2W,CSS,39,BBRO,0B2W,VOI,3,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RWYB,0B2W,LLM,312,WGGR,3B0W,CSS,8,WGWR,3B0W,VOI,2,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,WYRG,0B2W,LLM,312,GGBY,0B0W,CSS,21,ROOW,2B2W,VOI,3,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,WWRW,1B0W,LLM,317,GWYO,1B1W,CSS,45,WBBO,1B0W,VOI,9,YORO,0B1W,CSS,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,WBBY,0B0W,LLM,81,OOGO,1B0W,CSS,11,RORR,2B2W,VOI,2,RRRO,2B2W,CSS,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,YRYG,0B2W,LLM,222,RGBR,2B0W,CSS,31,WGOR,2B2W,VOI,2,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,WYWO,0B1W,LLM,276,BBRY,0B1W,CSS,43,RGOR,3B0W,VOI,5,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,WGRY,0B3W,LLM,136,GBWR,0B3W,CSS,20,YWGB,2B0W,VOI,3,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,GGWW,0B0W,LLM,256,YBYO,0B2W,CSS,42,RYRB,0B3W,VOI,3,ORBR,2B0W,CSS,1,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,3,WORO,0B0W,LLM,81,GBBB,1B2W,CSS,9,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,WYRY,0B0W,LLM,81,GGGB,1B0W,CSS,11,OOGO,2B1W,VOI,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,6,YBOG,0B3W,LLM,136,GRBO,0B3W,CSS,20,ROYB,2B0W,VOI,3,BOGB,3B0W,CSS,2,OOGB,3B0W,VOI,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,
19,RGYR,True,5,RYBG,1B2W,LLM,132,ORBY,0B2W,CSS,38,WBYG,1B1W,VOI,6,RBGR,2B1W,CSS,1,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
