game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGYB,0B3W,LLM,136,WBGR,1B2W,CSS,20,GBWY,1B1W,CSS,4,OBRG,0B3W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,YYYY,1B0W,LLM,500,BRBY,2B1W,CSS,24,BBOY,1B1W,CSS,5,RWBY,3B0W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RGYB,1B1W,LLM,252,OOYR,1B0W,CSS,42,GWYY,1B2W,CSS,3,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,3,RGBY,2B1W,LLM,48,BGGY,3B0W,CSS,3,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RGYB,0B3W,LLM,136,OBRY,0B3W,CSS,20,BRGO,2B2W,CSS,3,BOGR,1B3W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGBY,2B0W,LLM,96,ROBB,0B0W,CSS,9,GGYY,3B0W,CSS,4,WGYY,2B1W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RGYB,1B0W,LLM,108,RROW,3B0W,CSS,6,RROO,2B0W,CSS,3,RRRW,2B0W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,ROYG,0B2W,LLM,312,YYRW,1B1W,CSS,53,WROW,1B1W,CSS,5,YWOB,0B1W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RGYW,1B1W,LLM,252,YRYO,1B1W,CSS,49,BROW,0B3W,CSS,6,RWRO,2B1W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGRG,0B0W,LLM,256,BWOO,0B1W,CSS,16,YYBY,2B1W,CSS,4,OYYY,3B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
