game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,RGBY,1B2W,LLM,132,YOBG,1B1W,CSS,24,YGRR,1B2W,CSS,3,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RGBY,0B2W,LLM,312,BWGW,2B0W,CSS,31,BWRO,1B1W,CSS,5,BBYW,3B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGBY,2B1W,LLM,48,GGRY,2B0W,CSS,9,GYBY,1B2W,CSS,2,BGOY,3B0W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,RGBY,0B3W,LLM,136,GYRW,0B2W,CSS,29,BOGR,1B3W,CSS,2,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGYB,1B1W,LLM,252,GOYG,1B2W,CSS,10,BGOG,1B1W,CSS,2,GGGY,3B0W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,3,RGBY,1B0W,LLM,108,OWBO,1B1W,CSS,24,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RGBY,1B1W,LLM,252,BGWW,1B1W,CSS,38,ROWG,0B3W,CSS,4,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGBY,1B0W,LLM,108,YWWY,1B0W,CSS,17,RWOR,1B2W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGBY,1B0W,LLM,108,OWBW,0B1W,CSS,18,RORR,0B0W,CSS,4,GGWG,0B1W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RGBY,0B1W,LLM,152,WOOR,1B1W,CSS,33,YWOW,0B1W,CSS,4,OOGG,1B0W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RGYB,2B0W,LLM,96,OYYB,0B1W,CSS,7,RGWO,2B2W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RGBY,2B0W,LLM,96,ROBB,1B1W,CSS,24,RWOY,2B0W,CSS,4,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,RGBY,1B1W,LLM,252,WGYG,0B2W,CSS,40,YWBW,2B0W,CSS,6,GWBO,1B1W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,RGBY,2B1W,LLM,48,GGBR,1B1W,CSS,15,YGRY,1B1W,CSS,3,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,RGBY,1B1W,LLM,252,BOBR,1B1W,CSS,49,WGOR,1B0W,CSS,4,BYOY,1B0W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
