game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGBW,1B2W,LLM,132,BROW,1B1W,CSS,24,GRBG,3B0W,CSS,4,GRBB,3B0W,CSS,2,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,2,RBYO,1B2W,LLM,132,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RGBW,1B1W,LLM,252,BBOW,2B0W,CSS,22,BWYW,3B0W,CSS,2,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGBW,1B2W,LLM,132,WGOB,1B2W,CSS,17,WOBR,0B2W,CSS,2,BGWG,3B0W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,ROGY,0B3W,LLM,136,GYOB,1B2W,CSS,20,BYRG,2B1W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGBW,1B1W,LLM,252,WWBO,0B1W,CSS,50,RYYB,0B1W,CSS,8,GGOR,2B0W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RGBW,2B0W,LLM,96,ROBR,1B1W,CSS,24,OGBY,0B1W,CSS,3,RRYW,2B0W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,ROBY,0B1W,LLM,152,GYWW,0B2W,CSS,21,WGGR,3B0W,CSS,4,WRGR,2B2W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,3,RGBY,1B0W,LLM,108,WOOY,1B2W,CSS,7,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGBW,0B1W,LLM,152,GOOY,1B0W,CSS,14,YBYY,2B1W,CSS,3,YYRY,2B1W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
