game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGBY,1B2W,LLM,132,RBYO,0B2W,CSS,38,GRWY,2B0W,CSS,3,GRBG,3B0W,CSS,2,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,RYOG,1B2W,LLM,132,ROBY,3B0W,CSS,4,ROYY,2B0W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RRYY,1B1W,LLM,208,GYBY,1B2W,CSS,20,YBWY,0B4W,CSS,2,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,RRRR,0B0W,LLM,625,GWOO,0B2W,CSS,114,BOBG,1B1W,CSS,22,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RYOG,2B1W,LLM,48,YYOR,1B1W,CSS,15,OROG,3B0W,CSS,3,GROG,3B0W,CSS,2,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RYOR,0B1W,LLM,276,WBBO,0B1W,CSS,40,YGYW,1B2W,CSS,5,GWYG,1B3W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RGBY,1B0W,LLM,108,ROWO,1B2W,CSS,7,OOBW,1B1W,CSS,2,RROW,3B0W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,3,RRYY,0B2W,LLM,96,YBRG,1B1W,CSS,22,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RYOG,1B1W,LLM,252,WYRY,0B2W,CSS,43,BWOR,0B3W,CSS,6,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGBY,1B0W,LLM,108,OWBW,0B1W,CSS,18,YOOY,1B1W,CSS,4,GGOO,0B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,6,RRRR,3B0W,LLM,20,RRWR,2B1W,CSS,12,BRRR,3B0W,CSS,3,YRRR,3B0W,CSS,2,GRRR,3B0W,CSS,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,
12,RGOW,True,4,RRYY,1B0W,LLM,256,RWGB,1B2W,CSS,33,ROWG,1B3W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,3,RGBO,2B1W,LLM,48,OGBG,2B1W,CSS,2,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,RGYO,1B1W,LLM,252,BROO,0B1W,CSS,55,WGWR,0B4W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,RYWO,0B2W,LLM,312,BBRW,1B2W,CSS,20,BWOB,1B1W,CSS,3,WGRB,0B2W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,RYGG,1B1W,LLM,230,GOBG,0B3W,CSS,12,BRGO,2B0W,CSS,4,BGGW,3B0W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,RRYY,0B0W,LLM,256,OGOW,2B0W,CSS,29,OBOB,3B0W,CSS,2,OBOO,2B2W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,7,RRRR,0B0W,LLM,625,BGYY,0B2W,CSS,114,GBGO,1B2W,CSS,16,GOWB,2B2W,CSS,3,GOBW,1B3W,CSS,2,GWOB,1B3W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,
19,RGYR,True,3,RGBY,2B1W,LLM,48,BRBY,0B2W,CSS,8,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RYGB,0B2W,LLM,312,BRWR,1B0W,CSS,43,YROO,0B1W,CSS,6,GWWY,2B2W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,RGBY,0B1W,LLM,152,OOWG,0B2W,CSS,21,WROW,1B1W,CSS,3,WYYO,0B1W,CSS,1,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,4,RYOG,1B1W,LLM,252,WRBG,1B1W,CSS,50,WYGW,0B4W,CSS,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,3,RRBY,1B2W,LLM,84,RBYB,1B2W,CSS,11,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,6,RRYY,1B0W,LLM,256,BBWY,0B1W,CSS,44,ROBG,1B1W,CSS,7,RWGW,0B1W,CSS,2,GOYO,1B2W,CSS,1,OGYG,4B0W,VOI,1,,,,,,,,,,,,,,,,
25,WYYR,True,4,RYGG,1B1W,LLM,230,GOGW,0B1W,CSS,41,YYWR,2B2W,CSS,1,WYYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,4,RYGW,2B0W,LLM,96,OGGW,1B1W,CSS,24,RBOW,2B1W,CSS,4,BYOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,5,RYOG,2B0W,LLM,96,BYGG,1B1W,CSS,24,WYOB,0B1W,CSS,4,RBRG,2B2W,CSS,1,RRBG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,4,RGBY,0B4W,LLM,9,YBGR,0B4W,CSS,4,BRYG,0B4W,CSS,1,GYRB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
