game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,3,YWGO,0B1W,LLM,152,BGRR,1B3W,VOI,3,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,OWGB,0B2W,LLM,312,RROW,1B0W,VOI,54,WYBW,1B1W,VOI,8,BYOY,1B1W,VOI,2,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RRWY,0B2W,LLM,222,YYGR,1B1W,VOI,39,YBYW,2B2W,VOI,2,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,BRWR,2B0W,LLM,105,BBWG,2B1W,VOI,8,BYWB,2B1W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,BBRO,1B2W,LLM,84,OBOR,1B2W,VOI,11,BROW,3B0W,VOI,2,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,YYOR,0B1W,LLM,276,BRWB,1B0W,VOI,36,WOWG,1B1W,VOI,4,GOGB,1B1W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,GRWO,0B3W,LLM,136,OWRY,1B2W,VOI,24,WOGY,0B2W,VOI,4,BWOR,2B1W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,OWOG,0B2W,LLM,222,GYGO,0B1W,VOI,38,WOBR,2B0W,VOI,5,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,GBYY,0B0W,LLM,81,RWWW,2B0W,VOI,15,RWRR,1B1W,VOI,2,ROOW,2B2W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,6,OGWG,0B1W,LLM,276,BBYO,1B0W,VOI,36,WYYR,3B0W,VOI,5,WWYR,2B0W,VOI,2,GYYR,2B0W,VOI,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,
11,ORRR,True,5,YYRO,1B1W,LLM,230,YGBY,0B0W,VOI,20,WRWO,1B1W,VOI,2,ROOO,0B2W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,GRRG,0B2W,LLM,96,WGYR,1B2W,VOI,16,RGBW,3B0W,VOI,3,RGWW,3B0W,VOI,1,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,OROY,1B1W,LLM,230,GOOB,1B1W,VOI,39,BYOW,1B0W,VOI,2,RGOR,3B0W,VOI,1,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,OWGW,3B0W,LLM,20,OWGB,2B0W,VOI,8,OWRW,2B1W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,6,YRBG,2B1W,LLM,48,YBYG,0B2W,VOI,8,GRBW,2B0W,VOI,3,ORBY,3B0W,VOI,2,RRBY,3B0W,VOI,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,
16,BGGB,True,5,OGGY,2B0W,LLM,105,ORYY,0B0W,VOI,9,GGGB,3B0W,VOI,4,WGGB,3B0W,VOI,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,YORW,1B0W,LLM,108,GRRG,0B0W,VOI,24,WBBW,0B1W,VOI,3,BOOO,2B2W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,4,YYYW,0B1W,LLM,308,OWGB,2B2W,VOI,5,OGWB,1B3W,VOI,3,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,BGRB,1B1W,LLM,230,YOBB,0B1W,VOI,41,RGOG,2B0W,VOI,5,RGWY,2B1W,VOI,1,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
