game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RRGG,1B2W,LLM,36,RGWR,1B2W,VOI,6,GRRR,3B0W,VOI,3,GRYR,3B0W,VOI,2,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,6,BBBB,1B0W,LLM,500,BWOR,0B2W,VOI,117,OYYB,0B2W,VOI,20,GRBY,2B2W,VOI,3,GBRY,1B3W,VOI,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,
3,BYYW,True,5,RGBO,0B1W,LLM,152,WWGY,0B2W,VOI,21,OYYW,3B0W,VOI,3,OOYW,2B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,RGBY,2B1W,LLM,48,RGYR,1B1W,VOI,15,RYBW,0B3W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,3,RGOB,1B3W,LLM,8,GORB,0B4W,VOI,3,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RRGG,0B2W,LLM,96,OGRY,2B0W,VOI,10,OWRR,0B1W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,ORYY,0B2W,LLM,222,YGOO,1B0W,VOI,34,RBOW,3B0W,VOI,3,RBOB,2B0W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RGBY,1B1W,LLM,252,GGRO,2B0W,VOI,18,WGYO,2B0W,VOI,4,WGRW,3B0W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,3,RGBY,1B0W,LLM,108,WWOY,0B2W,VOI,13,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,OOOO,0B0W,LLM,625,WBGW,1B0W,VOI,70,RGGY,1B0W,VOI,10,RBBR,0B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RGBY,0B1W,LLM,152,WOWR,1B1W,VOI,30,YOOW,0B1W,VOI,4,GWWG,0B0W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RRGG,1B1W,LLM,208,WRRY,0B2W,VOI,23,OYGR,0B3W,VOI,3,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,GGRR,1B2W,LLM,36,RGYG,3B0W,VOI,4,RGWG,3B0W,VOI,3,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,6,RRGG,2B0W,LLM,114,RROW,2B0W,VOI,21,RYOG,1B1W,VOI,7,RRRY,1B0W,VOI,2,RBGW,3B0W,VOI,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
15,BRBY,True,4,RGGB,0B2W,LLM,222,YBBG,1B2W,VOI,19,GWBY,2B0W,VOI,1,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,6,RGGB,3B0W,LLM,20,RGOB,2B0W,VOI,8,RGGY,2B0W,VOI,3,WGGB,3B0W,VOI,2,GGGB,3B0W,VOI,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,
17,OOOB,True,5,YYBB,1B0W,LLM,256,WWBO,0B2W,VOI,41,OGOB,3B0W,VOI,6,OROB,3B0W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RRBB,1B0W,LLM,256,YYBG,0B2W,VOI,41,OGWB,1B3W,VOI,2,GWOB,1B3W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
