game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,3,RGBO,1B2W,LLM,132,GBYO,1B1W,CSS,24,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RGBY,0B2W,LLM,312,OBOG,0B1W,CSS,58,WWYB,1B2W,CSS,7,BYWB,2B1W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGBO,1B1W,LLM,252,YBBR,0B2W,CSS,43,ROWY,2B0W,CSS,5,RRGY,1B1W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,3,RGBY,0B3W,LLM,136,YRGO,1B2W,CSS,20,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RGBY,2B0W,LLM,96,RGWG,2B1W,CSS,6,RGRW,1B1W,CSS,2,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,BBBG,0B0W,LLM,256,WWOR,2B2W,CSS,5,WOWR,0B4W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RGBO,1B1W,LLM,252,RWGW,0B3W,CSS,8,YGWR,2B1W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RROO,2B1W,LLM,32,BRRO,1B1W,CSS,6,OROG,0B3W,CSS,2,ROYO,3B0W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RGBY,1B0W,LLM,108,WGGW,1B0W,CSS,17,WOBB,1B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,RYGB,0B1W,LLM,152,WBOW,0B1W,CSS,10,ORRO,3B0W,CSS,2,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,RGBO,2B1W,LLM,48,RGOR,3B0W,CSS,3,RGOY,3B0W,CSS,2,RGOG,3B0W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RGBY,2B0W,LLM,96,GGOY,2B1W,CSS,6,OGWY,1B1W,CSS,2,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,RGBY,1B1W,LLM,252,ROGR,2B0W,CSS,22,WOGY,1B1W,CSS,4,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,ROYG,0B2W,LLM,312,OWRW,0B1W,CSS,58,BYOB,1B2W,CSS,7,YYBO,1B1W,CSS,2,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,3,ROYW,0B0W,LLM,16,GBBB,1B2W,CSS,3,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,RGBY,0B1W,LLM,152,GOOW,2B0W,CSS,20,YWOW,1B0W,CSS,4,BOOO,2B2W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,6,RGBY,0B2W,LLM,312,WYWG,1B1W,CSS,46,YOOG,1B1W,CSS,10,GOWR,1B2W,CSS,2,YRWO,0B2W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,
19,RGYR,True,4,ROYB,2B0W,LLM,96,ROWO,1B0W,CSS,26,RGBB,2B0W,CSS,5,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RGBY,2B0W,LLM,96,RORY,1B0W,CSS,26,RGWW,2B1W,CSS,2,RWBW,0B2W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
