game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGBY,1B2W,LLM,132,WGYR,1B1W,CSS,24,RBYB,0B2W,CSS,4,GOBR,3B0W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RGBY,0B2W,LLM,312,OBYO,1B1W,CSS,52,WWYB,1B2W,CSS,2,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,6,RGBY,2B1W,LLM,48,GGBR,1B1W,CSS,15,BRBY,2B0W,CSS,3,BGOY,3B0W,CSS,2,BGYY,3B0W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,
5,BROG,True,4,RGBY,0B3W,LLM,136,GBYW,0B2W,CSS,29,OYGR,0B3W,CSS,5,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RGBY,2B0W,LLM,96,RYOY,1B0W,CSS,26,WGGY,2B2W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,RGBY,1B0W,LLM,108,RWWO,2B2W,CSS,2,ROWW,2B2W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RGBY,1B1W,LLM,252,WBWY,1B0W,CSS,42,OYRY,1B0W,CSS,5,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RGBY,1B0W,LLM,108,YWWY,1B0W,CSS,17,RRWO,3B0W,CSS,2,RRWR,2B0W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGBY,1B0W,LLM,108,RWWR,0B1W,CSS,20,WGOO,1B0W,CSS,2,WBBB,1B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RGBY,0B1W,LLM,152,WOYO,0B1W,CSS,10,GWWG,0B0W,CSS,2,BBOB,0B1W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RGBY,2B0W,LLM,96,RWYY,1B1W,CSS,24,ROBW,2B1W,CSS,2,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RGBY,2B0W,LLM,96,RWBR,1B0W,CSS,26,ROOY,2B0W,CSS,4,BOBY,0B1W,CSS,1,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,RGBY,1B1W,LLM,252,RWYR,2B0W,CSS,18,ROGR,2B0W,CSS,4,RWGG,3B0W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,2,RGBY,2B1W,LLM,48,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,RGYB,2B0W,LLM,96,RYYW,0B0W,CSS,9,BGOB,3B0W,CSS,4,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,RGYB,1B0W,LLM,108,YOYO,1B1W,CSS,18,WGOO,1B1W,CSS,3,BOOB,3B0W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,6,RGBY,0B2W,LLM,312,WBYB,2B0W,CSS,38,WBOR,1B2W,CSS,6,OBRB,1B1W,CSS,2,WRWB,2B0W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,
19,RGYR,True,4,RGBY,2B1W,LLM,48,RGYG,3B0W,CSS,3,RGYO,3B0W,CSS,2,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RGBY,2B0W,LLM,96,WGYY,3B0W,CSS,6,GGYY,2B0W,CSS,2,WGOY,3B0W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,4,RGYB,0B1W,LLM,152,GOOW,2B0W,CSS,20,YOWW,1B1W,CSS,3,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,3,RGBY,0B2W,LLM,312,WYGW,0B4W,CSS,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,3,RGBY,0B4W,LLM,9,YBRG,1B3W,CSS,4,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
