game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,ROBY,1B1W,LLM,252,WYBB,1B0W,CSS,34,GGBR,3B0W,CSS,2,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,ROYW,1B1W,LLM,252,BYYR,0B3W,CSS,6,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RGBO,0B1W,LLM,152,YBYW,2B2W,CSS,4,YBWY,0B4W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,6,RGBW,1B2W,LLM,132,ROGB,0B2W,CSS,38,WYBR,0B3W,CSS,7,BRWW,2B0W,CSS,2,GRYW,0B3W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,
5,BROG,True,5,RGBW,0B3W,LLM,136,BORG,2B2W,CSS,4,BOGR,1B3W,CSS,2,GORB,0B4W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGBW,1B1W,LLM,252,GOWW,2B0W,CSS,22,GOBY,2B0W,CSS,2,ROWY,2B0W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,ROBY,1B1W,LLM,252,YWBW,2B0W,CSS,23,OWBG,1B1W,CSS,4,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RGBW,1B2W,LLM,132,OGWR,2B1W,CSS,7,OGRB,2B0W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,3,RGBW,1B1W,LLM,252,YBBG,0B0W,CSS,20,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,3,RGBW,0B1W,LLM,152,GYGY,2B0W,CSS,15,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
