game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGBO,1B2W,LLM,132,ROYB,0B2W,CSS,38,BWGO,0B2W,CSS,7,OGOR,1B1W,CSS,2,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,RGYW,2B1W,LLM,48,RRGW,1B1W,CSS,15,ROYG,1B2W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RGYB,1B1W,LLM,252,WGGY,0B2W,CSS,40,OYWB,1B2W,CSS,6,RYOW,2B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGYW,1B2W,LLM,132,RYGB,0B3W,CSS,26,GRYG,0B2W,CSS,5,BGWR,3B0W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,RGYB,0B3W,LLM,136,OYGR,0B3W,CSS,18,GBRO,0B4W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGYW,1B2W,LLM,132,BWYR,0B2W,CSS,38,RYGO,0B2W,CSS,7,YGWG,2B2W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,3,RGBW,2B0W,LLM,96,RWYW,3B0W,CSS,6,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RGYW,1B2W,LLM,132,YROW,0B2W,CSS,38,RWBG,0B3W,CSS,7,BGWY,1B1W,CSS,2,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RGBW,1B1W,LLM,252,YGWY,1B0W,CSS,42,GGOR,0B2W,CSS,6,ORWW,1B2W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGYW,1B1W,LLM,252,ORYY,2B0W,CSS,22,BWYY,2B1W,CSS,3,GBYY,2B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RGBY,0B1W,LLM,152,WORW,1B1W,CSS,30,BOWO,0B1W,CSS,4,WWGG,0B0W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RGYB,2B0W,LLM,96,YGYW,2B0W,CSS,14,YOYB,0B1W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RGYW,2B0W,LLM,96,WGBW,1B0W,CSS,26,OGYG,2B1W,CSS,3,GGYY,1B1W,CSS,1,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,6,RGYW,2B1W,LLM,48,WGYY,0B2W,CSS,8,RYRW,2B0W,CSS,3,ROGW,3B0W,CSS,2,RBGW,3B0W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
15,BRBY,True,4,RGBO,1B1W,LLM,252,BGYB,1B2W,CSS,10,BYBR,2B2W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
