game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,3,RRBB,2B1W,LLM,32,BRYB,1B1W,CSS,6,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,RBYG,1B3W,LLM,8,YBGR,0B4W,CSS,3,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RRBB,0B1W,LLM,256,GWYR,1B1W,CSS,45,BGYY,2B1W,CSS,3,WBYY,1B3W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,YRGR,0B2W,LLM,222,GOOY,1B1W,CSS,44,GGYB,1B2W,CSS,5,WGBY,2B2W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,RYBW,0B2W,LLM,312,WWOY,1B0W,CSS,43,BWGG,2B0W,CSS,2,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RRBB,0B0W,LLM,256,OYYW,0B2W,CSS,42,WGGY,2B2W,CSS,2,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,BBGB,0B0W,LLM,256,YRWY,0B2W,CSS,42,OYRO,0B2W,CSS,4,WWOR,2B2W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RGBY,1B1W,LLM,252,GOWY,0B2W,CSS,57,OGRR,3B0W,CSS,5,OGRO,2B0W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,3,RGBY,1B0W,LLM,108,WGOO,1B2W,CSS,7,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,GGYY,2B0W,LLM,114,GGWR,0B1W,CSS,14,OWYY,2B1W,CSS,3,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
