game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGBO,1B2W,LLM,132,BYGO,0B2W,VOI,38,OWBR,2B0W,VOI,4,OGRR,1B2W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,WYOB,0B2W,LLM,312,GRBW,1B2W,VOI,34,OGRW,1B1W,VOI,6,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RGBO,0B1W,LLM,152,YWYR,1B2W,VOI,21,YYWB,1B3W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,YYYY,1B0W,LLM,500,RGBY,2B1W,VOI,30,ORBY,1B1W,VOI,8,WGRY,2B1W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RRRR,1B0W,LLM,500,OGWR,0B3W,VOI,90,ROGY,0B3W,VOI,15,GBRO,0B4W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RGBY,2B0W,LLM,96,RWBR,0B1W,VOI,7,YGWY,3B0W,VOI,3,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RGGR,1B0W,LLM,256,WGYY,0B1W,VOI,49,RBOW,3B0W,VOI,4,RBWW,2B1W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,YYYY,0B0W,LLM,625,RWOW,0B2W,VOI,114,GBRO,1B1W,VOI,19,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGBY,1B0W,LLM,108,WOYY,1B1W,VOI,14,WGGO,1B1W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RGBO,0B0W,LLM,16,WYWW,2B0W,VOI,3,YYWY,2B2W,VOI,2,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,3,RGBO,0B2W,LLM,312,WRYG,1B0W,VOI,22,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,RGYB,2B0W,LLM,96,WGYY,1B1W,VOI,24,YOYB,0B1W,VOI,2,RGWO,2B2W,VOI,1,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RGBO,2B1W,LLM,48,RGOW,3B0W,VOI,3,RGOR,3B0W,VOI,2,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,6,ROYG,1B1W,LLM,252,YGYW,1B1W,VOI,42,OYYB,0B0W,VOI,4,RGWR,1B2W,VOI,2,WGRG,0B3W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,
15,BRBY,True,4,RRYY,2B0W,LLM,114,WYYY,1B0W,VOI,36,ROGY,1B1W,VOI,2,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,RGYO,1B0W,LLM,108,BYYW,1B0W,VOI,16,BGBG,2B2W,VOI,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,YYOO,1B1W,LLM,208,BYYW,0B1W,VOI,39,ROWO,1B1W,VOI,10,RGOY,1B0W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,6,YYYY,0B0W,LLM,625,RGWR,0B2W,VOI,114,GBRO,0B3W,VOI,14,WOBG,2B2W,VOI,2,OWBG,0B4W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,
19,RGYR,True,5,RGGB,2B0W,LLM,105,RGOY,2B1W,VOI,10,RWGY,1B2W,VOI,2,RGWO,2B0W,VOI,1,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,4,RGYB,1B1W,LLM,252,GGWY,3B0W,VOI,6,OGWY,3B0W,VOI,2,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,RGRG,0B2W,LLM,96,GRBO,1B0W,VOI,8,YRWR,0B1W,VOI,2,GYGY,2B0W,VOI,1,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,ROYG,1B1W,LLM,252,OWBG,2B0W,VOI,19,YGBG,2B0W,VOI,4,BRBG,1B0W,VOI,3,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,3,GROW,1B1W,LLM,252,BRBG,3B0W,VOI,6,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,RGBY,1B1W,LLM,252,WOBG,1B1W,VOI,50,WGRR,1B0W,VOI,6,WBYY,1B0W,VOI,2,OGYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,RGBO,0B1W,LLM,152,GWGW,0B1W,VOI,27,WBYY,2B1W,VOI,4,WYOY,2B1W,VOI,1,WYYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,5,ROYB,0B3W,LLM,136,GBRO,0B2W,VOI,28,BRBY,1B1W,VOI,4,YROW,2B1W,VOI,1,BYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,5,YYBB,1B0W,LLM,256,YROW,1B0W,VOI,17,OOOB,0B1W,VOI,8,GRBR,2B2W,VOI,1,RRBG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,5,RRRR,1B0W,LLM,500,BRGG,0B3W,VOI,33,RGBY,0B4W,VOI,2,GBYR,1B3W,VOI,1,GYRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,RGYB,0B2W,LLM,312,WBBY,0B0W,VOI,21,GROO,1B2W,VOI,6,ORGG,3B0W,VOI,2,ORRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,5,YYYY,1B0W,LLM,500,BGYR,2B2W,VOI,6,GBYR,1B3W,VOI,4,BRYG,0B4W,VOI,1,YGBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,4,RGRG,0B2W,LLM,96,GBYR,3B0W,VOI,6,GBBR,3B0W,VOI,2,GBWR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
