game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,GBBY,2B0W,LLM,105,GWGY,1B0W,CSS,26,OBYY,0B1W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,RRYY,2B0W,LLM,114,RWOY,2B0W,CSS,12,GWYY,1B1W,CSS,3,RBGY,2B2W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RGBO,0B1W,LLM,152,WWRY,0B2W,CSS,21,YOYW,2B1W,CSS,3,GYYW,3B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,RGBO,1B1W,LLM,252,BGYB,2B1W,CSS,6,YGWB,2B2W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RGBO,0B4W,LLM,9,BOGR,1B3W,CSS,4,GBOR,1B3W,CSS,2,GORB,0B4W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RGBO,1B0W,LLM,108,RWWY,2B0W,CSS,12,RYRY,1B0W,CSS,2,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,3,RGBY,1B0W,LLM,108,OOYY,0B1W,CSS,20,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RRRR,2B0W,LLM,150,RWGR,1B3W,CSS,4,RGRW,2B2W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RGBO,2B0W,LLM,96,RWBR,1B1W,CSS,24,WYBO,1B1W,CSS,4,BGBW,0B1W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RRRR,0B0W,LLM,625,BBYW,1B1W,CSS,120,BGOB,0B0W,CSS,6,YWWW,0B2W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,3,GRBY,1B0W,LLM,108,WRWR,2B0W,CSS,9,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,ROYW,2B1W,LLM,48,OYYW,1B1W,CSS,15,RWOW,3B0W,CSS,3,RROW,3B0W,CSS,2,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RYYY,1B0W,LLM,317,GBWY,0B1W,CSS,41,RGOR,3B0W,CSS,5,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,RGBW,2B1W,LLM,48,RGGB,2B0W,CSS,9,ROGW,3B0W,CSS,3,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,6,RRRR,1B0W,LLM,500,RYWW,0B2W,CSS,124,YBRG,0B3W,CSS,20,BROY,3B0W,CSS,3,BRYY,3B0W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,
16,BGGB,True,4,RGBY,1B1W,LLM,252,YGYW,1B0W,CSS,34,BGGO,3B0W,CSS,3,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,RRRR,0B0W,LLM,625,YOBG,1B1W,CSS,120,OWBW,1B1W,CSS,20,YYOW,1B0W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,3,RRRG,0B1W,LLM,308,GGWY,0B2W,CSS,40,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,RRRR,2B0W,LLM,150,RRYO,2B1W,CSS,22,RWYR,3B0W,CSS,3,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RRRR,0B0W,LLM,625,GBOO,0B1W,CSS,92,WYWG,2B2W,CSS,4,YWWG,1B3W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,4,YORG,0B1W,LLM,152,OWBW,2B0W,CSS,20,GWBB,2B0W,CSS,4,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,BOBO,0B0W,LLM,256,GRYG,1B1W,CSS,46,GWGW,1B2W,CSS,5,RWWG,3B0W,CSS,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,4,RGBY,0B4W,LLM,9,GRYB,2B2W,CSS,4,GYRB,0B4W,CSS,1,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,RGBY,1B1W,LLM,252,ROYO,1B1W,CSS,38,WRBO,0B1W,CSS,4,GOGY,0B4W,CSS,1,OGYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,4,RRGG,0B1W,LLM,256,YYRW,1B3W,CSS,2,YWYR,2B2W,CSS,1,WYYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
