game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGBY,1B2W,LLM,132,YGRW,0B2W,CSS,38,GRBO,3B0W,CSS,4,GRBG,3B0W,CSS,2,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,6,RGBO,3B0W,LLM,20,RGBW,3B0W,CSS,4,RGBR,3B0W,CSS,3,RGBG,3B0W,CSS,2,RGBB,3B0W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,
3,BYYW,True,6,RGBY,0B2W,LLM,312,WWGB,0B2W,CSS,41,BORW,2B0W,CSS,5,BOOG,1B0W,CSS,2,BBYW,3B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,
4,BGWY,True,6,RGBY,2B1W,LLM,48,YGBB,1B2W,CSS,9,BGYY,3B0W,CSS,3,BGGY,3B0W,CSS,2,BGOY,3B0W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,
5,BROG,True,3,RGBY,0B3W,LLM,136,GBYO,0B3W,CSS,20,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGBY,2B0W,LLM,96,RGGO,1B1W,CSS,24,ROWY,2B0W,CSS,3,ROBB,0B0W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,RGBY,1B0W,LLM,108,WOOY,1B1W,CSS,24,WGWO,0B3W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RGBY,1B1W,LLM,252,OROY,0B1W,CSS,56,RWWG,0B3W,CSS,4,WGGR,3B0W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGBY,1B0W,LLM,108,OWBO,1B2W,CSS,7,OGOW,0B3W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RGBY,1B0W,LLM,108,WWOY,2B0W,CSS,12,OYOY,2B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,RGBY,0B1W,LLM,152,OOWR,2B0W,CSS,20,WOWB,0B1W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
