game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,3,RRGB,1B3W,LLM,4,RGBR,2B2W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,RRGB,1B2W,LLM,84,RGBG,3B0W,CSS,8,RWBG,2B1W,CSS,2,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RGBO,0B1W,LLM,152,YOWY,0B3W,CSS,8,WYYG,2B1W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RRGB,0B2W,LLM,222,GYBG,0B3W,CSS,5,BGOY,3B0W,CSS,2,BGYY,3B0W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RGBO,0B4W,LLM,9,GROB,2B2W,CSS,4,GBOR,1B3W,CSS,2,GORB,0B4W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,OYRG,0B2W,LLM,312,YWYR,0B2W,CSS,44,ROWO,1B0W,CSS,6,GBWY,3B0W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,RYBG,1B0W,LLM,108,WOBW,1B2W,CSS,7,OYWW,1B2W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RRRR,2B0W,LLM,150,RRBO,0B2W,CSS,9,YGRR,3B0W,CSS,4,YWRR,2B1W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RRGY,1B0W,LLM,182,RWBB,1B1W,CSS,26,BGGB,0B0W,CSS,3,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RBYO,1B0W,LLM,108,WWGO,1B0W,CSS,13,RRGR,0B0W,CSS,4,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RRGB,1B1W,LLM,230,RWYR,1B1W,CSS,39,RYOG,0B2W,CSS,6,BRYY,1B0W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RRGB,1B1W,LLM,230,GOOB,1B1W,CSS,36,RBOY,2B0W,CSS,4,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RRGB,1B1W,LLM,230,YRRW,0B1W,CSS,41,GYBB,0B1W,CSS,6,ROOG,3B0W,CSS,1,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,RGYO,1B1W,LLM,252,BGRR,0B2W,CSS,39,ROBW,2B0W,CSS,5,RBBY,1B0W,CSS,2,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,RBYO,0B3W,LLM,136,WOBR,1B1W,CSS,26,YROR,1B1W,CSS,5,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,6,RGBW,1B1W,LLM,252,OGRO,1B0W,CSS,42,WGYG,1B1W,CSS,5,WYBO,0B1W,CSS,2,GGGB,3B0W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,
17,OOOB,True,6,RRBW,0B1W,LLM,276,OWYO,1B1W,CSS,51,OOGB,3B0W,CSS,3,OOGR,2B0W,CSS,2,OYGB,2B0W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,
18,WOGB,True,5,RYBG,0B2W,LLM,312,WWGR,2B0W,CSS,31,WOYR,2B0W,CSS,5,GOGR,2B0W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,RRGB,1B2W,LLM,84,RGBG,2B0W,CSS,14,RGWR,3B0W,CSS,3,RGRR,3B0W,CSS,2,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RRGB,0B1W,LLM,276,YBWW,1B2W,CSS,27,OYBW,0B2W,CSS,2,GWWY,2B2W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,4,RRGB,1B0W,LLM,182,YWWB,1B1W,CSS,38,ROWW,1B1W,CSS,6,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,4,RRGB,0B1W,LLM,276,YWBY,2B0W,CSS,26,OBBY,0B1W,CSS,3,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,5,RROY,1B1W,LLM,230,BRGR,2B1W,CSS,11,BRRW,2B0W,CSS,2,GRRR,1B1W,CSS,1,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,WWOG,1B1W,LLM,230,GGOR,1B2W,CSS,8,OGGG,3B0W,CSS,2,OGBG,3B0W,CSS,1,OGYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,YBWO,0B2W,LLM,312,WYYG,3B0W,CSS,10,WWYG,2B0W,CSS,4,BYYG,2B0W,CSS,2,WYYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,5,RRGB,0B1W,LLM,276,OYBY,1B2W,CSS,27,BOWY,1B3W,CSS,3,YOBW,1B3W,CSS,1,BYOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,4,RRRR,2B0W,LLM,150,RRYG,3B0W,CSS,8,RRYO,2B0W,CSS,3,RRBG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,4,RBYO,0B3W,LLM,136,BYWR,1B2W,CSS,20,BORW,1B1W,CSS,4,GYRB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,RGYO,0B3W,LLM,136,WOGR,0B3W,CSS,20,GYOW,0B2W,CSS,3,OBRG,3B0W,CSS,1,ORRG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,2,RRGB,0B3W,LLM,44,YGBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,3,RGBW,0B4W,LLM,9,BWRG,0B4W,CSS,4,GBWR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,4,RRGB,3B0W,LLM,20,RYGB,2B1W,CSS,6,GRGB,3B0W,CSS,3,BRGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,6,RGBW,2B1W,LLM,48,BGWW,2B0W,CSS,9,RGWR,1B2W,CSS,3,OGRW,3B0W,CSS,2,GGRW,3B0W,CSS,1,YGRW,4B0W,CSS,1,,,,,,,,,,,,,,,,
34,RWGY,True,3,RRYR,1B1W,LLM,156,YRBW,0B3W,CSS,22,RWGY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,YYYO,True,4,RRGB,0B0W,LLM,81,OYYY,2B2W,CSS,3,YOYY,2B2W,CSS,2,YYYO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
36,RWYR,True,5,RRGB,1B1W,LLM,230,ORRW,0B3W,CSS,12,ROWG,1B1W,CSS,2,RYOR,2B1W,CSS,1,RWYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
37,YBBY,True,5,RRYO,0B1W,LLM,276,WOWB,0B1W,CSS,43,YBGY,3B0W,CSS,5,YBGG,2B0W,CSS,2,YBBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
38,YGYB,True,5,RRGB,1B1W,LLM,230,BYGG,0B3W,CSS,12,GWYB,2B1W,CSS,3,OGYB,3B0W,CSS,1,YGYB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
39,WOBR,True,5,RRGB,0B2W,LLM,222,YBWG,0B2W,CSS,41,WGRO,1B2W,CSS,5,BORW,1B3W,CSS,1,WOBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
40,BYRG,True,5,RRGB,0B3W,LLM,44,OGBR,0B3W,CSS,8,BWRG,3B0W,CSS,2,BBRG,3B0W,CSS,1,BYRG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
41,RBBO,True,5,RGBY,2B0W,LLM,96,YWBY,1B0W,CSS,26,RROY,1B1W,CSS,5,RBBR,3B0W,CSS,1,RBBO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
42,OBRO,True,6,RRRR,1B0W,LLM,500,OWBR,1B2W,CSS,84,RWOY,0B2W,CSS,19,OBRG,3B0W,CSS,2,OBRB,3B0W,CSS,1,OBRO,4B0W,CSS,1,,,,,,,,,,,,,,,,
43,WRYR,True,5,RGBY,0B2W,LLM,312,BORR,1B1W,CSS,53,YOOB,0B1W,CSS,7,WBWR,2B0W,CSS,1,WRYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
44,GGRY,True,3,RGBO,1B1W,LLM,252,RYGG,0B4W,CSS,2,GGRY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,YYYG,True,5,RRGB,0B1W,LLM,276,GWWY,0B2W,CSS,42,OYOG,2B0W,CSS,6,WYOR,1B0W,CSS,1,YYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
46,ROBW,True,6,RRGB,1B1W,LLM,230,RWYR,1B1W,CSS,39,RYOG,1B1W,CSS,6,RBBY,2B0W,CSS,2,RBWO,1B3W,CSS,1,ROBW,4B0W,CSS,1,,,,,,,,,,,,,,,,
47,WGBB,True,4,RGBY,2B0W,LLM,96,RGRW,1B1W,CSS,24,OGWY,1B1W,CSS,4,WGBB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
48,BOOR,True,4,RYGW,0B1W,LLM,152,OGOB,1B2W,CSS,21,BWOO,2B1W,CSS,3,BOOR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
49,WWOY,True,5,RRRR,0B0W,LLM,625,YOWO,0B3W,CSS,32,OGYW,0B3W,CSS,5,BWOY,3B0W,CSS,1,WWOY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
50,WWGR,True,5,RRRR,1B0W,LLM,500,OWRW,1B2W,CSS,55,ROOW,0B2W,CSS,7,YWWR,2B1W,CSS,2,WWGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
51,YBYB,True,4,RGBO,0B1W,LLM,152,OWYW,1B0W,CSS,14,YYYR,2B0W,CSS,3,YBYB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
52,WBWR,True,4,RGBW,0B3W,LLM,136,YBRG,1B1W,CSS,26,GBWO,2B0W,CSS,3,WBWR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
53,GOWY,True,5,RRGB,0B1W,LLM,276,BOWW,2B0W,CSS,28,BBYW,0B2W,CSS,3,YOWG,2B2W,CSS,1,GOWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
54,RYWO,True,5,RGBY,1B1W,LLM,252,ROWB,2B1W,CSS,10,BOWY,1B2W,CSS,3,OGWB,1B1W,CSS,1,RYWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
55,RBYY,True,5,RRGB,1B1W,LLM,230,OBGG,1B0W,CSS,28,RBWY,3B0W,CSS,3,RBBY,3B0W,CSS,1,RBYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
56,BRWO,True,5,RRGB,1B1W,LLM,230,ORRY,1B1W,CSS,39,YRBW,1B2W,CSS,6,YBRB,0B2W,CSS,2,BRWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
57,BOBO,True,4,RRYO,1B0W,LLM,182,WBYW,0B1W,CSS,31,BRGG,1B0W,CSS,3,BOBO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
58,ROYG,True,4,RRRB,1B0W,LLM,317,WORY,1B2W,CSS,45,RGOY,1B3W,CSS,3,ROYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
59,RWOB,True,6,RRGB,2B0W,LLM,105,GRGW,0B2W,CSS,7,RWBB,3B0W,CSS,3,RWWB,3B0W,CSS,2,RWYB,3B0W,CSS,1,RWOB,4B0W,CSS,1,,,,,,,,,,,,,,,,
60,OGOO,True,5,RRGB,0B1W,LLM,276,BYWY,0B0W,CSS,9,OOOR,2B1W,CSS,2,GOOO,2B2W,CSS,1,OGOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
61,YBOY,True,5,RRGB,0B1W,LLM,276,WYBW,0B2W,CSS,42,YBOO,3B0W,CSS,2,YBYO,2B2W,CSS,1,YBOY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
62,GYGY,True,4,RRGB,1B0W,LLM,182,OWGG,1B1W,CSS,25,ORWO,0B0W,CSS,3,GYGY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
63,YYRB,True,6,RGBO,0B2W,LLM,312,ORYW,0B2W,CSS,64,GYOG,1B0W,CSS,11,WWOB,1B0W,CSS,3,BYRB,3B0W,CSS,1,YYRB,4B0W,CSS,1,,,,,,,,,,,,,,,,
64,YBGG,True,5,RRGB,1B1W,LLM,230,ORRY,0B1W,CSS,41,GOBB,0B2W,CSS,4,BYGG,2B2W,CSS,1,YBGG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
65,GWWY,True,5,RRGB,0B1W,LLM,276,WOBW,0B2W,CSS,42,OBYY,1B0W,CSS,6,OGWO,1B1W,CSS,1,GWWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
66,BYGR,True,3,RRGB,1B2W,LLM,84,RGBG,0B3W,CSS,11,BYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,RORB,True,3,RRGW,1B1W,LLM,230,RBOR,1B3W,CSS,2,RORB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,WOYW,True,5,RRGB,0B0W,LLM,81,WYYY,2B0W,CSS,15,OYYO,1B1W,CSS,2,WYOW,2B2W,CSS,1,WOYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
69,GYOB,True,3,RGBW,0B2W,LLM,312,BBGY,0B3W,CSS,3,GYOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,WRBG,True,5,RRRR,1B0W,LLM,500,BGOR,0B3W,CSS,90,OYRG,1B1W,CSS,15,ORBW,2B1W,CSS,1,WRBG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
71,GYGO,True,4,RRBW,0B0W,LLM,81,YOOO,1B1W,CSS,12,OOGG,1B2W,CSS,2,GYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
72,OBGO,True,5,RRGB,1B1W,LLM,230,BWGY,1B1W,CSS,38,RGOY,0B2W,CSS,6,GBGO,3B0W,CSS,1,OBGO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
73,YYYY,True,4,RYBO,1B0W,LLM,108,RWGW,0B0W,CSS,3,BBBB,0B0W,CSS,2,YYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
74,BYBR,True,5,RRGB,0B2W,LLM,222,GOBG,1B0W,CSS,24,GWRY,0B2W,CSS,4,WBBR,2B1W,CSS,1,BYBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
