game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,2,RRGB,1B3W,LLM,4,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,RRRG,1B1W,LLM,156,GWRB,0B3W,CSS,22,RGOW,2B0W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,RGYB,1B1W,LLM,252,RBRO,0B1W,CSS,55,BGWW,2B0W,CSS,7,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGBY,2B1W,LLM,48,RYGY,1B1W,CSS,15,RRBG,0B2W,CSS,2,BGOY,3B0W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,3,RGBO,0B4W,LLM,9,OBRG,1B3W,CSS,4,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,3,RGWB,2B0W,LLM,96,GGWO,3B0W,CSS,6,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,RGBY,1B0W,LLM,108,OWWY,1B2W,CSS,7,ROWW,2B2W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RRBB,0B2W,LLM,96,BOWR,1B1W,CSS,22,GWRR,2B2W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,GYBW,0B1W,LLM,152,ROYO,3B0W,CSS,7,ROYY,2B0W,CSS,3,ROGO,3B0W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RGBY,1B0W,LLM,108,WWOY,2B0W,CSS,12,YOOY,1B1W,CSS,3,RWOO,0B1W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RRGY,1B1W,LLM,230,WRRB,2B0W,CSS,17,GRBB,1B0W,CSS,4,ORRO,3B0W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,RGBY,2B0W,LLM,96,YOBY,0B1W,CSS,7,RGRO,2B1W,CSS,2,RGOG,3B0W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,BGYR,1B1W,LLM,252,OGBW,1B1W,CSS,50,OYYG,1B1W,CSS,8,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,RRGY,2B0W,LLM,105,OGGY,1B0W,CSS,26,YRYY,0B1W,CSS,4,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,RGBO,1B1W,LLM,252,YYBG,1B1W,CSS,38,OYGO,0B1W,CSS,7,GWBB,1B1W,CSS,2,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,RGRG,1B1W,LLM,208,OBGG,1B2W,CSS,20,WGGO,2B0W,CSS,4,BGGY,3B0W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,RRRG,0B0W,LLM,256,OBWO,1B2W,CSS,40,OWBW,1B1W,CSS,6,OYOB,3B0W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RGYB,1B1W,LLM,252,RBBW,0B2W,CSS,39,YWWB,1B1W,CSS,6,BGWO,0B4W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,RGYY,3B0W,LLM,20,RGOY,2B1W,CSS,6,RGYW,3B0W,CSS,3,RGYG,3B0W,CSS,2,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RRRR,0B0W,LLM,625,WOBB,1B0W,CSS,70,WWGY,2B2W,CSS,3,WYGW,1B3W,CSS,2,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,RGBY,0B1W,LLM,152,YWOO,1B0W,CSS,14,WWGW,3B0W,CSS,3,WWGG,2B2W,CSS,1,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
