game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RRRR,2B0W,LLM,150,GRRY,2B1W,CSS,22,RWRY,0B2W,CSS,3,GRGR,3B0W,CSS,2,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,6,RRRR,1B0W,LLM,500,BBWR,0B2W,CSS,124,RGOW,2B0W,CSS,8,ROOB,1B1W,CSS,2,RGBG,3B0W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,
3,BYYW,True,5,RRRY,0B1W,LLM,308,WYGW,2B0W,CSS,30,OYYW,3B0W,CSS,4,OYBW,2B1W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,RGBY,2B1W,LLM,48,RRGY,1B1W,CSS,15,RBBG,0B2W,CSS,3,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,6,RRRR,1B0W,LLM,500,ORWY,1B1W,CSS,84,BRBW,2B0W,CSS,8,BRGO,2B2W,CSS,2,GRBO,1B3W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,
6,GGWY,True,4,RRBB,0B0W,LLM,256,OOWW,1B0W,CSS,32,GOYY,2B0W,CSS,3,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RRYY,1B0W,LLM,256,OOBY,0B1W,CSS,44,WRGB,0B2W,CSS,6,GGYW,1B0W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RRRR,2B0W,LLM,150,ROGR,1B2W,CSS,40,RROW,0B3W,CSS,4,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RRRG,1B0W,LLM,317,RWOO,2B2W,CSS,4,ROOW,2B2W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RRYY,2B0W,LLM,114,BROY,1B0W,CSS,18,WWYY,3B0W,CSS,4,GWYY,2B1W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
