game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,6,RGBO,1B2W,LLM,204,ROKG,0B2W,CSS,70,GBYO,1B1W,CSS,14,BRWO,0B2W,CSS,2,GGRB,1B2W,CSS,1,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,
2,RYGO,True,4,RGBY,1B2W,LLM,204,BKRY,0B2W,CSS,70,GPBR,0B2W,CSS,15,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,5,ROYG,0B3W,LLM,224,OWGR,2B1W,CSS,15,OGRR,1B1W,CSS,3,WYGR,2B1W,CSS,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,6,RGBY,1B1W,LLM,660,GWBG,1B0W,CSS,114,OYBK,1B2W,CSS,9,YPBO,2B1W,CSS,2,YOBB,2B0W,CSS,1,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,
5,YOOO,True,5,ROWY,1B1W,LLM,660,BKWO,1B0W,CSS,81,PRWG,0B0W,CSS,3,OOYO,2B2W,CSS,1,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,RRYY,0B0W,LLM,1296,WWKO,0B1W,CSS,276,KPGG,0B3W,CSS,12,PGPK,3B0W,CSS,2,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,6,RRRR,1B0W,LLM,1372,RYKW,0B3W,CSS,156,KRWP,0B3W,CSS,23,OWRK,3B0W,CSS,3,BWRK,3B0W,CSS,2,GWRK,4B0W,CSS,1,,,,,,,,,,,,,,,,
8,GYGR,True,4,RRRR,1B0W,LLM,1372,PBRK,0B1W,CSS,192,YRGG,1B3W,CSS,3,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,6,RGBY,0B1W,LLM,976,WKKB,0B0W,CSS,114,POGO,1B0W,CSS,11,PPYP,2B0W,CSS,2,PRRP,2B2W,CSS,1,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,
10,RORO,True,6,RGBY,1B0W,LLM,500,POKY,1B0W,CSS,62,RKKW,1B0W,CSS,14,PGGW,0B0W,CSS,4,ROOO,3B0W,CSS,2,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,
11,RYPO,True,6,RRRR,1B0W,LLM,1372,GRKW,0B1W,CSS,192,OBOR,0B2W,CSS,36,RPPB,2B0W,CSS,5,RPYO,2B2W,CSS,1,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,
12,GYKK,True,5,RGBY,0B2W,LLM,936,YWRP,0B1W,CSS,188,BYKO,2B0W,CSS,17,BKKR,1B1W,CSS,4,GYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
13,YYKK,True,6,RRRR,0B0W,LLM,2401,BYWW,1B0W,CSS,378,PPWG,0B0W,CSS,54,YYOK,3B0W,CSS,6,YYOO,2B0W,CSS,3,YYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,
