game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,5,RGBY,1B2W,LLM,204,YGOB,0B2W,CSS,70,GRWY,1B1W,CSS,12,BPRY,1B2W,CSS,1,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,5,RGBY,1B2W,LLM,204,BGRG,0B2W,CSS,62,RBYW,1B1W,CSS,12,GBKY,0B2W,CSS,3,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,6,RGBY,0B2W,LLM,936,KOYR,0B2W,CSS,200,WYKG,1B2W,CSS,15,GYPK,1B1W,CSS,3,GRKW,1B1W,CSS,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
4,YKBP,True,5,RGYO,0B1W,LLM,976,BWBG,1B0W,CSS,159,PKBR,2B1W,CSS,9,PYBK,1B3W,CSS,1,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,4,RGBY,0B1W,LLM,976,WKPG,0B0W,CSS,21,OYOO,2B2W,CSS,2,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,RGBY,1B1W,LLM,660,GGYP,1B1W,CSS,96,OGGR,1B0W,CSS,14,PGWB,1B2W,CSS,1,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,RGBY,0B2W,LLM,936,BOWG,0B2W,CSS,196,GKRO,2B1W,CSS,8,GRGO,1B1W,CSS,2,GWRK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,4,RGBY,0B3W,LLM,224,YOGR,2B1W,CSS,13,KYGR,3B0W,CSS,3,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,6,RRRR,2B0W,LLM,294,RBRO,1B1W,CSS,100,RRWK,0B2W,CSS,9,YYRR,2B0W,CSS,4,GGRR,2B0W,CSS,1,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,
10,RORO,True,4,RGBY,1B0W,LLM,500,KWPY,0B0W,CSS,24,ROOO,3B0W,CSS,3,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,5,RGBY,1B1W,LLM,660,OGRR,0B2W,CSS,93,RWOB,1B1W,CSS,17,RKYO,2B1W,CSS,2,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,5,RGBY,0B2W,LLM,936,WBKG,1B1W,CSS,165,PYWG,1B1W,CSS,29,OKYG,0B3W,CSS,1,GYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
13,YYKK,True,5,RGBY,0B1W,LLM,976,YWOK,2B0W,CSS,64,PWOB,0B0W,CSS,4,YKKK,3B0W,CSS,2,YYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,YWPG,True,6,RGBY,0B2W,LLM,936,KYYR,0B1W,CSS,217,GRPG,2B0W,CSS,26,WROG,1B1W,CSS,5,BRPW,1B1W,CSS,1,YWPG,4B0W,CSS,1,,,,,,,,,,,,,,,,
15,RYYG,True,6,RGBY,1B2W,LLM,204,BGGR,0B2W,CSS,68,ROYG,3B0W,CSS,6,RKYG,3B0W,CSS,4,RRYG,3B0W,CSS,3,RYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,
16,YGYO,True,6,RGBY,1B1W,LLM,660,GOBG,0B2W,CSS,93,YGKO,3B0W,CSS,4,YGPO,3B0W,CSS,3,YGWO,3B0W,CSS,2,YGYO,4B0W,CSS,1,,,,,,,,,,,,,,,,
17,PWWO,True,4,RGYO,1B0W,LLM,500,PBYK,1B0W,CSS,62,PGWG,2B0W,CSS,6,PWWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
18,YOGW,True,6,RGBY,0B2W,LLM,936,KYOB,0B2W,CSS,200,BORW,2B0W,CSS,21,BPRK,0B0W,CSS,2,GOYW,2B2W,CSS,1,YOGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
19,KGYK,True,7,RGBY,1B1W,LLM,660,KRBP,1B0W,CSS,81,YBBW,0B1W,CSS,15,KYGY,1B2W,CSS,3,KGYO,3B0W,CSS,2,KGYG,3B0W,CSS,1,KGYK,4B0W,CSS,1,,,,,,,,,,,,
20,OYOP,True,6,RGBY,0B1W,LLM,976,PWOG,1B1W,CSS,179,YKOW,1B1W,CSS,35,OKKG,1B0W,CSS,6,PRKW,0B1W,CSS,1,OYOP,4B0W,CSS,1,,,,,,,,,,,,,,,,
21,RRPW,True,5,RGBY,1B0W,LLM,500,OWPY,1B1W,CSS,90,KOOY,0B0W,CSS,14,RPPW,3B0W,CSS,1,RRPW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
22,BOYY,True,5,RGBY,1B1W,LLM,660,PPBR,0B1W,CSS,200,WKRY,1B0W,CSS,21,OBYY,2B2W,CSS,2,BOYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
23,PPRP,True,6,RGBY,0B1W,LLM,976,WPGO,1B0W,CSS,112,WKRK,1B0W,CSS,19,PPYK,2B0W,CSS,2,PPRR,3B0W,CSS,1,PPRP,4B0W,CSS,1,,,,,,,,,,,,,,,,
24,WYOY,True,5,RGBY,1B0W,LLM,500,OKPY,1B1W,CSS,90,PPWY,1B1W,CSS,20,KWYY,1B2W,CSS,1,WYOY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
25,OYOO,True,6,RGBY,0B1W,LLM,976,POKB,0B1W,CSS,174,ORWW,1B0W,CSS,24,GKWK,0B0W,CSS,2,OYYO,3B0W,CSS,1,OYOO,4B0W,CSS,1,,,,,,,,,,,,,,,,
26,BYKG,True,4,RGBY,0B3W,LLM,224,BYOG,3B0W,CSS,7,BYWG,3B0W,CSS,4,BYKG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
27,YYOY,True,6,RGBY,1B0W,LLM,500,WPBO,0B1W,CSS,117,RKWK,0B0W,CSS,20,OGOG,1B0W,CSS,3,OYYY,2B2W,CSS,1,YYOY,4B0W,CSS,1,,,,,,,,,,,,,,,,
28,WYRW,True,7,RGBY,0B2W,LLM,936,GRKW,1B1W,CSS,152,ORYK,0B2W,CSS,31,GPOR,0B1W,CSS,6,YYRW,3B0W,CSS,2,YWRW,2B2W,CSS,1,WYRW,4B0W,CSS,1,,,,,,,,,,,,
29,GWRW,True,5,RGBY,0B2W,LLM,936,GOWR,1B2W,CSS,56,GRGW,2B1W,CSS,5,GPRW,3B0W,CSS,2,GWRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
30,GYPK,True,6,RGBY,0B2W,LLM,936,WYPR,2B0W,CSS,61,WOGR,0B1W,CSS,8,GYPP,3B0W,CSS,2,GYPG,3B0W,CSS,1,GYPK,4B0W,CSS,1,,,,,,,,,,,,,,,,
31,PRWR,True,6,RGBY,0B1W,LLM,976,KWKB,0B1W,CSS,238,OKGP,0B1W,CSS,47,PPRW,1B2W,CSS,3,WRPW,1B2W,CSS,1,PRWR,4B0W,CSS,1,,,,,,,,,,,,,,,,
32,GOYR,True,4,RGBY,0B3W,LLM,224,GYRK,1B2W,CSS,28,GRYG,2B1W,CSS,4,GOYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
33,WWKO,True,5,RGBY,0B0W,LLM,256,KPOK,0B2W,CSS,42,WOKW,2B2W,CSS,2,OWKW,2B2W,CSS,1,WWKO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
34,WORG,True,5,RGBY,0B2W,LLM,936,KWYG,1B1W,CSS,165,ORYW,0B3W,CSS,10,YWPR,0B2W,CSS,2,WORG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
35,OGPP,True,5,RGBY,1B0W,LLM,500,WGKP,2B0W,CSS,39,WGGO,1B1W,CSS,10,PGOP,2B2W,CSS,1,OGPP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
36,RWOY,True,7,RGBY,2B0W,LLM,216,RPBW,1B1W,CSS,52,RWKY,3B0W,CSS,4,RWRY,3B0W,CSS,3,RWWY,3B0W,CSS,2,RWYY,3B0W,CSS,1,RWOY,4B0W,CSS,1,,,,,,,,,,,,
37,KBPY,True,5,RGBY,1B1W,LLM,660,WROY,1B0W,CSS,81,BYKY,1B2W,CSS,6,PBYY,2B1W,CSS,1,KBPY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
38,GKKP,True,5,RGBY,0B1W,LLM,976,KYWO,0B1W,CSS,174,PWPR,0B1W,CSS,20,BPKB,1B1W,CSS,3,GKKP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
39,PRYO,True,6,RGBY,0B2W,LLM,936,KBYB,1B0W,CSS,183,WBGP,0B1W,CSS,27,POYR,2B2W,CSS,2,OPYR,1B3W,CSS,1,PRYO,4B0W,CSS,1,,,,,,,,,,,,,,,,
40,GBRW,True,5,RGBY,0B3W,LLM,224,OBYG,1B1W,CSS,63,YBWR,1B2W,CSS,9,YRYB,0B2W,CSS,1,GBRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
41,OWOG,True,5,RGBY,0B1W,LLM,976,WWOB,2B0W,CSS,71,WWRP,1B0W,CSS,15,WOOG,2B2W,CSS,1,OWOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
42,WPBB,True,6,RGBY,1B0W,LLM,500,RWKK,0B1W,CSS,124,WOBP,2B1W,CSS,8,OOBW,1B1W,CSS,2,WOPY,1B1W,CSS,1,WPBB,4B0W,CSS,1,,,,,,,,,,,,,,,,
43,YROK,True,3,RGYO,0B3W,LLM,224,PORY,0B3W,CSS,28,YROK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,GRKG,True,6,RGBY,0B2W,LLM,936,BPRW,0B1W,CSS,196,OROG,2B0W,CSS,19,PYOG,1B0W,CSS,4,KRGG,2B2W,CSS,1,GRKG,4B0W,CSS,1,,,,,,,,,,,,,,,,
45,RWPK,True,4,RGBY,1B0W,LLM,500,PPWY,0B2W,CSS,33,RWKP,2B2W,CSS,1,RWPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
