game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,4,RGBW,1B2W,LLM,204,PWBR,2B1W,CSS,9,WRBR,2B0W,CSS,2,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,6,RGBW,1B1W,LLM,660,PGGB,1B0W,CSS,118,YKGW,1B1W,CSS,18,RYGR,3B0W,CSS,2,RYGY,3B0W,CSS,1,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,
3,OYGW,True,5,RGBW,1B1W,LLM,660,RRPG,0B1W,CSS,170,OKGW,3B0W,CSS,8,YKGW,2B1W,CSS,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,5,RGBW,1B0W,LLM,500,PKBK,2B1W,CSS,15,OKBP,3B0W,CSS,2,BKBP,3B0W,CSS,1,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,6,RGYB,0B1W,LLM,976,KOPG,1B0W,CSS,112,KRWW,0B0W,CSS,16,YPPP,1B0W,CSS,2,YOOY,3B0W,CSS,1,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,
6,BGPK,True,5,RGBW,1B1W,LLM,660,GGRY,1B0W,CSS,118,GKPW,1B2W,CSS,6,KGPB,2B2W,CSS,1,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,RGBW,0B3W,LLM,224,BWYR,1B1W,CSS,50,PBGR,0B2W,CSS,11,GWKB,2B1W,CSS,1,GWRK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,6,RGBW,0B2W,LLM,936,WBYP,0B1W,CSS,180,KWGO,1B0W,CSS,16,KRRB,0B1W,CSS,4,PPGR,2B0W,CSS,2,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,
9,PPRR,True,6,RGBW,0B1W,LLM,976,PKOG,1B0W,CSS,112,PYYR,2B0W,CSS,14,PPPR,3B0W,CSS,2,PRPR,2B2W,CSS,1,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,
10,RORO,True,7,RGBW,1B0W,LLM,500,OYKW,0B1W,CSS,117,RPPK,1B0W,CSS,24,BPBO,1B0W,CSS,5,ROOO,3B0W,CSS,2,RROO,2B2W,CSS,1,RORO,4B0W,CSS,1,,,,,,,,,,,,
11,RYPO,True,5,RGBW,1B0W,LLM,500,OOBK,0B1W,CSS,124,KKYW,0B1W,CSS,22,PGOY,0B3W,CSS,1,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,5,RGBW,0B1W,LLM,976,YKWY,0B2W,CSS,123,PWKK,2B0W,CSS,15,PRYK,1B1W,CSS,2,GYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
13,YYKK,True,5,ROYW,0B1W,LLM,976,PBOP,0B0W,CSS,114,KRKG,1B1W,CSS,19,WWKK,2B0W,CSS,2,YYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,YWPG,True,5,ROYW,0B2W,LLM,936,BWRK,1B0W,CSS,118,WWOP,1B1W,CSS,17,GWPY,2B2W,CSS,2,YWPG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,RYYG,True,6,RGBW,1B1W,LLM,660,KGOR,0B2W,CSS,141,RWYK,2B0W,CSS,12,RBRK,1B0W,CSS,4,RPYG,3B0W,CSS,1,RYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,
16,YGYO,True,5,RGYB,2B0W,LLM,216,RKWB,0B0W,CSS,16,GGYP,2B0W,CSS,4,YGYY,3B0W,CSS,2,YGYO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,PWWO,True,7,ROBY,0B1W,LLM,976,GRWK,1B0W,CSS,112,PYPK,1B0W,CSS,19,GGPB,0B1W,CSS,5,BBKK,0B0W,CSS,2,PRRR,1B0W,CSS,1,PWWO,4B0W,CSS,1,,,,,,,,,,,,
18,YOGW,True,5,RGBW,1B1W,LLM,660,KWBB,0B1W,CSS,170,GPGW,2B0W,CSS,17,GYYW,1B2W,CSS,1,YOGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,KGYK,True,6,RORG,0B1W,LLM,1160,KYOY,1B1W,CSS,169,OKOP,0B1W,CSS,37,WGKY,1B2W,CSS,4,GYKB,0B3W,CSS,1,KGYK,4B0W,CSS,1,,,,,,,,,,,,,,,,
20,OYOP,True,5,RGYO,0B2W,LLM,936,KRBG,0B0W,CSS,52,WWOY,1B1W,CSS,10,OYPY,2B1W,CSS,2,OYOP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,RRPW,True,3,RGBW,2B0W,LLM,216,RGKY,1B0W,CSS,64,RRPW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BOYY,True,5,RGBW,0B1W,LLM,976,GYYK,1B1W,CSS,154,YRYP,1B1W,CSS,27,WOYY,3B0W,CSS,2,BOYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
23,PPRP,True,5,RGYW,0B1W,LLM,976,BROB,0B1W,CSS,238,PPWO,2B0W,CSS,25,KWWO,0B0W,CSS,5,PPRP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
24,WYOY,True,5,RGBW,0B1W,LLM,976,POYR,0B2W,CSS,228,OPWK,0B2W,CSS,44,GKOY,2B0W,CSS,4,WYOY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
25,OYOO,True,5,RGYB,0B1W,LLM,976,KRPW,0B0W,CSS,21,OBOO,3B0W,CSS,3,OBBO,2B0W,CSS,1,OYOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
26,BYKG,True,5,ROBY,0B2W,LLM,936,BKOP,1B1W,CSS,165,BYKW,3B0W,CSS,5,BYKB,3B0W,CSS,2,BYKG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
27,YYOY,True,4,RGYB,0B1W,LLM,976,BWPK,0B0W,CSS,21,OROO,1B0W,CSS,1,YYOY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
28,WYRW,True,6,RGYB,0B2W,LLM,936,PBWG,0B1W,CSS,196,BKKY,0B1W,CSS,45,WYRO,3B0W,CSS,2,WYRR,3B0W,CSS,1,WYRW,4B0W,CSS,1,,,,,,,,,,,,,,,,
29,GWRW,True,5,RGBW,1B2W,LLM,204,YWBG,1B1W,CSS,40,RBPG,0B2W,CSS,8,WOBR,0B2W,CSS,1,GWRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
30,GYPK,True,4,RYGW,1B1W,LLM,660,WWGO,0B1W,CSS,174,PYBG,1B2W,CSS,12,GYPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
31,PRWR,True,5,RGBW,0B2W,LLM,936,KRWP,2B1W,CSS,24,WRPP,1B2W,CSS,3,PRWY,3B0W,CSS,2,PRWR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
32,GOYR,True,6,RGBW,0B2W,LLM,936,BPGY,0B2W,CSS,200,KWPB,0B0W,CSS,16,GRYO,2B2W,CSS,3,ORYG,1B3W,CSS,1,GOYR,4B0W,CSS,1,,,,,,,,,,,,,,,,
33,WWKO,True,5,RGYB,0B0W,LLM,256,WOPW,1B2W,CSS,40,WPOP,1B1W,CSS,6,KWOW,1B3W,CSS,1,WWKO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
34,WORG,True,4,RGBW,0B3W,LLM,224,GORB,2B1W,CSS,15,GRGB,0B2W,CSS,1,WORG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
35,OGPP,True,5,RGYB,1B0W,LLM,500,WKYW,0B0W,CSS,81,OGOG,2B0W,CSS,9,PGPG,2B1W,CSS,2,OGPP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
36,RWOY,True,5,RGBW,1B1W,LLM,660,OKBG,0B1W,CSS,147,YPGW,0B2W,CSS,22,RWPO,2B1W,CSS,3,RWOY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
37,KBPY,True,5,RGYB,0B2W,LLM,936,OKBG,0B2W,CSS,200,YBOW,1B1W,CSS,39,GYOO,0B1W,CSS,7,KBPY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
38,GKKP,True,5,RGBW,0B1W,LLM,976,KYYG,0B2W,CSS,123,YORK,0B1W,CSS,8,PPGY,0B2W,CSS,1,GKKP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
