game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,5,RGBY,1B2W,LLM,204,BGYG,0B2W,CSS,68,GWBR,3B0W,CSS,6,GOBR,3B0W,CSS,4,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,6,RGBY,1B2W,LLM,204,YGYR,0B3W,CSS,26,GKRY,0B3W,CSS,7,RYGP,3B0W,CSS,3,RYGG,3B0W,CSS,2,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,
3,OYGW,True,4,RGYB,0B2W,LLM,936,GORW,1B2W,CSS,56,GRWG,0B2W,CSS,12,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,5,RGYW,0B1W,LLM,976,BKGK,1B1W,CSS,154,PYKK,0B3W,CSS,6,KKRP,2B0W,CSS,2,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,5,RGYB,0B1W,LLM,976,WPBP,0B0W,CSS,114,OOKG,1B1W,CSS,19,ORRO,1B1W,CSS,3,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,6,RGBY,1B1W,LLM,660,ROGG,0B1W,CSS,174,KRPY,1B1W,CSS,32,GKWY,0B2W,CSS,5,KYBO,0B2W,CSS,1,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,
7,GWRK,True,4,RGBY,0B2W,LLM,936,GBOG,1B0W,CSS,194,GPYW,1B1W,CSS,34,GWRK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,6,RGYW,0B3W,LLM,224,WWGR,2B0W,CSS,42,YWGB,1B1W,CSS,4,OYGR,3B0W,CSS,3,PYGR,3B0W,CSS,2,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,
9,PPRR,True,5,RGYW,0B1W,LLM,976,KYBK,0B0W,CSS,114,OPWO,1B0W,CSS,11,GPPP,1B1W,CSS,1,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,7,RGYW,1B0W,LLM,500,KGKO,1B0W,CSS,95,KBYB,0B0W,CSS,17,PGPP,0B0W,CSS,4,ROOO,3B0W,CSS,2,RROO,2B2W,CSS,1,RORO,4B0W,CSS,1,,,,,,,,,,,,
11,RYPO,True,5,RGBY,1B1W,LLM,660,OGYK,0B2W,CSS,141,KBPY,1B1W,CSS,25,PWGY,0B2W,CSS,2,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,6,RGBY,0B2W,LLM,936,GWYO,1B1W,CSS,170,GPOR,1B0W,CSS,21,GBWK,2B0W,CSS,2,GYGK,3B0W,CSS,1,GYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,
13,YYKK,True,6,RGYW,0B1W,LLM,976,YPBK,2B0W,CSS,64,OPGK,1B0W,CSS,15,BRBK,1B0W,CSS,3,YKKK,3B0W,CSS,1,YYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,
14,YWPG,True,4,RGYW,0B3W,LLM,224,WOGY,0B3W,CSS,28,GYWP,0B4W,CSS,1,YWPG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,RYYG,True,6,RGYB,2B1W,LLM,72,RGGY,1B2W,CSS,13,RRYG,3B0W,CSS,5,RWYG,3B0W,CSS,4,RPYG,3B0W,CSS,3,RYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,
16,YGYO,True,6,RGYB,2B0W,LLM,216,RKYW,1B0W,CSS,64,PGYG,2B0W,CSS,11,POYB,1B1W,CSS,3,OGYY,2B2W,CSS,1,YGYO,4B0W,CSS,1,,,,,,,,,,,,,,,,
17,PWWO,True,6,RGYW,0B1W,LLM,976,YKKO,1B0W,CSS,166,PKBG,1B0W,CSS,21,PROO,2B0W,CSS,4,PWPO,3B0W,CSS,1,PWWO,4B0W,CSS,1,,,,,,,,,,,,,,,,
18,YOGW,True,4,RGYB,0B2W,LLM,936,PBGK,1B0W,CSS,110,WYGO,1B3W,CSS,2,YOGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
19,KGYK,True,7,RGBY,1B1W,LLM,660,RKGO,0B2W,CSS,141,PGOB,1B0W,CSS,23,GGYK,3B0W,CSS,3,YGYK,3B0W,CSS,2,WGYK,3B0W,CSS,1,KGYK,4B0W,CSS,1,,,,,,,,,,,,
