game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,5,RGBY,1B2W,LLM,204,GORY,1B1W,CSS,40,BGRB,0B3W,VOI,8,GKBR,3B0W,CSS,3,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,5,RGYW,1B2W,LLM,204,WGWR,0B2W,CSS,71,BYGW,2B0W,VOI,9,OYRW,1B2W,CSS,1,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,3,RGYW,1B2W,LLM,204,YWGW,2B1W,CSS,9,OYGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,6,RGBY,1B1W,LLM,660,RWOG,0B0W,CSS,42,YYBB,2B0W,VOI,8,YPBP,3B0W,CSS,2,YPBK,2B2W,VOI,1,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,
5,YOOO,True,6,RGYB,0B1W,LLM,976,GWWO,1B0W,CSS,166,PKWY,0B1W,VOI,28,OBPO,1B1W,CSS,4,KORO,2B0W,VOI,1,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,
6,BGPK,True,5,RGBY,1B1W,LLM,660,PRBR,0B2W,CSS,93,RPKG,0B3W,VOI,5,OGRP,1B1W,CSS,2,BGPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,RGYW,0B3W,LLM,224,YBRG,1B1W,CSS,52,YRWO,0B2W,VOI,6,WYKG,0B3W,CSS,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,6,RGYB,0B3W,LLM,224,GBRW,1B1W,CSS,50,KBGY,1B1W,VOI,10,BYRY,1B1W,CSS,3,GROY,1B2W,VOI,1,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,
9,PPRR,True,5,RGBY,0B1W,LLM,976,KWPR,1B1W,CSS,179,BWOP,0B1W,VOI,32,KPYK,1B0W,CSS,3,PPRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,6,RGYW,1B0W,LLM,500,RPKO,2B0W,CSS,39,RPBR,1B1W,VOI,10,BPKW,0B0W,CSS,3,RROO,2B2W,VOI,1,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,
11,RYPO,True,5,RGYW,1B1W,LLM,660,OGPY,1B2W,CSS,29,YGOG,0B2W,VOI,7,OPGW,0B2W,CSS,1,RYPO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,5,RGBY,0B2W,LLM,936,OBRW,0B0W,CSS,52,KYGK,2B2W,VOI,3,KYKG,2B2W,CSS,1,GYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,YYKK,True,6,RGYW,0B1W,LLM,976,OPOR,0B0W,CSS,114,GKBK,1B1W,VOI,19,BKWB,0B1W,CSS,3,KYKK,3B0W,VOI,1,YYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,
14,YWPG,True,5,RGYK,0B2W,LLM,936,GBRP,0B2W,CSS,200,KWBR,1B0W,VOI,23,OYPR,1B1W,CSS,2,YWPG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
15,RYYG,True,7,RGYW,2B1W,LLM,72,YGWW,0B2W,CSS,12,RWYP,2B0W,VOI,5,RKYG,3B0W,CSS,4,RBYG,3B0W,VOI,3,RRYG,3B0W,CSS,2,RYYG,4B0W,VOI,1,,,,,,,,,,,,
16,YGYO,True,6,RGBY,1B1W,LLM,660,ORBK,0B1W,CSS,147,WGGR,1B0W,VOI,24,KGYP,2B0W,CSS,2,BGPP,1B0W,VOI,1,YGYO,4B0W,CSS,1,,,,,,,,,,,,,,,,
17,PWWO,True,6,RGYW,0B1W,LLM,976,PPRK,1B0W,CSS,166,OPBG,0B2W,VOI,28,PWOO,3B0W,CSS,2,PYOO,2B0W,VOI,1,PWWO,4B0W,CSS,1,,,,,,,,,,,,,,,,
18,YOGW,True,6,RGBY,0B2W,LLM,936,GYPW,1B2W,CSS,56,PYYG,0B2W,VOI,12,YWPB,1B1W,CSS,3,YKGW,3B0W,VOI,1,YOGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
19,KGYK,True,5,RGYW,2B0W,LLM,216,RKPW,0B1W,CSS,18,BGYK,3B0W,VOI,5,GGYK,3B0W,CSS,3,KGYK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
20,OYOP,True,5,RGYW,0B1W,LLM,976,BPGO,0B2W,CSS,228,WKPB,0B1W,VOI,32,YOOP,2B2W,CSS,2,OYOP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
21,RRPW,True,3,RGBY,1B0W,LLM,500,RKOW,2B0W,CSS,39,RRPW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BOYY,True,6,RGYW,1B0W,LLM,500,PGOB,0B2W,CSS,90,OBKW,0B2W,VOI,14,KPYO,1B1W,CSS,2,RPBK,0B1W,VOI,1,BOYY,4B0W,CSS,1,,,,,,,,,,,,,,,,
23,PPRP,True,6,RGYB,0B1W,LLM,976,KWKR,0B1W,CSS,238,YOOW,0B0W,VOI,23,GPGK,1B0W,CSS,2,BBBK,0B0W,VOI,1,PPRP,4B0W,CSS,1,,,,,,,,,,,,,,,,
24,WYOY,True,5,RGYW,0B2W,LLM,936,PWGK,0B1W,CSS,188,GROR,1B0W,VOI,37,KYBR,1B0W,CSS,2,WYOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
25,OYOO,True,6,RGYW,0B1W,LLM,976,GBKB,0B0W,CSS,114,OWPO,2B0W,VOI,17,OPPY,1B1W,CSS,3,WWPP,0B0W,VOI,1,OYOO,4B0W,CSS,1,,,,,,,,,,,,,,,,
26,BYKG,True,6,RGBY,0B3W,LLM,224,GPYB,0B3W,CSS,26,BYWG,3B0W,VOI,3,BYOG,3B0W,CSS,2,BYGG,3B0W,VOI,1,BYKG,4B0W,CSS,1,,,,,,,,,,,,,,,,
27,YYOY,True,5,RGYB,0B1W,LLM,976,PYKO,1B1W,CSS,179,WPRO,0B1W,VOI,32,GKKP,0B0W,CSS,2,YYOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
28,WYRW,True,6,RGYB,0B2W,LLM,936,ORBW,1B1W,CSS,170,WPBG,1B0W,VOI,23,YOBK,0B1W,CSS,4,WRWY,1B3W,VOI,1,WYRW,4B0W,CSS,1,,,,,,,,,,,,,,,,
29,GWRW,True,6,RGYW,1B2W,LLM,204,PRYG,0B2W,CSS,70,KGWY,0B2W,VOI,13,WYRW,2B1W,CSS,3,YBRW,2B0W,VOI,1,GWRW,4B0W,CSS,1,,,,,,,,,,,,,,,,
30,GYPK,True,6,RGBY,0B2W,LLM,936,ORPB,1B0W,CSS,118,WYKB,1B1W,VOI,22,GKGB,1B1W,CSS,4,WRGK,1B1W,VOI,1,GYPK,4B0W,CSS,1,,,,,,,,,,,,,,,,
31,PRWR,True,6,RGYK,0B1W,LLM,976,KOBP,0B1W,CSS,174,WBGW,0B1W,VOI,24,PYWY,2B0W,CSS,3,PPWR,3B0W,VOI,1,PRWR,4B0W,CSS,1,,,,,,,,,,,,,,,,
32,GOYR,True,5,RGBY,0B3W,LLM,224,BPRG,0B2W,CSS,60,YBGK,0B2W,VOI,10,GYOR,2B2W,CSS,1,GOYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
33,WWKO,True,5,RGBY,0B0W,LLM,256,OPWP,0B2W,CSS,42,WKPK,1B1W,VOI,6,POOK,0B2W,CSS,1,WWKO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
34,WORG,True,3,RGYW,0B3W,LLM,224,WYPG,2B0W,CSS,24,WORG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,OGPP,True,5,RGYW,1B0W,LLM,500,ROBP,1B1W,CSS,90,RPPK,1B1W,VOI,20,RBKR,0B0W,CSS,3,OGPP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
36,RWOY,True,5,RGYW,1B2W,LLM,204,WKYG,0B2W,CSS,70,YBRW,0B3W,VOI,13,RYWR,1B2W,CSS,2,RWOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
37,KBPY,True,6,RGYW,0B1W,LLM,976,ORKP,0B2W,CSS,228,BOWK,0B2W,VOI,42,KPBY,2B2W,CSS,2,PKBY,1B3W,VOI,1,KBPY,4B0W,CSS,1,,,,,,,,,,,,,,,,
38,GKKP,True,6,RGYB,0B1W,LLM,976,YOOP,1B0W,CSS,166,WOKG,1B1W,VOI,22,BOWW,0B0W,CSS,2,GPKP,3B0W,VOI,1,GKKP,4B0W,CSS,1,,,,,,,,,,,,,,,,
39,PRYO,True,6,RGYB,1B1W,LLM,660,WRYP,2B1W,CSS,16,KRYW,2B0W,VOI,3,PRYR,3B0W,CSS,2,PRYY,3B0W,VOI,1,PRYO,4B0W,CSS,1,,,,,,,,,,,,,,,,
40,GBRW,True,4,RGYW,1B2W,LLM,204,BGWR,0B4W,CSS,4,GRBW,2B2W,VOI,1,GBRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
41,OWOG,True,5,RGYW,0B2W,LLM,936,KRWP,0B1W,CSS,180,GWOB,2B1W,VOI,10,WWOG,3B0W,CSS,1,OWOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
42,WPBB,True,6,RGYW,0B1W,LLM,976,BPPR,1B1W,CSS,165,PPWO,1B1W,VOI,30,PKPG,0B1W,CSS,5,YPOB,2B0W,VOI,1,WPBB,4B0W,CSS,1,,,,,,,,,,,,,,,,
43,YROK,True,4,RGYW,0B2W,LLM,936,YOKR,1B3W,CSS,5,KYOR,1B3W,VOI,2,YROK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
44,GRKG,True,6,RGYW,0B2W,LLM,936,PBWY,0B0W,CSS,52,OOGR,0B2W,VOI,9,GRKK,3B0W,CSS,2,GRRK,2B1W,VOI,1,GRKG,4B0W,CSS,1,,,,,,,,,,,,,,,,
45,RWPK,True,6,RGBY,1B0W,LLM,500,ROKO,1B1W,CSS,78,OOWY,0B1W,VOI,15,KGPO,1B1W,CSS,3,RKPW,2B2W,VOI,1,RWPK,4B0W,CSS,1,,,,,,,,,,,,,,,,
46,YWGB,True,3,RGBY,0B3W,LLM,224,YPGB,3B0W,CSS,7,YWGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,OWRB,True,5,RGBY,0B2W,LLM,936,GWYK,1B0W,CSS,118,BOYP,0B2W,VOI,15,GBGO,0B2W,CSS,1,OWRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
48,GBGW,True,5,RGYW,1B1W,LLM,660,PGWG,0B3W,CSS,16,BPGW,2B1W,VOI,4,GPKW,2B0W,CSS,1,GBGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
49,YWPY,True,5,RGYW,0B2W,LLM,936,KWOR,1B0W,CSS,110,BWPG,2B0W,VOI,13,WWPY,3B0W,CSS,2,YWPY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
50,GOKY,True,5,RGBY,1B1W,LLM,660,GGRW,1B0W,CSS,118,GKBO,1B2W,VOI,5,YGKO,1B3W,CSS,1,GOKY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
51,PRWG,True,6,RGYW,0B3W,LLM,224,WYRK,0B2W,CSS,61,GOWY,1B1W,VOI,8,GWBR,0B3W,CSS,2,BRGY,1B1W,VOI,1,PRWG,4B0W,CSS,1,,,,,,,,,,,,,,,,
52,OYOW,True,5,RGYW,1B1W,LLM,660,WWYP,0B2W,CSS,93,GPKW,1B0W,VOI,16,BYOW,3B0W,CSS,3,OYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
53,KBRB,True,5,RGBY,0B2W,LLM,936,YRPK,0B2W,CSS,200,BKRW,1B2W,VOI,15,KORB,3B0W,CSS,1,KBRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
54,WPWO,True,5,RGBY,0B0W,LLM,256,KPPW,1B1W,CSS,46,POPO,1B1W,VOI,6,KOKP,0B2W,CSS,2,WPWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
55,BOPO,True,4,RGYW,0B0W,LLM,256,POBP,1B2W,CSS,40,OBOP,0B4W,VOI,1,BOPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
56,WKYR,True,5,RGYW,1B2W,LLM,204,WPYR,3B0W,CSS,8,WRYR,3B0W,VOI,5,WBYR,3B0W,CSS,4,WKYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
57,WWYP,True,6,RGBY,0B1W,LLM,976,KPKG,0B1W,CSS,245,YOPO,0B2W,VOI,34,PROW,0B2W,CSS,5,OWYK,2B0W,VOI,1,WWYP,4B0W,CSS,1,,,,,,,,,,,,,,,,
