game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,6,RYYY,0B1W,LLM,978,WRKG,0B2W,CSS,216,OGPR,1B2W,VOI,26,GGRP,1B2W,CSS,2,GOGR,2B0W,VOI,1,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,
2,RYGO,True,3,RYWO,3B0W,LLM,28,RGWO,2B1W,CSS,3,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,4,RRYY,0B1W,LLM,864,KPBR,0B0W,CSS,54,GYOG,1B2W,VOI,9,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,5,RYYY,0B1W,LLM,978,PRWP,1B0W,CSS,141,BROR,0B1W,VOI,21,YWWB,1B1W,CSS,5,YKBP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,5,RGBY,0B1W,LLM,976,KPGK,0B0W,CSS,114,ORWO,1B1W,VOI,19,YOYO,3B0W,CSS,2,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,RYBP,0B2W,LLM,936,YKRW,0B1W,CSS,188,PPGR,0B2W,VOI,14,WGPB,2B1W,CSS,1,BGPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,RRYG,0B2W,LLM,546,YGBO,0B1W,CSS,74,GPPR,1B1W,VOI,14,GKRW,2B2W,CSS,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,4,RRYY,0B2W,LLM,216,KYGR,3B0W,CSS,10,KYOR,2B0W,VOI,4,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,6,RYOK,0B1W,LLM,976,POGG,1B0W,CSS,166,KWBG,0B0W,VOI,10,PPPY,2B0W,CSS,2,PRPR,2B2W,VOI,1,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,
10,RORO,True,5,RYWO,2B0W,LLM,216,PGWO,1B0W,CSS,64,KYOO,1B1W,VOI,10,RBKO,2B0W,CSS,1,RORO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
