game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,6,YYYY,0B0W,LLM,2401,KGOK,0B1W,CSS,616,BPPG,1B2W,CSS,39,RPGB,1B3W,CSS,3,BRGP,0B4W,CSS,1,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,
2,RYGO,True,5,ROYB,1B2W,LLM,204,WYRB,1B1W,CSS,40,RYOO,3B0W,CSS,8,RYOP,2B1W,CSS,2,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,5,RYGO,2B1W,LLM,72,RYOR,1B1W,CSS,25,ROGW,2B1W,CSS,2,RWGY,1B2W,CSS,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,4,RGBO,1B0W,LLM,500,KYKO,0B2W,CSS,33,YWBK,2B1W,CSS,6,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,6,RGRG,0B0W,LLM,1296,KYKO,1B1W,CSS,230,BKKP,0B0W,CSS,20,YWWO,2B0W,CSS,2,YOYO,3B0W,CSS,1,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,
6,BGPK,True,7,RGBO,1B1W,LLM,660,KRWO,0B1W,CSS,147,PGYR,1B1W,CSS,28,RBPR,1B1W,CSS,6,RYYB,0B1W,CSS,2,BGPW,3B0W,VOI,1,BGPK,4B0W,VOI,1,,,,,,,,,,,,
7,GWRK,True,6,RGYB,0B2W,LLM,936,GBWO,1B1W,CSS,165,PBOY,0B0W,CSS,12,GWKR,2B2W,CSS,2,GRKW,1B3W,CSS,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,
8,GYGR,True,5,RGBY,0B3W,LLM,224,GORB,1B1W,CSS,50,GYKR,3B0W,CSS,4,GYYR,3B0W,CSS,3,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,5,RGBY,0B1W,LLM,976,KKRP,1B1W,CSS,154,KYKW,0B0W,CSS,12,OROP,0B2W,CSS,1,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,5,RGRG,2B0W,LLM,242,KYRG,1B0W,CSS,50,BGPG,0B0W,CSS,9,RWRR,2B0W,CSS,1,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,4,RGYB,1B1W,LLM,660,RYRK,2B0W,CSS,40,RBPK,2B0W,CSS,10,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,5,RGYB,0B2W,LLM,936,BPGW,0B1W,CSS,180,KROG,0B2W,CSS,36,OWRY,0B1W,CSS,1,GYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
13,YYKK,True,4,RGBR,0B0W,LLM,625,KKOW,0B2W,CSS,114,WPWO,0B0W,CSS,1,YYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,YWPG,True,6,RGBO,0B1W,LLM,976,BKPP,1B0W,CSS,166,YKGW,1B2W,CSS,17,KKYG,1B1W,CSS,4,WKRY,0B2W,CSS,1,YWPG,4B0W,VOI,1,,,,,,,,,,,,,,,,
15,RYYG,True,5,RGBO,1B1W,LLM,660,YWRO,0B2W,CSS,141,PYBR,1B1W,CSS,24,KOBY,0B1W,CSS,5,RYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
