game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,6,RRRR,1B0W,LLM,1372,WGYR,1B1W,CSS,258,KYPR,1B1W,CSS,47,BPWR,2B1W,CSS,4,PWWR,1B1W,CSS,1,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,
2,RYGO,True,4,RYYB,2B0W,LLM,229,ROWB,1B1W,CSS,52,RGYO,2B2W,CSS,1,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,5,RGYB,0B2W,LLM,936,KORY,0B2W,CSS,200,BBKR,0B0W,CSS,24,YPGO,1B2W,CSS,6,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,6,RRRR,0B0W,LLM,2401,GYOO,0B1W,CSS,616,PPYB,0B3W,CSS,18,BKPY,1B3W,CSS,2,YBPK,1B3W,CSS,1,YKBP,4B0W,VOI,1,,,,,,,,,,,,,,,,
5,YOOO,True,5,RRRR,0B0W,LLM,2401,KOKY,1B1W,CSS,376,KGBK,0B0W,CSS,42,YOYO,3B0W,CSS,8,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,6,RRRR,0B0W,LLM,2401,OPWO,0B1W,CSS,616,KBBP,0B3W,CSS,18,BYPK,3B0W,CSS,3,BKPK,3B0W,CSS,1,BGPK,4B0W,VOI,1,,,,,,,,,,,,,,,,
7,GWRK,True,6,RRRR,1B0W,LLM,1372,BRPO,0B1W,CSS,192,KWKR,1B2W,CSS,25,KYRK,2B0W,CSS,3,KGRW,1B3W,CSS,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,
8,GYGR,True,5,RRGB,1B1W,LLM,558,ORRP,0B1W,CSS,113,RGYK,0B3W,CSS,8,YWGR,2B1W,CSS,2,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,7,RRRR,2B0W,LLM,294,OKRR,2B0W,CSS,25,YWRR,2B0W,CSS,9,BBRR,2B0W,CSS,4,GPRR,3B0W,CSS,2,GGRR,2B0W,VOI,1,PPRR,4B0W,VOI,1,,,,,,,,,,,,
10,RORO,True,5,RRRR,2B0W,LLM,294,BRRP,1B1W,CSS,100,WKRR,1B1W,CSS,18,YRYR,0B2W,CSS,4,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,5,RGYB,1B1W,LLM,660,RBOR,1B1W,CSS,103,RPRG,1B1W,CSS,14,RWGO,2B0W,CSS,2,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,6,RGOB,0B1W,LLM,976,GYPP,2B0W,CSS,71,WOPP,0B0W,CSS,9,GYKG,3B0W,CSS,4,GYYG,2B0W,CSS,1,GYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,
13,YYKK,True,8,RRRR,0B0W,LLM,2401,YOKK,3B0W,CSS,24,YOKP,2B0W,CSS,10,YKKK,3B0W,CSS,4,YGKK,3B0W,CSS,3,YWKK,3B0W,VOI,2,YBKK,3B0W,VOI,1,YYKK,4B0W,VOI,1,,,,,,,,
14,YWPG,True,7,RRRR,0B0W,LLM,2401,POWO,0B2W,CSS,366,OGPB,1B1W,CSS,78,BWPK,2B0W,CSS,8,WWPG,3B0W,CSS,2,GWPG,3B0W,VOI,1,YWPG,4B0W,VOI,1,,,,,,,,,,,,
15,RYYG,True,4,RRRR,1B0W,LLM,1372,KRGY,0B3W,CSS,156,RGWK,1B1W,CSS,33,RYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
16,YGYO,True,4,RRRR,0B0W,LLM,2401,KWBP,0B0W,CSS,81,GOGG,0B2W,CSS,7,YGYO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
17,PWWO,True,7,RRRR,0B0W,LLM,2401,WGOK,0B2W,CSS,582,OOYW,0B2W,CSS,73,GYWY,1B0W,CSS,11,PYKO,2B0W,CSS,3,PBWO,3B0W,VOI,2,PWWO,4B0W,VOI,1,,,,,,,,,,,,
