game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,6,ROBY,1B1W,LLM,660,RPRB,1B2W,CSS,22,KPBR,3B0W,CSS,4,WPBR,3B0W,CSS,3,PPBR,3B0W,CSS,2,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,
2,RYGO,True,6,RGBW,1B1W,LLM,660,OBBR,0B2W,CSS,89,RKGO,3B0W,CSS,5,ROGO,3B0W,CSS,3,RRGO,3B0W,CSS,2,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,
3,OYGW,True,6,RGYB,0B2W,LLM,936,OBRP,1B0W,CSS,118,BBGW,2B0W,CSS,9,KBGK,1B0W,CSS,3,BBBY,0B1W,CSS,1,OYGW,4B0W,VOI,1,,,,,,,,,,,,,,,,
4,YKBP,True,5,RGBW,1B0W,LLM,500,POBP,2B0W,CSS,46,KOBB,1B1W,CSS,10,PKBY,2B2W,CSS,2,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,4,RGBW,0B0W,LLM,256,KPKO,1B0W,CSS,18,YYKY,1B0W,CSS,4,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,RGBW,1B1W,LLM,660,OPGW,0B2W,CSS,141,BGOK,3B0W,CSS,5,BGOG,2B0W,CSS,1,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,6,RGBW,0B3W,LLM,224,BWPR,1B1W,CSS,50,GWRY,3B0W,CSS,3,GWRG,3B0W,CSS,2,GWRO,3B0W,CSS,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,
8,GYGR,True,5,ROBW,0B1W,LLM,976,GKRG,1B2W,CSS,45,GRYK,1B2W,CSS,8,KGRK,0B2W,CSS,2,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,5,RGBO,0B1W,LLM,976,PPRK,3B0W,CSS,13,PWRK,2B0W,CSS,5,PPRP,3B0W,CSS,2,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,5,RGBW,1B0W,LLM,500,YOKW,1B0W,CSS,62,BOBP,1B0W,CSS,14,RRKP,1B1W,CSS,3,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,5,RGBO,2B0W,LLM,216,RPBK,1B1W,CSS,52,RKYO,2B1W,CSS,5,RWKO,2B0W,CSS,1,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,6,RGYB,0B2W,LLM,936,PBWY,0B1W,CSS,188,BKOR,0B1W,CSS,28,GPRG,1B0W,CSS,3,KYKG,2B2W,CSS,1,GYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,
13,YYKK,True,5,RGBW,0B0W,LLM,256,KYYP,1B2W,CSS,40,PYPK,2B0W,CSS,6,YYPO,2B0W,CSS,1,YYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,YWPG,True,5,RGBW,0B2W,LLM,936,YWKB,2B0W,CSS,61,GWKO,1B1W,CSS,15,OWPB,2B0W,CSS,2,YWPG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,RYYG,True,5,RGBW,1B1W,LLM,660,RKWR,1B0W,CSS,118,OYBR,1B1W,CSS,18,YGGR,0B3W,CSS,2,RYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,YGYO,True,6,RGBY,1B1W,LLM,660,WGPR,1B0W,CSS,81,BGKO,2B0W,CSS,9,OGYO,3B0W,CSS,2,GGYO,3B0W,CSS,1,YGYO,4B0W,VOI,1,,,,,,,,,,,,,,,,
17,PWWO,True,4,RGBY,0B0W,LLM,256,OKWO,2B0W,CSS,29,OPPO,1B1W,CSS,4,PWWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
18,YOGW,True,5,RGBY,0B2W,LLM,936,OPGR,1B1W,CSS,170,PYGW,2B1W,CSS,7,YYGP,2B0W,CSS,2,YOGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,KGYK,True,5,RGBW,1B0W,LLM,500,OYBY,0B1W,CSS,124,RPOO,0B0W,CSS,16,YKKW,0B3W,CSS,1,KGYK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
20,OYOP,True,5,RGYB,0B1W,LLM,976,WBPW,0B1W,CSS,238,PKKG,0B1W,CSS,38,YOWK,0B2W,CSS,6,OYOP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,RRPW,True,6,RGBW,2B0W,LLM,216,KYBW,1B0W,CSS,64,OGWW,1B0W,CSS,13,GGBG,0B0W,CSS,4,RPPW,3B0W,CSS,2,RRPW,4B0W,VOI,1,,,,,,,,,,,,,,,,
22,BOYY,True,6,RGYB,1B1W,LLM,660,RYPK,0B1W,CSS,147,YWOB,0B3W,CSS,11,BOYO,3B0W,CSS,2,BBYO,2B1W,CSS,1,BOYY,4B0W,VOI,1,,,,,,,,,,,,,,,,
23,PPRP,True,6,RGYB,0B1W,LLM,976,PBWO,1B0W,CSS,112,PRKK,1B1W,CSS,18,KYKO,0B0W,CSS,3,PPPR,2B2W,CSS,1,PPRP,4B0W,VOI,1,,,,,,,,,,,,,,,,
24,WYOY,True,6,RGBW,0B1W,LLM,976,OKKB,0B1W,CSS,238,POWP,0B2W,CSS,29,WYYO,2B2W,CSS,2,YWYO,0B4W,CSS,1,WYOY,4B0W,VOI,1,,,,,,,,,,,,,,,,
25,OYOO,True,3,RGBW,0B0W,LLM,256,KYKP,1B0W,CSS,18,OYOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
