game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,5,GYWP,1B1W,LLM,660,GOOW,1B0W,CSS,122,GGYK,1B0W,CSS,18,GBPB,1B2W,CSS,1,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,6,BOWK,0B1W,LLM,976,PGPB,0B1W,CSS,238,KYGY,2B0W,CSS,25,RYGW,3B0W,CSS,3,WYGW,2B0W,CSS,1,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,
3,OYGW,True,7,KROY,0B2W,LLM,936,OBWK,1B1W,CSS,165,OWRP,1B1W,CSS,26,OOBR,1B0W,CSS,5,OPKG,1B1W,CSS,2,OGYW,2B2W,VOI,1,OYGW,4B0W,VOI,1,,,,,,,,,,,,
4,YKBP,True,5,YOWK,1B1W,LLM,660,YKGB,2B1W,CSS,16,YKBR,3B0W,CSS,2,YKBY,3B0W,CSS,1,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,5,BKYP,0B1W,LLM,976,GRGK,0B0W,CSS,114,WYWO,1B1W,CSS,19,PWWW,0B0W,CSS,3,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,4,KRGB,0B3W,LLM,224,PBKG,0B4W,CSS,3,GKBP,0B4W,CSS,1,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,BOPK,1B0W,LLM,500,RYPW,0B2W,CSS,90,GORY,2B0W,CSS,10,WORO,1B1W,CSS,2,GWRK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,5,WYOG,1B1W,LLM,660,KYPO,1B0W,CSS,81,BYWR,2B0W,CSS,9,RYGR,3B0W,CSS,2,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,5,BYPK,0B1W,LLM,976,RPOW,1B1W,CSS,179,YRGW,0B1W,CSS,32,ROBO,0B1W,CSS,5,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,5,PGWO,1B0W,LLM,500,KRKO,1B1W,CSS,78,PBKK,0B0W,CSS,10,ROOO,3B0W,CSS,3,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,4,GYOW,1B1W,LLM,660,BROY,0B3W,CSS,37,OYRK,1B2W,CSS,3,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,4,WPKR,1B0W,LLM,500,BOKG,1B1W,CSS,90,OYKO,2B0W,CSS,6,GYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,YYKK,True,6,BKOW,0B1W,LLM,976,PWPY,0B1W,CSS,245,YYGK,3B0W,CSS,10,KYGK,2B1W,CSS,3,YGGK,2B0W,CSS,1,YYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,
14,YWPG,True,5,RBYO,0B1W,LLM,976,KWBG,2B0W,CSS,64,KOPG,2B0W,CSS,10,KKRG,1B0W,CSS,2,YWPG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,RYYG,True,6,BORG,1B1W,LLM,660,WBKG,1B0W,CSS,81,RPYG,3B0W,CSS,6,RGYG,3B0W,CSS,2,RRYG,3B0W,CSS,1,RYYG,4B0W,VOI,1,,,,,,,,,,,,,,,,
16,YGYO,True,5,WYOR,0B2W,LLM,936,POWK,0B1W,CSS,188,RBGO,1B1W,CSS,32,RPBY,0B1W,CSS,5,YGYO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,PWWO,True,6,BGYP,0B1W,LLM,976,GKKW,0B1W,CSS,238,WROY,0B2W,CSS,43,OWWB,2B1W,CSS,3,OWBO,2B0W,CSS,1,PWWO,4B0W,VOI,1,,,,,,,,,,,,,,,,
18,YOGW,True,3,PGYO,0B3W,LLM,224,OYRG,0B3W,CSS,28,YOGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,KGYK,True,5,BROP,0B0W,LLM,256,YWGW,0B2W,CSS,42,WKYK,2B1W,CSS,5,WKKG,0B3W,CSS,1,KGYK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
20,OYOP,True,6,YPKW,0B2W,LLM,936,WOGK,0B1W,CSS,188,KYBB,1B0W,CSS,42,RYPO,1B2W,CSS,6,OYYP,3B0W,CSS,1,OYOP,4B0W,VOI,1,,,,,,,,,,,,,,,,
21,RRPW,True,4,WYGB,0B1W,LLM,976,KKYO,0B0W,CSS,114,RWRP,1B3W,CSS,3,RRPW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
22,BOYY,True,5,GBPK,0B1W,LLM,976,WRYP,1B0W,CSS,112,WOOG,1B0W,CSS,19,YOYB,2B2W,CSS,1,BOYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
23,PPRP,True,5,YRGB,0B1W,LLM,976,PBOP,2B0W,CSS,70,PGOW,1B0W,CSS,15,KBOO,0B0W,CSS,4,PPRP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
24,WYOY,True,4,KRGB,0B0W,LLM,256,POPO,0B1W,CSS,32,WPWY,2B0W,CSS,3,WYOY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
