game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,5,RRYY,0B1W,LLM,864,KYGG,0B1W,CSS,200,GOWR,2B0W,CSS,14,YOWB,0B1W,CSS,3,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,3,RYPK,2B0W,LLM,216,OGPK,0B2W,CSS,2,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,5,RYRY,1B0W,LLM,864,PGRO,0B2W,CSS,161,GOKY,0B3W,CSS,12,BYOG,1B2W,CSS,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,5,RYBK,1B2W,LLM,204,BRGK,0B2W,CSS,70,RKOY,1B1W,CSS,12,RBYP,1B2W,CSS,1,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,5,WORK,1B0W,LLM,500,GBPK,0B0W,CSS,24,YYRY,1B0W,CSS,5,OOOY,2B2W,CSS,1,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,GYWO,0B1W,LLM,976,YPPR,1B0W,CSS,166,BOKR,1B1W,CSS,32,RBGR,0B2W,CSS,2,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,RRYY,0B1W,LLM,864,POWR,0B2W,CSS,161,YPOK,1B0W,CSS,13,GPRB,2B0W,CSS,1,GWRK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,4,RRYY,0B2W,LLM,216,YKGR,2B1W,CSS,20,OYGR,3B0W,CSS,4,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,5,RYYY,0B1W,LLM,978,KRWG,0B1W,CSS,142,PPRO,3B0W,CSS,7,PPRB,3B0W,CSS,2,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,5,YROP,0B2W,LLM,936,BPRK,1B0W,CSS,110,GORW,2B0W,CSS,13,GYRR,1B1W,CSS,3,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,3,RYOO,3B0W,LLM,28,RYOB,2B1W,CSS,8,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
