game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,7,RRRR,1B0W,LLM,1372,BKKR,1B1W,VOI,252,BORY,0B2W,VOI,57,WRKO,0B1W,VOI,10,GGBR,3B0W,VOI,3,PGBR,2B2W,CSS,1,GPBR,4B0W,CSS,1,,,,,,,,,,,,
2,RYGO,True,6,RRRR,1B0W,LLM,1372,WORW,0B2W,VOI,326,KYOR,1B2W,VOI,46,PROK,0B2W,VOI,7,OGYR,0B4W,VOI,1,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,
3,OYGW,True,7,RRRR,0B0W,LLM,2401,KWOY,0B3W,VOI,180,WKGO,1B2W,VOI,28,WOKW,1B1W,VOI,6,YGKO,0B3W,VOI,2,GKYW,1B2W,CSS,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,
4,YKBP,True,6,RRRR,0B0W,LLM,2401,BOWP,1B1W,VOI,432,PKWY,1B2W,VOI,25,WPWK,0B2W,VOI,7,KOPY,0B3W,VOI,1,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,
5,YOOO,True,5,RYGB,0B1W,LLM,976,KGWP,0B0W,VOI,21,OBOO,2B1W,VOI,5,OORO,2B1W,VOI,2,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,6,RRRR,0B0W,LLM,2401,OBYG,0B2W,VOI,582,BWBO,1B0W,VOI,108,GPKO,0B3W,VOI,4,BKGP,1B3W,VOI,2,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,
7,GWRK,True,5,RGYB,0B2W,LLM,936,KRPY,0B2W,VOI,196,BPRO,1B0W,VOI,22,YWRR,2B0W,VOI,2,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,7,RRRR,1B0W,LLM,1372,GRGW,2B1W,VOI,38,PRGG,1B2W,VOI,7,GOGR,3B0W,VOI,4,GBGR,3B0W,VOI,3,GGGR,3B0W,CSS,2,GYGR,4B0W,CSS,1,,,,,,,,,,,,
9,PPRR,True,6,RGOB,0B1W,LLM,976,WYGP,0B1W,VOI,174,PKKR,2B0W,VOI,18,OKKW,0B0W,VOI,4,PRPR,2B2W,VOI,1,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,
10,RORO,True,4,RGBY,1B0W,LLM,500,WGPK,0B0W,VOI,24,OOBB,1B1W,VOI,5,RORO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,7,RRRR,1B0W,LLM,1372,RBYY,1B1W,VOI,252,GBRO,1B1W,VOI,46,WGRY,0B2W,VOI,9,KRYO,1B2W,VOI,2,RYOO,3B0W,CSS,1,RYPO,4B0W,CSS,1,,,,,,,,,,,,
12,GYKK,True,5,RGOB,0B1W,LLM,976,KYPO,1B1W,VOI,179,KWGY,0B3W,VOI,13,BYWK,2B0W,VOI,4,GYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,YYKK,True,6,RRRR,0B0W,LLM,2401,BPKG,1B0W,VOI,256,BYOW,1B0W,VOI,25,PPOO,0B0W,VOI,13,KYKY,2B2W,VOI,1,YYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,
14,YWPG,True,5,RRRR,0B0W,LLM,2401,PYGO,0B3W,VOI,180,BOPY,1B1W,VOI,40,OGKY,0B2W,VOI,4,YWPG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
15,RYYG,True,4,RRYY,2B1W,LLM,48,RKYR,2B0W,VOI,5,RYYO,3B0W,VOI,4,RYYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
