game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,4,RPGO,1B2W,LLM,204,PRGG,0B3W,VOI,24,RGPR,1B2W,VOI,4,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,5,BKPO,1B0W,LLM,500,RGWO,2B1W,VOI,21,YRWO,1B2W,VOI,4,RWOO,2B0W,VOI,1,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,6,BGYO,0B3W,LLM,224,YOKG,0B3W,VOI,26,OYGR,3B0W,VOI,3,OYGP,3B0W,VOI,2,OYGY,3B0W,VOI,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
4,YKBP,True,4,WYOP,1B1W,LLM,660,BWKP,1B2W,VOI,29,PKWP,2B0W,VOI,4,YKBP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,4,KYOW,1B1W,LLM,660,GKOB,1B0W,VOI,81,WOOR,2B0W,VOI,9,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,6,RYGB,0B2W,LLM,936,PRBO,0B2W,VOI,196,KBPY,1B2W,VOI,15,BPYY,1B1W,VOI,3,BKPG,2B2W,VOI,1,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,
7,GWRK,True,5,KYOW,0B2W,LLM,936,YBWG,0B2W,VOI,196,RWBK,2B1W,VOI,7,BWPK,2B0W,VOI,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,5,GOGO,2B0W,LLM,242,GYRO,2B1W,VOI,20,GORB,1B1W,VOI,4,GKYO,1B1W,VOI,1,GYGR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,5,PYPK,1B1W,LLM,558,WPPG,1B1W,VOI,93,KGPR,1B1W,VOI,18,ORPP,0B3W,VOI,2,PPRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,5,RPOK,1B1W,LLM,660,RYPB,1B0W,VOI,81,RKWG,1B0W,VOI,9,OKOB,0B2W,VOI,1,RORO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,4,BORY,0B3W,LLM,224,OPYR,0B4W,VOI,4,YRPO,2B2W,VOI,2,RYPO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,5,BKYO,0B2W,LLM,936,WBRY,0B1W,VOI,180,KYGP,1B2W,VOI,13,PYKK,3B0W,VOI,2,GYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,YYKK,True,5,RYGB,1B0W,LLM,500,ROPW,0B0W,VOI,24,KKGK,1B1W,VOI,4,KBKB,1B1W,VOI,1,YYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
14,YWPG,True,6,GPOK,0B2W,LLM,936,WBPG,2B1W,VOI,24,PBBG,1B1W,VOI,6,WBGO,0B2W,VOI,2,RWPG,3B0W,VOI,1,YWPG,4B0W,CSS,1,,,,,,,,,,,,,,,,
15,RYYG,True,5,KYOW,1B0W,LLM,500,KPGB,0B1W,VOI,117,RYRP,2B0W,VOI,13,YYRG,2B2W,VOI,2,RYYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
16,YGYO,True,6,RYOW,0B2W,LLM,936,GRBO,1B1W,VOI,170,BKYO,2B0W,VOI,17,BRYP,1B0W,VOI,5,BBWO,1B0W,VOI,2,YGYO,4B0W,CSS,1,,,,,,,,,,,,,,,,
17,PWWO,True,5,KRGB,0B0W,LLM,256,POYP,1B1W,VOI,46,PPWW,2B1W,VOI,4,PWWY,3B0W,VOI,1,PWWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
18,YOGW,True,6,GBYO,0B3W,LLM,224,BGOW,1B2W,VOI,32,OGGB,1B1W,VOI,6,WYOB,0B3W,VOI,2,BWGY,1B2W,VOI,1,YOGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
19,KGYK,True,5,BKPO,0B1W,LLM,976,GYKW,0B3W,VOI,67,RGWK,2B0W,VOI,8,YGWB,1B1W,VOI,1,KGYK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
20,OYOP,True,4,GKYO,0B2W,LLM,936,BWKG,0B0W,VOI,52,RYOR,2B0W,VOI,6,OYOP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
21,RRPW,True,5,RYOG,1B0W,LLM,500,BYPK,1B0W,VOI,62,BWGG,0B1W,VOI,13,WYYY,0B1W,VOI,4,RRPW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,BOYY,True,6,RRRK,0B0W,LLM,1296,BOBO,2B0W,VOI,114,BOPW,2B0W,VOI,12,YOPO,1B1W,VOI,3,BOYG,3B0W,VOI,1,BOYY,4B0W,CSS,1,,,,,,,,,,,,,,,,
23,PPRP,True,6,BBWW,0B0W,LLM,1296,KKPP,1B1W,VOI,208,KRKY,0B1W,VOI,39,PYGP,2B0W,VOI,4,PORP,3B0W,VOI,1,PPRP,4B0W,CSS,1,,,,,,,,,,,,,,,,
24,WYOY,True,6,RGGG,0B0W,LLM,1296,KYKY,2B0W,VOI,114,KYPW,1B1W,VOI,28,KBKP,0B0W,VOI,5,WYYY,3B0W,VOI,2,WYOY,4B0W,CSS,1,,,,,,,,,,,,,,,,
25,OYOO,True,6,GOGY,0B2W,LLM,546,WYBO,2B0W,VOI,46,RYPO,2B0W,VOI,13,YYYO,2B0W,VOI,4,KYOO,3B0W,VOI,2,OYOO,4B0W,CSS,1,,,,,,,,,,,,,,,,
26,BYKG,True,4,KYOW,1B1W,LLM,660,KBRY,0B3W,VOI,37,YYKB,2B1W,VOI,3,BYKG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
27,YYOY,True,5,BKYO,0B2W,LLM,936,WBOR,1B0W,VOI,118,OYOG,2B0W,VOI,9,YYOP,3B0W,VOI,2,YYOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
28,WYRW,True,6,PWKG,0B1W,LLM,976,BORP,1B0W,VOI,112,YOYW,1B1W,VOI,18,BYYK,1B0W,VOI,2,RYRW,3B0W,VOI,1,WYRW,4B0W,CSS,1,,,,,,,,,,,,,,,,
29,GWRW,True,6,RPOK,0B1W,LLM,976,WBKG,0B2W,VOI,228,PWGY,1B1W,VOI,40,BYGO,0B1W,VOI,6,KWYW,2B0W,VOI,1,GWRW,4B0W,CSS,1,,,,,,,,,,,,,,,,
30,GYPK,True,6,KYOW,1B1W,LLM,660,RBYW,0B1W,VOI,147,YGOO,0B2W,VOI,16,KPGY,0B4W,VOI,3,PYKG,1B3W,VOI,1,GYPK,4B0W,CSS,1,,,,,,,,,,,,,,,,
31,PRWR,True,6,RYGB,0B1W,LLM,976,OPYK,0B1W,VOI,174,BWWO,1B0W,VOI,24,KKWR,2B0W,VOI,3,KGWG,1B0W,VOI,1,PRWR,4B0W,CSS,1,,,,,,,,,,,,,,,,
32,GOYR,True,4,RGWO,0B3W,LLM,224,OWBR,1B1W,VOI,52,GYOR,2B2W,VOI,1,GOYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
33,WWKO,True,6,RKYP,0B1W,LLM,976,ORWG,0B2W,VOI,228,BOPW,0B2W,VOI,42,WGBY,1B0W,VOI,4,WWOK,2B2W,VOI,1,WWKO,4B0W,CSS,1,,,,,,,,,,,,,,,,
34,WORG,True,6,PYWB,0B1W,LLM,976,RKOY,0B2W,VOI,228,WGRK,2B1W,VOI,9,KGRP,1B1W,VOI,2,WGKO,1B2W,VOI,1,WORG,4B0W,CSS,1,,,,,,,,,,,,,,,,
35,OGPP,True,6,RYGY,0B1W,LLM,1160,KGBW,1B0W,VOI,133,KPRP,1B1W,VOI,23,KROO,0B1W,VOI,3,PWRW,0B1W,VOI,1,OGPP,4B0W,CSS,1,,,,,,,,,,,,,,,,
36,RWOY,True,6,RRYG,1B1W,LLM,558,RBRP,1B0W,VOI,79,ROGW,1B2W,VOI,9,KORG,0B2W,VOI,2,RYWO,1B3W,VOI,1,RWOY,4B0W,CSS,1,,,,,,,,,,,,,,,,
37,KBPY,True,4,RGYP,0B2W,LLM,936,PWGO,0B1W,VOI,180,KPBY,2B2W,VOI,3,KBPY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
38,GKKP,True,6,RRRR,0B0W,LLM,2401,BGOW,0B1W,VOI,444,PKPO,1B1W,VOI,85,PPYB,0B1W,VOI,13,OKKY,2B0W,VOI,2,GKKP,4B0W,CSS,1,,,,,,,,,,,,,,,,
39,PRYO,True,6,BGKO,1B0W,LLM,500,BRWP,1B1W,VOI,90,BWYW,1B0W,VOI,12,BPPB,0B1W,VOI,3,KWKP,0B1W,VOI,1,PRYO,4B0W,CSS,1,,,,,,,,,,,,,,,,
40,GBRW,True,6,GOWK,1B1W,LLM,660,YOKR,0B1W,VOI,147,KWWP,0B1W,VOI,26,GYBW,2B1W,VOI,2,GGYW,2B0W,VOI,1,GBRW,4B0W,CSS,1,,,,,,,,,,,,,,,,
41,OWOG,True,6,YOWK,0B2W,LLM,936,KGOP,1B1W,VOI,170,BYOG,2B0W,VOI,17,BKOR,1B0W,VOI,5,GWOG,3B0W,VOI,2,OWOG,4B0W,CSS,1,,,,,,,,,,,,,,,,
42,WPBB,True,6,RGYP,0B1W,LLM,976,BOWG,0B2W,VOI,228,YKBO,1B0W,VOI,27,WWPO,1B1W,VOI,4,PWBB,2B2W,VOI,1,WPBB,4B0W,CSS,1,,,,,,,,,,,,,,,,
43,YROK,True,4,KYOW,1B2W,LLM,204,YYWO,1B1W,VOI,62,KKWY,0B2W,VOI,13,YROK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
44,GRKG,True,4,RRYG,2B0W,LLM,229,ORYK,1B1W,VOI,58,KRPG,2B1W,VOI,5,GRKG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
45,RWPK,True,6,WWWW,1B0W,LLM,1372,WRYR,0B2W,VOI,326,YOGW,0B1W,VOI,27,PWRP,1B2W,VOI,4,RWPB,3B0W,VOI,1,RWPK,4B0W,CSS,1,,,,,,,,,,,,,,,,
46,YWGB,True,4,RGBW,0B3W,LLM,224,BWRY,1B2W,VOI,32,BBWR,0B2W,VOI,5,YWGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
47,OWRB,True,7,RYGW,0B2W,LLM,936,YBOG,0B2W,VOI,196,GPRB,2B0W,VOI,21,GORK,1B1W,VOI,6,GWKB,2B0W,VOI,2,GPKY,0B0W,CSS,1,OWRB,4B0W,CSS,1,,,,,,,,,,,,
48,GBGW,True,6,WYGP,1B1W,LLM,660,BPGO,1B1W,VOI,108,YOGY,1B0W,VOI,17,PKGG,1B1W,VOI,4,KBGW,3B0W,VOI,1,GBGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
49,YWPY,True,5,GYRO,0B1W,LLM,976,PRBK,0B1W,VOI,174,KWWG,1B0W,VOI,24,YWYP,2B2W,VOI,1,YWPY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
50,GOKY,True,5,BROW,0B1W,LLM,976,GWYP,1B1W,VOI,179,KGYB,0B3W,VOI,13,GYRK,1B2W,VOI,1,GOKY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
51,PRWG,True,7,BBKO,0B0W,LLM,625,PPYW,1B1W,VOI,120,YYGW,0B2W,VOI,18,RPWG,2B2W,VOI,3,WPRG,1B3W,VOI,2,GPWR,1B3W,CSS,1,PRWG,4B0W,CSS,1,,,,,,,,,,,,
52,OYOW,True,6,RGYP,0B1W,LLM,976,BOPK,0B1W,VOI,174,ORWW,2B0W,VOI,18,YBWW,1B1W,VOI,3,OYWO,2B2W,VOI,1,OYOW,4B0W,CSS,1,,,,,,,,,,,,,,,,
