game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,5,RGBO,1B2W,LLM,204,BRYO,0B2W,CSS,70,ROKG,0B2W,CSS,13,OGPB,0B3W,CSS,1,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,5,RGRG,1B1W,LLM,456,KRRO,1B1W,CSS,74,RRBW,1B0W,CSS,10,ORYG,0B4W,CSS,1,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,6,RRRR,0B0W,LLM,2401,WBWY,0B2W,CSS,366,KYPB,1B0W,CSS,24,YYOW,2B1W,CSS,2,GYYW,2B1W,CSS,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
4,YKBP,True,6,RRRR,0B0W,LLM,2401,KKGP,2B0W,CSS,161,KBGO,0B2W,CSS,14,WKBP,3B0W,CSS,4,BKBP,3B0W,CSS,2,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,
5,YOOO,True,5,RGYB,0B1W,LLM,976,PYOO,2B1W,CSS,24,YYOP,2B0W,CSS,5,YWOO,3B0W,CSS,2,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,6,RGYB,1B1W,LLM,660,OBYP,0B2W,CSS,141,BPGB,1B2W,CSS,8,BGPW,3B0W,CSS,2,BGPG,3B0W,CSS,1,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,
7,GWRK,True,5,RGGB,0B2W,LLM,546,GBKY,1B1W,CSS,118,PBRK,2B0W,CSS,11,PBWG,0B2W,CSS,1,GWRK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,4,RGYB,0B3W,LLM,224,BYOG,1B1W,CSS,50,BRGP,1B1W,CSS,10,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,6,RGYW,0B1W,LLM,976,GOBB,0B0W,CSS,114,PYKK,1B0W,CSS,11,PPPR,3B0W,CSS,2,PRPR,2B2W,CSS,1,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,
10,RORO,True,5,BGRY,1B0W,LLM,500,OGWO,1B1W,CSS,78,OOKY,1B1W,CSS,9,PORO,3B0W,CSS,1,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,5,RGRG,1B0W,LLM,864,RYWO,3B0W,CSS,15,RYBO,3B0W,CSS,4,RYOO,3B0W,CSS,3,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,6,RGYB,0B2W,LLM,936,ORGR,0B1W,CSS,213,GBPK,2B0W,CSS,17,GYPW,2B0W,CSS,3,GBWW,1B0W,CSS,1,GYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,
13,YYKK,True,6,RRGG,0B0W,LLM,1296,OBKB,1B0W,CSS,182,OWWY,0B1W,CSS,31,WBPP,0B0W,CSS,3,YKKK,3B0W,CSS,1,YYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,
14,YWPG,True,6,RGBO,0B1W,LLM,976,YBKP,1B1W,CSS,179,YPRW,1B2W,CSS,11,YKWR,1B1W,CSS,2,YRPY,2B0W,CSS,1,YWPG,4B0W,CSS,1,,,,,,,,,,,,,,,,
15,RYYG,True,7,RGYB,2B1W,LLM,72,BGYG,2B0W,CSS,13,RRYG,3B0W,CSS,5,RWYG,3B0W,CSS,4,RPYG,3B0W,CSS,3,RKYG,3B0W,CSS,2,RYYG,4B0W,CSS,1,,,,,,,,,,,,
16,YGYO,True,3,RGYB,2B0W,LLM,216,RPOB,0B1W,CSS,18,YGYO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PWWO,True,6,RGRG,0B0W,LLM,1296,OBBP,0B2W,CSS,222,PKOO,2B0W,CSS,31,PWYO,3B0W,CSS,4,PWPO,3B0W,CSS,1,PWWO,4B0W,CSS,1,,,,,,,,,,,,,,,,
18,YOGW,True,5,RGBY,0B2W,LLM,936,PORB,1B0W,CSS,110,KWYB,0B2W,CSS,18,YOGK,3B0W,CSS,1,YOGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,KGYK,True,6,GGYY,2B0W,LLM,242,GWRY,0B2W,CSS,16,BGYK,3B0W,CSS,6,PGYK,3B0W,CSS,2,OGYK,3B0W,CSS,1,KGYK,4B0W,CSS,1,,,,,,,,,,,,,,,,
20,OYOP,True,7,RGBO,0B1W,LLM,976,KRPY,0B2W,CSS,228,WPYB,0B2W,CSS,47,YWOK,1B1W,CSS,7,YYRW,1B0W,CSS,3,PYOP,3B0W,CSS,1,OYOP,4B0W,CSS,1,,,,,,,,,,,,
