game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,6,RGBY,1B2W,LLM,204,YOBG,1B1W,CSS,40,RYRG,0B2W,CSS,8,GBBR,3B0W,CSS,3,GWBR,3B0W,CSS,2,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,
2,RYGO,True,5,RGBY,1B2W,LLM,204,PBRY,0B2W,CSS,70,WYBG,1B1W,CSS,12,GRBO,1B2W,CSS,1,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,5,RGBY,0B2W,LLM,936,GYWP,1B2W,CSS,56,WYYG,1B2W,CSS,10,GKYW,1B2W,CSS,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,6,RGBY,1B1W,LLM,660,RKPG,1B1W,CSS,108,RYKR,0B2W,CSS,15,GKWY,1B1W,CSS,3,WRPY,0B2W,CSS,1,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,
5,YOOO,True,5,RGBY,0B1W,LLM,976,OYKO,1B2W,CSS,45,YKPO,2B0W,CSS,6,YWOO,3B0W,CSS,1,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,RGBY,1B1W,LLM,660,GGRP,1B1W,CSS,103,GKBG,0B3W,CSS,9,BGGW,2B0W,CSS,2,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,RGBY,0B2W,LLM,936,WRYK,1B2W,CSS,56,YRKR,0B2W,CSS,14,WKRB,1B2W,CSS,3,GWRK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,6,RGBY,0B3W,LLM,224,WYRB,1B1W,CSS,50,GBRO,1B1W,CSS,10,YPRG,0B3W,CSS,3,GYYR,3B0W,CSS,2,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,
9,PPRR,True,5,RGBY,0B1W,LLM,976,OPYP,1B1W,CSS,154,BPPW,1B1W,CSS,30,PPRK,3B0W,CSS,2,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,5,RGBY,1B0W,LLM,500,PGPK,0B0W,CSS,81,ROWR,2B1W,CSS,6,RWRR,2B0W,CSS,2,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,4,RGBY,1B1W,LLM,660,ROKG,1B1W,CSS,108,RPYO,2B2W,CSS,1,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,6,RGBY,0B2W,LLM,936,WYRP,1B0W,CSS,118,KBRO,0B1W,CSS,15,OYYG,1B1W,CSS,2,GYGK,3B0W,CSS,1,GYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,
13,YYKK,True,4,RGBY,0B1W,LLM,976,BPWP,0B0W,CSS,114,OKOR,0B1W,CSS,6,YYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,YWPG,True,6,RGBY,0B2W,LLM,936,GRWO,0B2W,CSS,208,WYKR,0B2W,CSS,35,BBRW,0B1W,CSS,5,PWYG,2B2W,CSS,1,YWPG,4B0W,CSS,1,,,,,,,,,,,,,,,,
15,RYYG,True,4,RGBY,1B2W,LLM,204,BGYB,1B1W,CSS,43,RBYW,2B0W,CSS,5,RYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
16,YGYO,True,6,RGBY,1B1W,LLM,660,BRBK,0B0W,CSS,72,YGWG,2B0W,CSS,6,YGYP,3B0W,CSS,3,YGPP,2B0W,CSS,1,YGYO,4B0W,CSS,1,,,,,,,,,,,,,,,,
17,PWWO,True,4,RGBY,0B0W,LLM,256,OWKO,2B0W,CSS,29,OPPO,1B1W,CSS,4,PWWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
18,YOGW,True,5,RGBY,0B2W,LLM,936,WOGR,2B1W,CSS,24,GOOR,1B1W,CSS,6,WORB,1B1W,CSS,1,YOGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,KGYK,True,4,RGBY,1B1W,LLM,660,RBOP,0B0W,CSS,42,GKKY,0B4W,CSS,1,KGYK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
20,OYOP,True,6,RGBY,0B1W,LLM,976,WBPP,1B0W,CSS,166,YOKP,1B2W,CSS,16,OKRP,2B0W,CSS,3,OYYP,3B0W,CSS,1,OYOP,4B0W,CSS,1,,,,,,,,,,,,,,,,
21,RRPW,True,5,RGBY,1B0W,LLM,500,OWBO,0B1W,CSS,124,GGWP,0B2W,CSS,10,WKPY,1B1W,CSS,2,RRPW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
22,BOYY,True,5,RGBY,1B1W,LLM,660,YGWO,0B2W,CSS,141,WPRY,1B0W,CSS,23,GYKY,1B1W,CSS,4,BOYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
23,PPRP,True,6,RGBY,0B1W,LLM,976,OOGP,1B0W,CSS,166,OWKR,0B1W,CSS,28,WYPP,1B1W,CSS,5,PRRP,3B0W,CSS,1,PPRP,4B0W,CSS,1,,,,,,,,,,,,,,,,
24,WYOY,True,6,RGBY,1B0W,LLM,500,WOBK,1B1W,CSS,90,ROWP,0B2W,CSS,20,PWBW,0B1W,CSS,5,WGOG,2B0W,CSS,1,WYOY,4B0W,CSS,1,,,,,,,,,,,,,,,,
25,OYOO,True,6,RGBY,0B1W,LLM,976,PPRW,0B0W,CSS,114,YKOO,2B1W,CSS,9,YOYO,1B2W,CSS,2,YYOK,2B0W,CSS,1,OYOO,4B0W,CSS,1,,,,,,,,,,,,,,,,
26,BYKG,True,6,RGBY,0B3W,LLM,224,GRYO,0B2W,CSS,60,YBWG,1B2W,CSS,10,YYGB,1B2W,CSS,2,BYPG,3B0W,CSS,1,BYKG,4B0W,CSS,1,,,,,,,,,,,,,,,,
27,YYOY,True,5,RGBY,1B0W,LLM,500,WPKY,1B0W,CSS,62,KGKO,0B1W,CSS,13,YOYY,2B2W,CSS,2,YYOY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
28,WYRW,True,5,RGBY,0B2W,LLM,936,PRYW,1B2W,CSS,56,PYRR,2B0W,CSS,11,WYYR,2B1W,CSS,1,WYRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
29,GWRW,True,5,RGBY,0B2W,LLM,936,OKRG,1B1W,CSS,170,KPYG,0B1W,CSS,29,YORW,2B0W,CSS,4,GWRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
30,GYPK,True,5,RGBY,0B2W,LLM,936,KOGB,0B2W,CSS,200,PBOR,0B1W,CSS,31,GRWK,2B0W,CSS,4,GYPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
31,PRWR,True,5,RGBY,0B1W,LLM,976,OPPB,0B1W,CSS,238,KYWO,1B0W,CSS,17,PRWW,3B0W,CSS,1,PRWR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
32,GOYR,True,4,RGBY,0B3W,LLM,224,BOYG,2B1W,CSS,15,BYPG,0B2W,CSS,1,GOYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
33,WWKO,True,5,RGBY,0B0W,LLM,256,OOWP,0B2W,CSS,42,KKPO,1B1W,CSS,6,WKOW,1B3W,CSS,1,WWKO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
34,WORG,True,5,RGBY,0B2W,LLM,936,WYRK,2B0W,CSS,60,WBRP,2B0W,CSS,11,OBRK,1B1W,CSS,1,WORG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
