game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,6,RGBY,1B2W,LLM,204,ORBG,1B2W,CSS,21,ROYG,0B2W,CSS,4,GBBR,3B0W,CSS,3,GWBR,3B0W,CSS,2,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,
2,RYGO,True,5,RGYW,1B2W,LLM,204,RYGP,3B0W,CSS,8,RYGG,3B0W,CSS,5,RYGK,3B0W,CSS,4,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,6,RGYW,1B2W,LLM,204,GRWW,1B1W,CSS,62,GWYY,0B3W,CSS,14,YBGW,2B1W,CSS,3,KYGW,3B0W,CSS,2,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,
4,YKBP,True,5,RGYW,0B1W,LLM,976,OPPY,0B2W,CSS,123,YBOO,1B1W,CSS,18,POWO,0B1W,CSS,3,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,6,RGYW,0B1W,LLM,976,GPKP,0B0W,CSS,114,OROB,1B1W,CSS,19,BBOY,1B1W,CSS,3,YYOO,3B0W,CSS,1,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,
6,BGPK,True,5,RGYB,1B1W,LLM,660,WBYP,0B2W,CSS,141,GPOB,0B3W,CSS,8,BGWO,2B0W,CSS,3,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,RGYB,0B2W,LLM,936,KYBP,0B1W,CSS,188,OWRY,2B0W,CSS,14,YWGY,1B1W,CSS,2,GWRK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,4,RGYB,0B3W,LLM,224,BPGR,2B0W,CSS,23,WYGR,3B0W,CSS,4,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,4,RGYW,0B1W,LLM,976,KYBO,0B0W,CSS,21,PPPR,3B0W,CSS,3,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
10,RORO,True,7,RGBY,1B0W,LLM,500,RKOP,1B1W,CSS,90,KGOW,0B1W,CSS,19,POBP,1B0W,CSS,4,PKYY,0B0W,CSS,2,RORR,3B0W,CSS,1,RORO,4B0W,CSS,1,,,,,,,,,,,,
