game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,2,RGBR,2B1W,LLM,60,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,4,ROYB,1B2W,LLM,204,RYBG,2B1W,VOI,9,RRBY,1B1W,VOI,3,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,6,RRRR,0B0W,LLM,2401,BOYG,0B3W,VOI,180,YPOB,0B2W,VOI,45,GWBO,0B3W,VOI,4,OGWY,1B3W,VOI,1,OYGW,4B0W,VOI,1,,,,,,,,,,,,,,,,
4,YKBP,True,5,RGBY,1B1W,LLM,660,WBOY,0B2W,VOI,141,GKBO,2B0W,VOI,13,GPBW,1B1W,VOI,2,YKBP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,5,YYYY,1B0W,LLM,1372,WGOY,1B1W,VOI,258,KBGY,0B1W,VOI,36,RYOO,2B1W,VOI,4,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,6,RRRR,0B0W,LLM,2401,OYPO,1B0W,VOI,378,OBGK,1B2W,VOI,33,GBWO,0B2W,VOI,6,KYGB,0B3W,VOI,1,BGPK,4B0W,VOI,1,,,,,,,,,,,,,,,,
7,GWRK,True,5,RRYY,0B1W,LLM,864,GPRB,2B0W,VOI,58,YPOB,0B0W,VOI,9,GGRW,2B1W,VOI,2,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,6,RRRR,1B0W,LLM,1372,WKRG,0B2W,VOI,399,GOYR,2B1W,VOI,20,BGYR,1B2W,VOI,5,GRYY,1B2W,VOI,2,GYGR,4B0W,VOI,1,,,,,,,,,,,,,,,,
9,PPRR,True,4,RGBO,0B1W,LLM,976,WYRP,1B1W,VOI,179,PRKP,1B2W,VOI,3,PPRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,RORO,True,5,RGBO,2B0W,LLM,216,RRBY,1B1W,VOI,42,RGRK,2B0W,VOI,7,YGBK,0B0W,VOI,3,RORO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,RYPO,True,6,RGBY,1B1W,LLM,660,GKBO,1B0W,VOI,81,RYOO,3B0W,VOI,4,RYRO,3B0W,VOI,3,RYYO,3B0W,VOI,2,RYPO,4B0W,VOI,1,,,,,,,,,,,,,,,,
12,GYKK,True,7,RGBY,0B2W,LLM,936,WYWR,1B0W,VOI,174,GBWO,1B0W,VOI,33,GYYK,3B0W,VOI,5,GYYG,2B0W,VOI,2,GYPK,3B0W,VOI,1,GYKK,4B0W,VOI,1,,,,,,,,,,,,
13,YYKK,True,5,RGBY,0B1W,LLM,976,PPRR,0B0W,VOI,333,OKKB,1B1W,VOI,66,WKGO,0B1W,VOI,4,YYKK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
14,YWPG,True,5,RGBY,0B2W,LLM,936,GYPK,1B2W,VOI,56,PYYG,1B2W,VOI,10,GPYP,0B3W,VOI,2,YWPG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
15,RYYG,True,6,RRRR,1B0W,LLM,1372,YYPR,1B2W,VOI,87,RYYO,3B0W,VOI,5,RYYW,3B0W,VOI,4,RYYK,3B0W,VOI,3,RYYG,4B0W,VOI,1,,,,,,,,,,,,,,,,
16,YGYO,True,5,RGBW,1B0W,LLM,500,RORO,1B0W,VOI,91,RYYK,1B1W,VOI,11,YYBO,2B1W,VOI,2,YGYO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,PWWO,True,4,RGBY,0B0W,LLM,256,OWPP,1B2W,VOI,40,WOPW,0B4W,VOI,1,PWWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
18,YOGW,True,6,RGBY,0B2W,LLM,936,YWPG,1B2W,VOI,56,PYYG,0B2W,VOI,11,YPWB,1B1W,VOI,2,YKGW,3B0W,VOI,1,YOGW,4B0W,VOI,1,,,,,,,,,,,,,,,,
19,KGYK,True,8,ROYG,1B1W,LLM,660,RYRW,0B1W,VOI,170,YOOO,0B1W,VOI,37,GPYP,1B1W,VOI,7,KGYB,3B0W,VOI,3,BGYB,2B0W,VOI,2,KGYY,3B0W,VOI,1,KGYK,4B0W,VOI,1,,,,,,,,
20,OYOP,True,5,RRRR,0B0W,LLM,2401,GGYK,0B1W,VOI,616,KOWP,1B1W,VOI,113,YPWB,0B2W,VOI,24,OYOP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
21,RRPW,True,4,RGBY,1B0W,LLM,500,RPOO,1B1W,VOI,78,WOOY,0B1W,VOI,21,RRPW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
22,BOYY,True,5,RGBY,1B1W,LLM,660,RYYW,1B1W,VOI,86,YYBO,0B4W,VOI,2,OBYY,2B2W,VOI,1,BOYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
