game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,4,RGBO,1B2W,LLM,204,BPGO,1B2W,VOI,21,BGRP,0B4W,VOI,1,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,6,RRRR,1B0W,LLM,1372,RPBG,1B1W,VOI,258,ROWB,1B1W,VOI,47,RKGO,3B0W,VOI,4,RGGO,3B0W,VOI,1,RYGO,4B0W,VOI,1,,,,,,,,,,,,,,,,
3,OYGW,True,5,RGBY,0B2W,LLM,936,GBWO,0B3W,VOI,52,WROG,0B3W,VOI,4,YOGW,2B2W,VOI,1,OYGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,5,RGBY,1B1W,LLM,660,RKOB,1B1W,VOI,108,BGOG,0B1W,VOI,29,RYPO,0B2W,VOI,2,YKBP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,6,RRBB,0B0W,LLM,1296,GOGW,1B0W,VOI,182,GPYK,0B1W,VOI,26,WWPW,0B0W,VOI,6,KOOO,3B0W,VOI,2,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,
6,BGPK,True,6,RGYB,1B1W,LLM,660,OWGB,0B2W,VOI,141,RPOG,0B2W,VOI,31,PGBK,2B2W,VOI,2,KGBP,1B3W,VOI,1,BGPK,4B0W,VOI,1,,,,,,,,,,,,,,,,
7,GWRK,True,5,RGYB,0B2W,LLM,936,WOGR,0B3W,VOI,56,GBWO,1B1W,VOI,16,KRWG,0B4W,VOI,2,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,5,RGBY,0B3W,LLM,224,GBYO,1B1W,VOI,50,WRYG,0B3W,VOI,9,GYRP,2B1W,VOI,2,GYGR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,6,RGBO,0B1W,LLM,976,YKOY,0B0W,VOI,114,PPWR,3B0W,VOI,7,WPWR,2B0W,VOI,4,PPPR,3B0W,VOI,1,PPRR,4B0W,VOI,1,,,,,,,,,,,,,,,,
10,RORO,True,6,GGGG,0B0W,LLM,2401,WPKR,0B1W,VOI,444,PBYO,1B0W,VOI,35,KOOO,2B0W,VOI,2,RROO,2B2W,VOI,1,RORO,4B0W,VOI,1,,,,,,,,,,,,,,,,
