game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,6,RGBO,1B2W,LLM,204,GKRO,1B1W,CSS,40,GRBB,2B1W,CSS,3,GWBR,3B0W,CSS,2,GYBR,3B0W,CSS,1,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,
2,RYGO,True,6,RRRR,1B0W,LLM,1372,ORWP,0B2W,CSS,399,RWGK,2B0W,CSS,30,RBPK,1B0W,CSS,7,RGGO,3B0W,CSS,2,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,
3,OYGW,True,5,RGGY,1B1W,LLM,558,GBGO,1B1W,CSS,93,OYGP,3B0W,CSS,4,OYGK,3B0W,CSS,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,6,RGBY,1B1W,LLM,660,BGOW,0B1W,CSS,147,RBKP,1B2W,CSS,12,PBBR,1B1W,CSS,3,KYBP,2B2W,CSS,1,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,
5,YOOO,True,5,RGYO,1B1W,LLM,660,GKYB,0B1W,CSS,147,RPGR,0B0W,CSS,10,WYWO,1B1W,CSS,1,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,6,RRRR,0B0W,LLM,2401,YGOG,1B0W,CSS,378,WPWG,0B2W,CSS,49,BGKP,2B2W,CSS,3,PGKB,1B3W,CSS,2,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,
7,GWRK,True,5,RRRG,1B1W,LLM,342,WGRK,2B2W,CSS,4,KGRW,1B3W,CSS,2,RGWK,1B3W,CSS,1,GWRK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,6,KKKK,0B0W,LLM,2401,GGYB,1B2W,CSS,106,YGBY,0B2W,CSS,18,GBOG,1B1W,CSS,3,GYGP,3B0W,CSS,2,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,
9,PPRR,True,6,RRRR,2B0W,LLM,294,YORR,2B0W,CSS,25,KBRR,2B0W,CSS,9,GPRR,3B0W,CSS,4,WPRR,3B0W,CSS,1,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,
10,RORO,True,5,ROYG,2B0W,LLM,216,WBYG,0B0W,CSS,16,ROOK,2B1W,CSS,4,ROKP,2B0W,CSS,1,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
