game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,4,RGYB,0B3W,LLM,224,GOBR,3B0W,CSS,7,GRBR,3B0W,CSS,4,GPBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,5,RRYO,2B1W,LLM,60,YROO,1B2W,CSS,12,ORYW,0B3W,CSS,4,RYKO,3B0W,CSS,3,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,OYGW,True,5,RGYB,0B2W,LLM,936,PBWR,0B1W,CSS,188,ORGK,2B0W,CSS,14,OWGY,2B2W,CSS,1,OYGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,6,RYGB,0B2W,LLM,936,BGKO,0B2W,CSS,196,OWRG,0B0W,CSS,16,KBYP,1B3W,CSS,3,YBPK,1B3W,CSS,1,YKBP,4B0W,CSS,1,,,,,,,,,,,,,,,,
5,YOOO,True,6,GYOB,1B1W,LLM,660,PYKO,1B1W,CSS,108,KYBR,0B1W,CSS,15,GKWO,1B0W,CSS,2,BPOO,2B0W,CSS,1,YOOO,4B0W,CSS,1,,,,,,,,,,,,,,,,
6,BGPK,True,4,RGYO,1B0W,LLM,500,PWBO,0B2W,CSS,90,BGKW,2B1W,CSS,7,BGPK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,RRYK,1B1W,LLM,558,RGPR,0B2W,CSS,74,WRKP,0B3W,CSS,8,KPRK,2B0W,CSS,1,GWRK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,4,BRGY,1B2W,LLM,204,BGRB,0B2W,CSS,62,RYGG,2B2W,CSS,1,GYGR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,5,RBYG,0B1W,LLM,976,KROK,0B1W,CSS,238,OGWW,0B0W,CSS,23,YKPY,0B1W,CSS,2,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,RORO,True,6,RGYW,1B0W,LLM,500,OPYP,0B1W,CSS,124,RROB,1B2W,CSS,11,ROBK,2B0W,CSS,2,RORR,3B0W,CSS,1,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,
11,RYPO,True,5,RGBY,1B1W,LLM,660,BKOY,0B2W,CSS,141,ORBW,0B2W,CSS,23,ROYP,1B3W,CSS,1,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,GYKK,True,5,RGYO,0B2W,LLM,936,WYRB,1B0W,CSS,110,KYGP,1B2W,CSS,12,YYPG,1B1W,CSS,3,GYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
13,YYKK,True,6,RGBY,0B1W,LLM,976,PRWK,1B0W,CSS,112,PYOO,1B0W,CSS,20,KBOK,1B1W,CSS,3,WBWO,0B0W,CSS,1,YYKK,4B0W,CSS,1,,,,,,,,,,,,,,,,
14,YWPG,True,5,RBYO,0B1W,LLM,976,WKRP,0B2W,CSS,228,YWKG,3B0W,CSS,7,YWKK,2B0W,CSS,4,YWPG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,RYYG,True,5,RGYO,2B1W,LLM,72,GOYO,1B1W,CSS,25,RPGO,1B1W,CSS,5,RWYG,3B0W,CSS,4,RYYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,YGYO,True,5,RYGB,0B2W,LLM,936,BOYW,1B1W,CSS,170,BWKG,0B1W,CSS,28,OGYY,2B2W,CSS,1,YGYO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
