game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,YBRB,0B2W,CSS,222,RYGO,0B2W,LLM,41,BRWG,1B2W,LLM,4,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,BBOW,0B1W,CSS,276,WYRY,1B1W,LLM,51,YORO,0B2W,LLM,9,RYBG,2B2W,LLM,3,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,3,BYWY,2B2W,CSS,5,YYWB,1B3W,LLM,2,BYYW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,BOBW,1B1W,CSS,230,BGWR,3B0W,LLM,6,BGOR,2B0W,LLM,5,BGWG,3B0W,LLM,1,BGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,WWGB,0B2W,CSS,222,GBOY,1B2W,LLM,32,YGBY,0B2W,LLM,7,GYWO,0B2W,LLM,3,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RRYW,0B2W,CSS,222,OWGY,1B2W,LLM,31,OYWB,1B1W,LLM,5,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,BRYY,0B1W,CSS,276,WBWG,0B2W,LLM,42,GYGW,1B0W,LLM,8,RWRW,3B0W,LLM,2,RWOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,YWYO,0B1W,CSS,276,GGOG,1B0W,LLM,73,RBOB,0B1W,LLM,12,GRRW,1B3W,LLM,1,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,3,YBGG,0B0W,CSS,81,WOOR,1B3W,LLM,4,ROWO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RRWG,0B1W,CSS,276,GBYB,1B0W,LLM,36,OWYY,2B1W,LLM,5,YWYW,1B2W,LLM,1,WYYY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,WOYW,0B1W,CSS,276,RYRB,1B1W,LLM,53,YYGR,1B0W,LLM,4,ORRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,2,ROGW,2B2W,CSS,6,RGOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RBGB,1B1W,CSS,230,OBBO,0B1W,LLM,42,BWGW,0B1W,LLM,10,RROG,3B0W,LLM,2,RGOG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,YYBO,0B0W,CSS,81,GGGG,1B0W,LLM,32,GRRW,1B2W,LLM,7,RRGR,2B0W,LLM,1,RWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,GGWW,0B0W,CSS,256,BROY,3B0W,LLM,12,BRRY,3B0W,LLM,2,BRBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,6,RRGY,1B0W,CSS,182,OWGG,1B1W,LLM,25,RWBO,0B1W,LLM,3,GGGB,3B0W,LLM,2,GBGB,2B2W,LLM,1,BGGB,4B0W,LLM,1,,,,,,,,,,,,,,,,
17,OOOB,True,5,OWBO,1B2W,CSS,84,OBWW,1B1W,LLM,14,OYOB,3B0W,LLM,3,OGOB,3B0W,LLM,2,OOOB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,OYOW,0B2W,CSS,222,YWGG,1B1W,LLM,44,ROWG,1B2W,LLM,2,GWWO,0B3W,LLM,1,WOGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,GRWY,0B3W,CSS,136,YYGR,1B2W,LLM,17,YGRB,1B2W,LLM,4,RGYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,YBOB,0B1W,CSS,276,RRWO,1B0W,LLM,31,RYGG,0B2W,LLM,2,GWWY,2B2W,LLM,1,WGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,6,OGYO,0B1W,CSS,276,RYWR,0B1W,LLM,46,GWBB,2B0W,LLM,6,GRGB,2B0W,LLM,2,GWGG,3B0W,LLM,1,GWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,
22,YWWG,True,5,GYRY,0B2W,CSS,222,ROBG,1B0W,LLM,12,YWGG,3B0W,LLM,2,YGGG,2B0W,LLM,1,YWWG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,4,YOGO,0B2W,CSS,222,OYWY,0B1W,LLM,38,GROR,1B1W,LLM,5,BRYG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,YYWR,0B1W,CSS,276,OWBB,1B0W,LLM,34,GRGB,0B2W,LLM,3,OGRO,2B0W,LLM,1,OGYG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,GBBY,0B1W,CSS,276,YRWW,0B3W,LLM,12,WYRR,3B0W,LLM,3,WYRO,2B1W,LLM,1,WYYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,5,YWWY,0B2W,CSS,96,WRYB,0B3W,LLM,10,OYRW,2B1W,LLM,2,RYGW,2B0W,LLM,1,BYOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,4,WYRR,0B2W,CSS,222,BWYO,0B1W,LLM,14,RRGB,2B2W,LLM,1,RRBG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,5,YRBR,0B3W,CSS,44,RBRO,1B1W,LLM,13,RYGB,2B2W,LLM,2,RGYB,1B3W,LLM,1,GYRB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,RBGY,0B2W,CSS,312,YYRO,1B1W,LLM,67,OYWB,1B0W,LLM,5,OGRR,2B2W,LLM,1,ORRG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,6,YWGW,1B1W,CSS,230,OWYY,0B1W,LLM,48,WRGG,0B2W,LLM,6,YGRR,3B0W,LLM,2,YGRB,2B2W,LLM,1,YGBR,4B0W,LLM,1,,,,,,,,,,,,,,,,
31,GBWR,True,6,OBGR,2B1W,CSS,48,OGOR,1B1W,LLM,15,GBRR,3B0W,LLM,3,GBBR,3B0W,LLM,2,GBYR,3B0W,LLM,1,GBWR,4B0W,LLM,1,,,,,,,,,,,,,,,,
32,BRGB,True,3,YGOY,0B1W,CSS,276,RWRG,0B2W,LLM,34,BRGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,4,ORWY,0B3W,CSS,136,RYOB,0B2W,LLM,29,YWGR,1B3W,LLM,2,YGRW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
34,RWGY,True,5,YRYG,0B3W,CSS,44,GYOR,0B3W,LLM,8,RGRY,2B1W,LLM,2,RBGY,3B0W,LLM,1,RWGY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
35,YYYO,True,3,GWYO,2B0W,CSS,96,BWRO,1B0W,LLM,16,YYYO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,RWYR,True,4,YYRB,0B2W,CSS,222,BBYW,1B1W,LLM,57,RWYO,3B0W,LLM,2,RWYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
37,YBBY,True,4,RYGR,0B1W,CSS,276,BGBG,1B1W,LLM,45,GOBW,1B0W,LLM,2,YBBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
38,YGYB,True,6,YBGW,1B2W,CSS,132,WBRY,0B2W,LLM,38,BWGB,1B1W,LLM,6,YWYG,2B1W,LLM,2,GWYW,1B1W,LLM,1,YGYB,4B0W,LLM,1,,,,,,,,,,,,,,,,
39,WOBR,True,6,ORGY,0B2W,CSS,312,GGBO,1B1W,LLM,67,BGRR,1B1W,LLM,8,RGWG,0B2W,LLM,2,WBRO,1B3W,LLM,1,WOBR,4B0W,LLM,1,,,,,,,,,,,,,,,,
40,BYRG,True,4,YOBO,0B2W,CSS,222,OYWR,1B1W,LLM,42,OWGB,0B2W,LLM,11,BYRG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
41,RBBO,False,2,OYGW,0B1W,CSS,152,RBRG,2B0W,LLM,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,OBRO,True,5,GBGO,2B0W,CSS,105,RWGO,1B1W,LLM,28,GYGR,0B1W,LLM,4,BBRO,3B0W,LLM,1,OBRO,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
43,WRYR,True,5,RGYY,1B1W,CSS,230,YGGO,0B1W,LLM,46,RYBB,0B2W,LLM,6,WRRY,2B2W,LLM,1,WRYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
44,GGRY,True,4,GBYW,1B1W,CSS,252,YRYB,0B2W,LLM,43,GYRG,2B2W,LLM,2,GGRY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
