game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,WRRG,1B2W,CSS,84,RWRR,1B1W,LLM,29,GBRW,1B2W,LLM,1,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,BYWG,0B3W,CSS,136,WGYR,1B2W,LLM,20,WRGB,0B3W,LLM,3,RBYW,1B2W,LLM,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,False,4,GYRW,2B0W,CSS,96,GYGY,1B1W,LLM,20,GGBW,1B1W,LLM,3,GRRG,0B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,OYYW,0B2W,CSS,222,YGOO,1B1W,LLM,51,YBWG,1B3W,LLM,2,YWGB,0B4W,LLM,1,BGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,WWGB,0B2W,CSS,222,BYRW,1B1W,LLM,42,GYWO,0B2W,LLM,10,OBOW,1B1W,LLM,2,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,6,ROGO,0B1W,CSS,276,GYBW,1B2W,LLM,41,YGYW,1B2W,LLM,4,GBYY,2B0W,LLM,2,GWYG,1B3W,LLM,1,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,
7,RWOW,True,4,BBOY,1B0W,CSS,182,BGWW,1B1W,LLM,26,WGRY,0B2W,LLM,5,RWOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,BGRB,2B0W,CSS,105,BRRY,1B1W,LLM,24,RGRG,2B1W,LLM,2,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,6,BGOR,0B2W,CSS,312,GYRY,0B1W,LLM,54,WBYO,1B1W,LLM,16,WWBG,0B1W,LLM,3,ORWO,2B2W,LLM,1,ROWO,4B0W,LLM,1,,,,,,,,,,,,,,,,
10,WYYY,True,3,OWOB,0B1W,CSS,276,YBYY,2B1W,LLM,8,WYYY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,BYOY,0B1W,CSS,276,WORW,1B1W,LLM,58,WBGR,1B0W,LLM,1,ORRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,OORW,1B2W,CSS,84,OBWR,0B3W,LLM,18,RWRO,1B2W,LLM,2,RYOW,3B0W,LLM,1,RGOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RGOR,3B0W,CSS,20,RGOB,3B0W,LLM,4,RGOY,3B0W,LLM,3,RGOW,3B0W,LLM,2,RGOG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,OGGO,1B0W,CSS,256,RGRR,1B1W,LLM,30,ORRY,0B1W,LLM,8,WWGR,2B2W,LLM,1,RWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,OOYR,0B2W,CSS,222,YBGO,0B2W,LLM,44,GYRY,1B1W,LLM,10,GROW,1B0W,LLM,2,BRBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,RYRW,0B0W,CSS,81,BGBG,2B2W,LLM,4,BBGG,2B2W,LLM,2,BGGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,BRYR,0B1W,CSS,276,WYGG,0B0W,LLM,9,OOBB,3B0W,LLM,3,OOOB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,3,RRWG,0B2W,CSS,222,YGRY,0B1W,LLM,44,WOGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,WBOG,0B1W,CSS,152,RYGR,2B2W,LLM,4,RRGY,1B3W,LLM,1,RGYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,WRRO,1B0W,CSS,182,BGRB,1B0W,LLM,27,WGYG,2B1W,LLM,3,WGGW,2B1W,LLM,1,WGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,RGRW,1B1W,CSS,230,GBRG,1B1W,LLM,44,GYGW,3B0W,LLM,3,GYBW,2B0W,LLM,2,GWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,6,OBWB,1B0W,CSS,182,RYYB,0B1W,LLM,42,OROR,0B0W,LLM,9,GWWY,2B2W,LLM,2,WGWY,1B3W,LLM,1,YWWG,4B0W,LLM,1,,,,,,,,,,,,,,,,
23,BRYG,True,3,WRGG,2B0W,CSS,105,YRGB,1B3W,LLM,1,BRYG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,GOWW,0B2W,CSS,222,WRGG,1B1W,LLM,39,WGYY,2B0W,LLM,5,OGGY,2B2W,LLM,1,OGYG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,BBOY,0B1W,CSS,276,GYWW,1B1W,LLM,53,WWBW,1B0W,LLM,12,WYRR,3B0W,LLM,1,WYYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,5,BGGW,2B0W,CSS,105,OGGR,0B1W,LLM,14,BOBW,2B1W,LLM,3,BWOW,3B0W,LLM,1,BYOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,5,OWOY,0B0W,CSS,81,RRRR,2B0W,LLM,24,BRRG,2B2W,LLM,5,BGRR,0B4W,LLM,1,RRBG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,4,OBBR,0B2W,CSS,222,GORG,2B0W,LLM,21,BOWG,0B2W,LLM,2,GYRB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,RWRG,2B1W,CSS,40,YRRG,3B0W,LLM,3,BRRG,3B0W,LLM,2,GRRG,3B0W,LLM,1,ORRG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,4,RWWB,0B2W,CSS,222,GBGW,0B2W,LLM,30,WYRG,0B3W,LLM,2,YGBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,4,WBWR,3B0W,CSS,20,WBWO,2B0W,LLM,12,WBGR,2B2W,LLM,1,GBWR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,6,BYYR,1B1W,CSS,230,BGOY,1B1W,LLM,46,YGYW,0B1W,LLM,9,RYOO,0B1W,LLM,5,BRRG,2B1W,LLM,1,BRGB,4B0W,LLM,1,,,,,,,,,,,,,,,,
33,YGRW,True,5,YGOO,2B0W,CSS,105,YWYO,1B1W,LLM,24,YGBW,3B0W,LLM,4,YGWW,3B0W,LLM,2,YGRW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
