game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,False,1,YGBY,1B1W,CSS,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,False,1,YOWY,1B0W,CSS,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,False,1,YGGB,0B2W,CSS,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,False,1,RROO,0B0W,CSS,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,False,1,BRWW,2B0W,CSS,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,False,1,YOOR,0B1W,CSS,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,False,1,OBBR,0B2W,CSS,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,False,1,RGWR,2B2W,CSS,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,False,1,BBGY,0B0W,CSS,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,False,1,GYGB,1B0W,CSS,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,False,1,GRWG,1B0W,CSS,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,False,1,YGRG,1B1W,CSS,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,False,1,BWOB,1B0W,CSS,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,False,1,WBOR,0B2W,CSS,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,False,1,OWWY,1B0W,CSS,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,False,1,WRBB,1B1W,CSS,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,False,1,YGBR,0B1W,CSS,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,False,1,BRRW,0B2W,CSS,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,False,1,WWYG,1B1W,CSS,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,False,1,YYOW,0B2W,CSS,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GWGW,False,1,WBYY,0B1W,CSS,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,False,1,WGRW,0B3W,CSS,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BRYG,False,1,RYOY,0B2W,CSS,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,False,1,ROWO,0B1W,CSS,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,WYYR,False,1,ROGG,0B1W,CSS,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BYOW,False,1,YOGY,0B2W,CSS,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,RRBG,False,1,OYWB,0B1W,CSS,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,False,1,BOOW,0B1W,CSS,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ORRG,False,1,ORBG,3B0W,CSS,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,YGBR,False,1,YBWY,1B1W,CSS,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,False,1,YBGR,2B1W,CSS,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,False,1,BWOB,2B0W,CSS,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,YGRW,False,1,OGBO,1B0W,CSS,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,RWGY,False,1,WGRR,0B3W,CSS,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,YYYO,False,1,GRBY,0B1W,CSS,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,RWYR,False,1,RRGY,1B2W,CSS,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,YBBY,False,1,GRYR,0B1W,CSS,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
