game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,BWOB,0B1W,LLM,276,YRRW,1B1W,CSS,53,RGRO,0B3W,VOI,4,ORGY,1B1W,CSS,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,RORO,1B0W,LLM,256,RWWY,2B0W,CSS,23,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,6,BYYR,3B0W,LLM,20,BGYR,2B0W,CSS,8,YYYR,2B0W,VOI,3,BYYB,3B0W,CSS,2,BYYO,3B0W,VOI,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,
4,BGWY,True,4,BRRY,2B0W,LLM,105,BWYY,2B1W,CSS,8,BYBY,2B0W,VOI,2,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,BWYR,1B1W,LLM,252,RYYO,0B2W,CSS,43,OBGR,0B4W,VOI,2,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGWY,3B0W,LLM,20,RGWB,2B0W,CSS,12,RGOY,2B0W,VOI,6,RYWY,2B0W,CSS,2,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,BGYR,0B1W,LLM,152,RWOO,3B0W,CSS,7,RWRO,2B1W,VOI,2,RROO,2B0W,CSS,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RWBB,0B2W,LLM,222,WROR,2B1W,CSS,16,GROW,0B3W,VOI,3,WOYR,2B0W,CSS,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,3,BGYR,0B1W,LLM,152,OBWO,2B1W,CSS,12,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,BYWG,1B1W,LLM,252,RRYG,1B0W,CSS,42,GBOG,0B0W,VOI,3,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
