game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,OOGO,0B1W,LLM,308,GBWB,1B1W,CSS,66,RWWG,0B2W,CSS,10,GYBR,3B0W,CSS,2,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,GGWR,1B1W,LLM,230,RWOR,1B0W,CSS,23,YWWG,0B2W,CSS,4,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,YWOG,0B2W,LLM,312,WYWR,1B1W,CSS,53,ROYR,1B0W,CSS,7,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,YBRO,0B2W,LLM,312,RRBW,0B2W,CSS,52,GWOR,0B2W,CSS,7,WGYB,1B3W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,BGBO,1B2W,LLM,84,GOBG,1B2W,CSS,11,GBOO,1B2W,CSS,3,BWOG,3B0W,CSS,2,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,WBWB,1B0W,LLM,256,OBOY,1B0W,CSS,34,WYGY,1B2W,CSS,4,YRWY,2B0W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,GGBB,0B0W,LLM,256,YOWW,1B2W,CSS,40,OYWO,0B2W,CSS,6,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,GBGR,1B1W,LLM,230,WOGG,1B1W,CSS,39,OYGB,0B1W,CSS,2,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,WOWO,3B0W,LLM,20,WOGO,2B1W,CSS,6,OOWO,3B0W,CSS,3,YOWO,3B0W,CSS,2,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,BRGB,0B0W,LLM,81,YOYY,2B1W,CSS,6,YWYO,1B2W,CSS,2,YYWY,2B2W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
