game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGWO,0B2W,LLM,312,WWRY,0B1W,CSS,56,BBOR,1B1W,CSS,6,BOYG,0B2W,CSS,2,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,RYGR,1B2W,LLM,84,GGYR,1B2W,CSS,11,GYRY,1B2W,CSS,3,RGOY,3B0W,CSS,2,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,ROOG,0B0W,LLM,81,YYYB,2B1W,CSS,6,YBYW,2B2W,CSS,2,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,OYBB,0B2W,LLM,222,YWGO,0B3W,CSS,27,ROYW,0B2W,CSS,4,WBOG,0B3W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RWYR,0B1W,LLM,276,YOBO,0B2W,CSS,34,GYGB,0B2W,CSS,5,BGOW,2B1W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RYWO,1B1W,LLM,252,RBYB,0B1W,CSS,56,WYGG,0B4W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RGBG,1B0W,LLM,182,WYBW,1B1W,CSS,38,OGWW,1B2W,CSS,4,WGYO,0B2W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RBBY,0B1W,LLM,276,ORWO,0B2W,CSS,40,GWRG,1B2W,CSS,5,GOGR,1B1W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RRGB,1B0W,LLM,182,WOGG,1B1W,CSS,25,WROW,0B3W,CSS,2,ROWY,3B0W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RROW,0B1W,LLM,276,BGWG,0B1W,CSS,43,YBBO,0B1W,CSS,4,GYYR,2B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,3,YBGG,0B0W,LLM,81,RRRW,2B1W,CSS,6,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RYGB,1B1W,LLM,252,BGGW,2B0W,CSS,22,BYOW,2B0W,CSS,2,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RWGB,1B1W,LLM,252,BWWO,0B1W,CSS,55,RBYY,1B0W,CSS,9,RROG,3B0W,CSS,2,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,YRBR,0B1W,LLM,276,GYOG,0B1W,CSS,38,WBGB,1B1W,CSS,6,OWWB,1B1W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,GYGY,1B0W,LLM,256,RORY,1B1W,CSS,42,GBRR,0B2W,CSS,7,WRBY,3B0W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,RRGG,1B1W,LLM,208,WRRY,0B0W,CSS,20,BGBG,2B2W,CSS,2,GBBG,0B4W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,YYWW,0B0W,LLM,256,GOGB,2B0W,CSS,29,GRGR,0B0W,CSS,4,BOBB,2B0W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,OYRG,0B2W,LLM,312,BOGB,3B0W,CSS,6,BOGO,2B1W,CSS,2,GOGB,3B0W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,YWOB,0B1W,LLM,152,GGRW,1B1W,CSS,30,RBRG,1B2W,CSS,2,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,YYBB,0B1W,LLM,256,BGOO,1B0W,CSS,34,GGWY,3B0W,CSS,4,GGRY,2B0W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,4,GGGB,2B0W,LLM,123,WGGO,1B2W,CSS,16,GWGR,3B0W,CSS,3,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,WRRG,1B1W,LLM,230,RROY,0B1W,CSS,41,GWYG,2B1W,CSS,4,YWBG,3B0W,CSS,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
