game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,ORYW,1B0W,LLM,108,BWBW,1B0W,CSS,17,BRRG,1B3W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,RRYY,2B0W,LLM,114,BRYW,0B3W,CSS,10,RGWY,3B0W,CSS,3,ROWY,2B0W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,YWGG,0B2W,LLM,222,WYYR,2B1W,CSS,16,WOYY,1B2W,CSS,2,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,YGWW,2B1W,LLM,40,WGGW,1B1W,CSS,10,YWRW,0B2W,CSS,2,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,GBWY,0B2W,LLM,312,BRGR,2B1W,CSS,13,BYRR,1B1W,CSS,3,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RWYO,0B2W,LLM,312,OGGY,2B1W,CSS,13,GRGY,2B1W,CSS,2,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,WGYR,0B2W,LLM,312,YBWY,0B1W,CSS,56,OWGO,1B1W,CSS,6,ORRW,1B2W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,GBGR,1B1W,LLM,230,GWYG,0B2W,CSS,34,ORGW,0B3W,CSS,4,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,YGYW,0B1W,LLM,276,BRWB,1B1W,CSS,51,BOBG,1B0W,CSS,6,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,BBRY,1B0W,LLM,182,OOWY,1B1W,CSS,40,WORG,1B0W,CSS,3,WWYY,3B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,YGWR,1B0W,LLM,108,YOOB,0B1W,CSS,18,BRBR,2B0W,CSS,2,BGBG,0B0W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,OYWB,0B2W,LLM,312,BWRR,0B2W,CSS,43,WROG,1B3W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,BRRW,0B1W,LLM,276,YYBO,0B1W,CSS,38,WOGG,1B2W,CSS,6,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,6,BBBW,1B0W,LLM,317,RBYG,1B1W,CSS,45,RRGW,3B0W,CSS,3,RGGW,3B0W,CSS,2,ROGW,3B0W,CSS,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,
15,BRBY,True,5,RGBO,1B1W,LLM,252,BGYG,1B1W,CSS,42,GWYO,0B1W,CSS,3,BYBR,2B2W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,WBOB,1B1W,LLM,230,BGRB,3B0W,CSS,6,BGYB,3B0W,CSS,2,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,OYWB,2B0W,LLM,96,RYWW,0B0W,CSS,9,OBOB,3B0W,CSS,4,OGOB,3B0W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,YWGO,1B2W,LLM,132,OWYR,0B2W,CSS,38,YGWB,1B2W,CSS,6,GBWO,0B4W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,YYOO,0B1W,LLM,256,OWRR,1B1W,CSS,42,RGRY,2B2W,CSS,2,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,3,YBGY,1B1W,LLM,230,WWYY,2B1W,CSS,8,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,3,RWBO,1B0W,LLM,108,RYYG,0B1W,CSS,18,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,3,OYBR,0B1W,LLM,152,WWGY,1B3W,CSS,3,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
