game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,GWGB,1B1W,LLM,230,WYWB,0B1W,CSS,48,BOGO,0B2W,CSS,7,GBRR,2B2W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,GBGG,0B2W,LLM,61,YGWB,1B2W,CSS,16,BGRW,1B2W,CSS,2,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,YYGW,2B1W,LLM,40,WYGG,1B1W,CSS,10,YOGY,0B2W,CSS,2,RYYW,3B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,YWRR,0B2W,LLM,222,WYBY,1B2W,CSS,24,BYOW,1B2W,CSS,4,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,3,GBRY,0B3W,LLM,136,YWBR,0B2W,CSS,29,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,3,GBWG,2B1W,LLM,40,BWWG,1B1W,CSS,10,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,GROB,1B1W,LLM,252,YGWB,0B1W,CSS,31,OYOR,1B1W,CSS,4,BBOO,1B0W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,ORGW,0B3W,LLM,136,BGWO,1B1W,CSS,26,RWOO,0B2W,CSS,5,GYWR,1B2W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,GBWW,1B0W,LLM,182,GRRY,0B1W,CSS,31,YOOW,1B2W,CSS,4,OYYW,0B2W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,YRYB,1B1W,LLM,230,YYWO,1B2W,CSS,19,WBYO,2B0W,CSS,3,WYYG,3B0W,CSS,2,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,GYWB,0B0W,LLM,16,OORR,3B0W,CSS,4,OORO,2B0W,CSS,2,RORR,2B2W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,ROBB,1B1W,LLM,230,WBYB,0B1W,CSS,41,RROY,2B0W,CSS,4,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,GBOR,1B2W,LLM,132,OYBR,0B2W,CSS,38,RBWG,2B0W,CSS,3,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,GBYY,0B1W,LLM,276,WWOB,1B1W,CSS,53,WRWG,0B4W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,3,GWOR,0B1W,LLM,152,BGYB,1B2W,CSS,21,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,WWRO,0B0W,LLM,81,BBBG,1B2W,CSS,9,GGBB,2B2W,CSS,2,GBGB,2B2W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,RWOB,2B0W,LLM,96,GWWB,1B0W,CSS,26,RWRY,0B0W,CSS,4,BBOB,2B0W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,3,WYRB,2B0W,LLM,96,YYOB,1B1W,CSS,24,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,OOYY,1B0W,LLM,256,OBGR,1B1W,CSS,45,BBYG,1B1W,CSS,8,RBWY,1B1W,CSS,1,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RWYG,0B3W,LLM,136,YRBW,0B2W,CSS,29,WOGR,1B1W,CSS,2,GYRR,0B2W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
